Title,Artist,Year,Country,Thumbnail
b'Saint John the Baptist and Saint Francis of Assisi',b'El Greco',b'17',b'GR',https://az333960.vo.msecnd.net/images-0/untitled-el-greco-85-9e17ad9c.jpg
b'Christ Carrying the Cross',b'El Greco',b'1595',b'GR',https://az334033.vo.msecnd.net/images-9/untitled-el-greco-35-82ed7671.jpg
b'Winter 1882',b'Francesc Masriera Manovens',b'1882',,https://az334033.vo.msecnd.net/images-1/winter-1882-francesc-masriera-manovens-1882-8e52a28a.jpg
b'Idle Hours',b'Ramon Casas i Carb\xc3\xb3',b'1900',b'ES',https://az334033.vo.msecnd.net/images-2/idle-hours-ramon-casas-i-carbo-db4f1b11.jpg
b'Springtime',b'Francisco Miralles Galup',b'Springtime',,https://az333959.vo.msecnd.net/images-9/springtime-francisco-miralles-galup-36363578.jpg
b'Still Life with Dish of Quince',b'Francisco de Zurbar\xc3\xa1n',b'Quince',b'ES',https://az333959.vo.msecnd.net/images-0/untitled-francisco-de-zurbaran-5-c4d98b0c.jpg
b'A Romance',b'Santiago Rusi\xc3\xb1ol',b'1894',b'ES',https://az334034.vo.msecnd.net/images-8/a-romance-santiago-rusinol-6aa8e095.jpg
b'Madonna of Humility',b'Fra Angelico',b'1433',b'IT',https://az334034.vo.msecnd.net/images-4/madonna-of-humility-fra-angelico-1433-0d0cf87d.jpg
b'Early Flowers',b'Joan Brull Vinyoles',b'Flowers',b'ES',https://az334033.vo.msecnd.net/images-0/early-flowers-joan-brull-vinyoles-6ee086c7.jpg
b'Female Figure',b'Santiago Rusi\xc3\xb1ol',b'1894',b'ES',https://az333959.vo.msecnd.net/images-7/female-figure-santiago-rusinol-9661618d.jpg
b'Over My Dead Body',b'Ramon Casas i Carb\xc3\xb3',b'1893',b'ES',https://az334034.vo.msecnd.net/images-8/over-my-dead-body-ramon-casas-i-carbo-1893-33f17c2d.jpg
b'Senyor Quer in the Garden',b'Santiago Rusi\xc3\xb1ol',b'1889',b'ES',https://az333960.vo.msecnd.net/images-8/senyor-quer-in-the-garden-santiago-rusinol-9b7463a8.jpg
b'Elena and Maria in Old-Fashioned Valencian Costume',b'Joaquin Sorolla y Bastida',b'1908',b'ES',https://az333960.vo.msecnd.net/images-1/elena-and-maria-in-old-fashioned-valencian-costume-joaquin-sorolla-1908-cf0c4db9.jpg
b'Sitges Interior',b'Santiago Rusi\xc3\xb1ol',b'1894',b'ES',https://az333960.vo.msecnd.net/images-4/sitges-interior-santiago-rusinol-d6805e48.jpg
b'Blue Courtyard',b'Santiago Rusi\xc3\xb1ol',b'1913',b'ES',https://az333960.vo.msecnd.net/images-7/blue-courtyard-santiago-rusinol-1913-b5e9076b.jpg
b'Romantic Novel',b'Santiago Rusi\xc3\xb1ol',b'1894',b'ES',https://az333960.vo.msecnd.net/images-8/romantic-novel-santiago-rusinol-dcd5862a.jpg
b'Entrance to the Park of the Moulin de la Galette',b'Santiago Rusi\xc3\xb1ol',b'Galette',b'ES',https://az333959.vo.msecnd.net/images-4/entrance-to-the-park-of-the-moulin-de-la-galette-santiago-rusinol-aef38d06.jpg
b'Portrait of Dolors Vidal',b'Ramon Casas i Carb\xc3\xb3',b'Vidal',b'ES',https://az333959.vo.msecnd.net/images-6/portrait-of-dolors-vidal-ramon-casas-i-carbo-4837b0e2.jpg
b'Saint Jerome in his Study',b'Jaume Ferrer II',b'Study',,https://az333960.vo.msecnd.net/images-0/saint-jerome-in-his-study-jaume-ferrer-ii-e43bcb47.jpg
b'Girl Before the Mirror',b'Tizianello',b'Mirror',,https://az333959.vo.msecnd.net/images-3/girl-before-the-mirror-tizianello-5a068a68.jpg
b'Madonna and Child with Saint Elizabeth and the Young...',b'Peter Paul Rubens',b'Young...',b'NL',https://az333959.vo.msecnd.net/images-7/madonna-and-child-with-saint-elizabeth-and-the-young-saint-john-peter-paul-rubens-a9ea4baf.jpg
b'The Bell for Prayer',b'Modest Urgell',b'Prayer',b'ES',https://az334033.vo.msecnd.net/images-0/the-bell-for-prayer-modest-urgell-181cf1f3.jpg
b'Landscape',b'Joan Brull Vinyoles',b'Landscape',b'ES',https://az333959.vo.msecnd.net/images-0/landscape-joan-brull-vinyoles-3cdb47a5.jpg
b'Smiling girl bust',b'Joan Brull Vinyoles',b'bust',b'ES',https://az333959.vo.msecnd.net/images-6/smiling-girl-bust-joan-brull-vinyoles-a8ee5159.jpg
b'Rosalia',b'Joan Brull Vinyoles',b'Rosalia',b'ES',https://az333960.vo.msecnd.net/images-6/rosalia-joan-brull-vinyoles-5eb5bc28.jpg
b'Woman Sleeping',b'Francisco Gimeno Arasa',b'1899',,https://az334034.vo.msecnd.net/images-4/woman-sleeping-francisco-gimeno-arasa-b13ef2fb.jpg
b'Flores',b'Isidre Nonell',b'1910',,https://az333959.vo.msecnd.net/images-4/flores-isidre-nonell-301d0543.jpg
|b'Still Life with Pomegranates, Apples, Pears, Grapes, Figs...'|,b'Tommaso Realfonso',b'Figs...',,https://az333960.vo.msecnd.net/images-5/still-life-with-pomegranates-apples-pears-grapes-figs-and-birds-tommaso-realfonso-3c05ffc2.jpg
b'Portrait of Pierre-Louis Laideguive',b'Maurice-Quentin de La Tour',b'1761',b'FR',https://az334034.vo.msecnd.net/images-2/portrait-of-pierre-louis-laideguive-maurice-quentin-de-la-tour-1761-f0a28c6c.jpg
b'Landscape with the Flight to Egypt',b'Cornelis Massijs',b'Egypt',b'NL',https://az333959.vo.msecnd.net/images-0/landscape-with-the-flight-to-egypt-cornelis-massijs-5227179c.jpg
b'Saint Gregory the Pope',b'Pedro Berruguete',b'Pope',,https://az333960.vo.msecnd.net/images-1/saint-gregory-the-pope-pedro-berruguete-cb69598a.jpg
b'Ramon Casas and Pere Romeu in an Automobile',b'Ramon Casas i Carb\xc3\xb3',b'1901',b'ES',https://az334033.vo.msecnd.net/images-3/ramon-casas-and-pere-romeu-in-an-automobile-ramon-casas-i-carbo-1901-2299a82b.jpg
b'Portrait of the Girl Ros\xc3\xb3 Galia',b'Joan Brull Vinyoles',b'1896',b'ES',https://az334033.vo.msecnd.net/images-4/portrait-of-the-girl-roso-galia-joan-brull-vinyoles-1896-d4b3fccf.jpg
b'African Beach',b'Mari\xc3\xa0 Fortuny',b'Beach',b'ES',https://az333959.vo.msecnd.net/images-3/african-beach-maria-fortuny-a6fd6197.jpg
b'Parc Cordier in Trouville',b'Eug\xc3\xa8ne Boudin',b'Trouville',b'FR',https://az333959.vo.msecnd.net/images-9/parc-cordier-in-trouville-eugene-boudin-c6e9b4a2.jpg
b'Miracle of Mont Saint-Michel',b'Jaume Huguet',b'Saint-Michel',,https://az334034.vo.msecnd.net/images-6/miracle-of-mont-saint-michel-jaume-huguet-288d404d.jpg
b'Untitled',b'Francisco Ribalta',b'Untitled',b'ES',https://az333960.vo.msecnd.net/images-4/untitled-francisco-ribalta-59294cca.jpg
b'Study',b'Isidre Nonell',b'1906',,https://az333960.vo.msecnd.net/images-5/study-isidre-nonell-1906-ee69547e.jpg
b'Virgin of the Angels',b'Pere Serra',b'1385',,https://az334033.vo.msecnd.net/images-3/virgin-of-the-angels-pere-serra-1385-18c6945e.jpg
b'Untitled',b'Claudi Lorenzale',b'Untitled',b'ES',https://az334034.vo.msecnd.net/images-8/untitled-claudi-lorenzale-0af1521f.jpg
b'Saint Francis Receives the Order from the Crucifix at...',b'Antoni Viladomat Y Manalt',b'at...',,https://az333960.vo.msecnd.net/images-7/saint-francis-receives-the-order-from-the-crucifix-at-saint-damian-to-repair-the-house-of-god-antoni-viladomat-y-manalt-1f6c7aea.jpg
b'Martyrdom of Saint Lucy',b'Bernat Martorell',b'1440',,https://az333959.vo.msecnd.net/images-9/untitled-bernat-martorell-1-a6cbd009.jpg
b'San Miguel Arc\xc3\xa1ngel (Blasco de Gra\xc3\xb1\xc3\xa9n)',b'Blasco de Gra\xc3\xb1\xc3\xa9n',b'1435',,https://az334034.vo.msecnd.net/images-9/san-miguel-arcangel-blasco-de-granen-blasco-de-granen-1435-93cb7893.jpg
b'Untitled',b'Anonymous',b'Untitled',,https://az333959.vo.msecnd.net/images-1/untitled-anonymous-211-89606c05.jpg
b'Returning from the Plot',b'Joan Llimona',b'1896',,https://az334034.vo.msecnd.net/images-2/returning-from-the-plot-joan-llimona-1896-71082610.jpg
b'Birth of Saint Stephen',b'Verg\xc3\xb3s Group',b'Stephen',,https://az333959.vo.msecnd.net/images-6/birth-of-saint-stephen-vergos-group-1ff73588.jpg
