Title,Artist,Year,Country,Thumbnail
b"Ham's Redemption",b'Modesto Brocos',b'Redemption',b'BR',https://az333959.vo.msecnd.net/images-1/ham-s-redemption-modesto-brocos-8ed8f0af.jpg
b'In summer or Girl with a fan',b'Eliseu Visconti',b'1893',b'IT',https://az334033.vo.msecnd.net/images-1/in-summer-or-girl-with-a-fan-eliseu-visconti-1893-d76950f6.jpg
b'The Awakening of Icarus',b'Luc\xc3\xadlio de Albuquerque',b'1910',,https://az334034.vo.msecnd.net/images-0/the-awakening-of-icarus-lucilio-de-albuquerque-1910-59c7b61e.jpg
b"Judas' Remorse",b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1880',b'BR',https://az334034.vo.msecnd.net/images-1/judas-remorse-jose-ferraz-de-almeida-junior-1880-92850990.jpg
b'The Flight into Egypt',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1881',b'BR',https://az334034.vo.msecnd.net/images-6/the-flight-into-egypt-jose-ferraz-de-almeida-junior-1881-5c99f850.jpg
b'Brazilian Lumberjack',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1875',b'BR',https://az333960.vo.msecnd.net/images-2/brazilian-lumberjack-jose-ferraz-de-almeida-junior-1875-8aaa64b1.jpg
b'Decoying Countrymen',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1888',b'BR',https://az333960.vo.msecnd.net/images-7/decoying-countrymen-jose-ferraz-de-almeida-junior-1888-4623ab37.jpg
b'Messalina',b'Henrique Bernardelli',b'Messalina',,https://az334033.vo.msecnd.net/images-1/messalina-henrique-bernardelli-edc29a0a.jpg
b'Desd\xc3\xaamona',b'Rodolfo Amoedo',b'1892',,https://az333960.vo.msecnd.net/images-5/desdemona-rodolfo-amoedo-1892-043d2df2.jpg
b'The two sisters or In summer.',b'Eliseu Visconti',b'1894',b'IT',https://az334034.vo.msecnd.net/images-9/the-two-sisters-or-in-summer-eliseu-visconti-1894-3130c82a.jpg
b'Youth',b'Eliseu Visconti',b'1898',b'IT',https://az333959.vo.msecnd.net/images-0/youth-eliseu-visconti-1898-4d6320c0.jpg
b'Urania',b'Francesco Cozza',b'1660',,https://az334033.vo.msecnd.net/images-6/urania-francesco-cozza-1660-142eeca0.jpg
b'A Difficult Errand',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1895',b'BR',https://az334033.vo.msecnd.net/images-2/a-difficult-errand-jose-ferraz-de-almeida-junior-1895-c0a0a0bf.jpg
b'Iracema',b'Jos\xc3\xa9 Maria de Medeiros',b'1881',,https://az334033.vo.msecnd.net/images-9/iracema-jose-maria-de-medeiros-1881-1512596e.jpg
b'Portrait of a Woman',b'Fran\xc3\xa7ois-Auguste Biard',b'1850',,https://az333960.vo.msecnd.net/images-0/portrait-of-a-woman-francois-auguste-biard-1850-19118556.jpg
b'The First Mass in Brazil',b'Victor Meirelles',b'1860',,https://az334034.vo.msecnd.net/images-7/the-first-mass-in-brazil-victor-meirelles-1860-1d91fb7e.jpg
b'Marab\xc3\xa1',b'Rodolfo Amoedo',b'1882',,https://az333959.vo.msecnd.net/images-1/maraba-rodolfo-amoedo-1882-c3eafc49.jpg
