Title,Artist,Year,Country,Thumbnail
b'Beneficio de Caf\xc3\xa9 Pela Malha\xc3\xa7\xc3\xa3o da Vara',b'Alfredo Norfini',b'1899',,https://az334034.vo.msecnd.net/images-1/beneficio-de-cafe-pela-malhacao-da-vara-alfredo-norfini-d1ec66d8.jpg
b'Mon\xc3\xa7\xc3\xa3o departing',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1897',b'BR',https://az334034.vo.msecnd.net/images-8/moncao-departing-jose-ferraz-de-almeida-junior-1897-1c4dd7c4.jpg
b'Independence or Death',b'Pedro Am\xc3\xa9rico',b'1888',,https://az333960.vo.msecnd.net/images-8/independence-or-death-pedro-americo-1888-62d16535.jpg
b'Senhora Cubana',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1944',b'BR',https://az334033.vo.msecnd.net/images-9/senhora-cubana-jose-ferraz-de-almeida-junior-1944-01f88baa.jpg
b'Retrato de Dona Tereza Correia de Camargo Leite',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1895',b'BR',https://az333959.vo.msecnd.net/images-6/retrato-de-dona-tereza-correia-de-camargo-leite-jose-ferraz-de-almeida-junior-1895-9404a23c.jpg
b'Retrato de Francisco de Canto e Mello',b'Ferdinand Piereck',b'1881',,https://az334033.vo.msecnd.net/images-3/retrato-de-francisco-de-canto-e-mello-ferdinand-piereck-1881-e6729e89.jpg
|b'Pindamonhangaba, 1827'|,b'Jos\xc3\xa9 Canella Filho',b'1901',,https://az333959.vo.msecnd.net/images-8/pindamonhangaba-1827-jose-canella-filho-1901-1af4fcad.jpg
b'Retrato de Domitila de Castro Canto e Melo (Marquesa de...',b'Maximiliano Scholze',b'1901',,https://az333960.vo.msecnd.net/images-2/retrato-de-domitila-de-castro-canto-e-melo-marquesa-de-santos-maximiliano-scholze-1901-6017fbc2.jpg
b'Estudo de Nu',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1901',b'BR',https://az333960.vo.msecnd.net/images-9/estudo-de-nu-jose-ferraz-de-almeida-junior-1901-68f9946c.jpg
b'Retrato de Antonio Paes de Barros (Primeiro Bar\xc3\xa3o de...',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1876',b'BR',https://az334033.vo.msecnd.net/images-9/retrato-de-antonio-paes-de-barros-primeiro-barao-de-piracicaba-jose-ferraz-de-almeida-junior-1876-b556bb7e.jpg
b'Salto de Itu',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1886',b'BR',https://az334033.vo.msecnd.net/images-8/salto-de-itu-jose-ferraz-de-almeida-junior-1886-b8d16744.jpg
b'A Convers\xc3\xa3o de S\xc3\xa3o Paulo a Caminho de Damasco',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'Damasco',b'BR',https://az333960.vo.msecnd.net/images-7/a-conversao-de-sao-paulo-a-caminho-de-damasco-jose-ferraz-de-almeida-junior-c6aa4575.jpg
b'Retrato de Jos\xc3\xa9 Bonif\xc3\xa1cio de Andrada e Silva',b'Benedito Calixto',b'1902',,https://az334033.vo.msecnd.net/images-2/retrato-de-jose-bonifacio-de-andrada-e-silva-benedito-calixto-1902-12a2f4a9.jpg
b'Retrato de Dom Pedro I',b'Benedito Calixto',b'1902',,https://az334034.vo.msecnd.net/images-9/retrato-de-dom-pedro-i-benedito-calixto-1902-21b78f9c.jpg
b'Partida da Mon\xc3\xa7\xc3\xa3o (Estudo)',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1890',b'BR',https://az333959.vo.msecnd.net/images-2/partida-da-moncao-estudo-jose-ferraz-de-almeida-junior-1890-740bed1b.jpg
b'Retrato de Dona Leopoldina de Habsburgo e Seus Filhos',b'Domenico Failutti',b'1921',,https://az334034.vo.msecnd.net/images-5/retrato-de-dona-leopoldina-de-habsburgo-e-seus-filhos-domenico-failutti-1921-c9391f2e.jpg
b'Retrato do Conselheiro Bernardo A. Gavi\xc3\xa3o Peixoto',b'\xc3\x89douard Vi\xc3\xa9not',b'1901',,https://az333960.vo.msecnd.net/images-8/retrato-do-conselheiro-bernardo-a-gaviao-peixoto-edouard-vienot-1901-77d8854e.jpg
b'Retrato do Brigadeiro Raphael Tobias de Aguiar',b'Maximiliano Scholze',b'1901',,https://az334034.vo.msecnd.net/images-5/retrato-do-brigadeiro-raphael-tobias-de-aguiar-maximiliano-scholze-1901-32c8e5b5.jpg
b'\xc3\x8dndio com Arco e Flecha',b'Adrien Henri Vital van Emelen',b'1901',,https://az333960.vo.msecnd.net/images-3/indio-com-arco-e-flecha-adrien-henri-vital-van-emelen-1901-7826dda3.jpg
b'Retrato de D.Jo\xc3\xa3o VI',b'Jean-Baptiste Debret',b'1801',,https://az333960.vo.msecnd.net/images-6/retrato-de-d-joao-vi-jean-baptiste-debret-1801-64ed69ac.jpg
b'Negrinho sob uma torneira',b'Adrien Henri Vital van Emelen',b'torneira',,https://az334033.vo.msecnd.net/images-9/negrinho-sob-uma-torneira-adrien-henri-vital-van-emelen-fe3203ee.jpg
|b'Retrato do Dr. Elias Chaves, 1879'|,b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1901',b'BR',https://az334033.vo.msecnd.net/images-1/retrato-do-dr-elias-chaves-1879-jose-ferraz-de-almeida-junior-1901-1920ae1b.jpg
b'Retrato de Fernando Jos\xc3\xa9 Sampaio',b'Monteiro Fran\xc3\xa7a',b'1901',,https://az334034.vo.msecnd.net/images-7/retrato-de-fernando-jose-sampaio-monteiro-franca-1901-c3127bbd.jpg
|b'Tropeiros \xc3\xa0 Beira da Estrada, 1830'|,b'Adrien Henri Vital van Emelen',b'1830',,https://az334034.vo.msecnd.net/images-7/tropeiros-a-beira-da-estrada-1830-adrien-henri-vital-van-emelen-b2a55d93.jpg
