Title,Artist,Year,Country,Thumbnail
b'Madonna with Writing Child and Bishop',b'Pinturicchio',b'1495',b'IT',https://az334034.vo.msecnd.net/images-9/madonna-with-writing-child-and-bishop-pinturicchio-1495-4173dfaa.jpg
b'Untitled',b'Hieronymus Bosch',b'1530',b'NL',https://az333960.vo.msecnd.net/images-7/untitled-hieronymus-bosch-1530-893f5c84.jpg
b'Untitled',b'Francisco de Goya',b'1779',b'ES',https://az333960.vo.msecnd.net/images-6/untitled-francisco-de-goya-1779-9-31ebd97a.jpg
|b'Altarpiece of Saints Ursula, Martin and Anthony'|,b'Gonzalo P\xc3\xa9rez',b'1420',,https://az333959.vo.msecnd.net/images-9/altarpiece-of-saints-ursula-martin-and-anthony-gonzalo-perez-1420-e31d22af.jpg
b'Untitled',b'Juan de Pareja',b'1665',,https://az334034.vo.msecnd.net/images-0/untitled-juan-de-pareja-1665-a7dc6495.jpg
b'Untitled',b'Jer\xc3\xb3nimo Jacinto de Espinosa',b'1665',,https://az334033.vo.msecnd.net/images-0/untitled-jeronimo-jacinto-de-espinosa-1665-0363b6c5.jpg
b'Mariano Ferrer y Aulet',b'Francisco Goya',b'1780',,https://az334034.vo.msecnd.net/images-3/mariano-ferrer-y-aulet-francisco-goya-1780-ddfd781a.jpg
b'San Pablo',b'Francisco Ribalta',b'1625',b'ES',https://az333960.vo.msecnd.net/images-5/san-pablo-francisco-ribalta-1625-0706910b.jpg
b'La visi\xc3\xb3n del Coloseo. El \xc3\xbaltimo m\xc3\xa1rtir',b'Jos\xc3\xa9 Benlliure y Gil',b'1885',,https://az334034.vo.msecnd.net/images-2/la-vision-del-coloseo-el-ultimo-martir-jose-benlliure-y-gil-1885-caf2dc99.jpg
b'Self Portrait',b'Diego Vel\xc3\xa1zquez',b'1650',b'ES',https://az334033.vo.msecnd.net/images-1/self-portrait-diego-velazquez-1650-d6546ede.jpg
b'St. John the Baptist',b'El Greco',b'Baptist',b'GR',https://az334034.vo.msecnd.net/images-3/st-john-the-baptist-el-greco-d1aa8f1b.jpg
b'Portrait of Saint Simon of Rojas dead',b'Vincenzo Carducci',b'1624',,https://az333960.vo.msecnd.net/images-0/portrait-of-saint-simon-of-rojas-dead-vincenzo-carducci-1624-b4070e53.jpg
b'Untitled',b'Francisco de Goya',b'Untitled',b'ES',https://az333959.vo.msecnd.net/images-1/untitled-francisco-de-goya-37-c17edbc4.jpg
b'Untitled',b'Paolo da San Leocadio',b'Untitled',,https://az334033.vo.msecnd.net/images-1/untitled-paolo-da-san-leocadio-1-b8a893ab.jpg
b'Portrait of Joaquina Candado Ricarte',b'Francisco Goya',b'1802',,https://az333959.vo.msecnd.net/images-3/portrait-of-joaquina-candado-ricarte-francisco-goya-1802-f5ad9f26.jpg
b'Nursing Madonna',b'Bartolom\xc3\xa9 Bermejo',b'1470',,https://az333960.vo.msecnd.net/images-1/nursing-madonna-bartolome-bermejo-1470-284befbe.jpg
b'Calavera',b'Juan de Juanes',b'1600',,https://az333959.vo.msecnd.net/images-6/calavera-juan-de-juanes-1600-af027774.jpg
b'Abrazo de San Francisco al crucificado',b'Francisco Ribalta',b'1620',b'ES',https://az333960.vo.msecnd.net/images-3/abrazo-de-san-francisco-al-crucificado-francisco-ribalta-1620-82e70ef9.jpg
