Title,Artist,Year,Country,Thumbnail
b'Decadent young woman. After the dance',b'Ramon Casas i Carb\xc3\xb3',b'1899',b'ES',https://az333960.vo.msecnd.net/images-7/untitled-ramon-casas-i-carbo-1899-1-71472099.jpg
b'Untitled',b'Francisco Gimeno Arasa',b'1891',,https://az333959.vo.msecnd.net/images-6/untitled-francisco-gimeno-arasa-1891-0e7df86e.jpg
b'Saint Jerome penitent',b'Michelangelo Merisi da Caravaggio',b'1605',b'IT',https://az333959.vo.msecnd.net/images-3/saint-jerome-penitent-caravaggio-1605-643bf4c5.jpg
b'Seriosa',b'Joan Brull Vinyoles',b'Seriosa',b'ES',https://az333959.vo.msecnd.net/images-0/untitled-joan-brull-vinyoles-2-696b473b.jpg
b'Riallera',b'Joan Brull Vinyoles',b'1904',b'ES',https://az334034.vo.msecnd.net/images-9/untitled-joan-brull-vinyoles-1890-2-d543dd0a.jpg
b'Woman with Yellow Scarf (El panuelo amarillo)',b'Ramon Casas i Carb\xc3\xb3',b'1899',b'ES',https://az334033.vo.msecnd.net/images-6/untitled-ramon-casas-i-carbo-1908-94cef83e.jpg
b'Untitled',b'Santiago Rusi\xc3\xb1ol',b'1891',b'ES',https://az333959.vo.msecnd.net/images-4/untitled-santiago-rusinol-1891-1-abdca09a.jpg
b'Untitled',b'Dionisio Baixeras Verdaguer',b'1890',,https://az333959.vo.msecnd.net/images-1/untitled-dionisio-baixeras-verdaguer-1890-1-b2b99525.jpg
b'Untitled',b'Santiago Rusi\xc3\xb1ol',b'1892',b'ES',https://az333960.vo.msecnd.net/images-1/untitled-santiago-rusinol-1892-1-cce838f8.jpg
|b'Caf\xc3\xa9 des Incoherents, Montmartre (16 bis, rue Fontaine,...'|,b'Santiago Rusi\xc3\xb1ol',b'1890',b'ES',https://az333959.vo.msecnd.net/images-5/untitled-santiago-rusinol-1880-a5953589.jpg
b'Gypsy with Red Rhawl (Gitana amb mant\xc3\xb3 vermell)',b'Ramon Casas i Carb\xc3\xb3',b'1898',b'ES',https://az334034.vo.msecnd.net/images-1/untitled-ramon-casas-i-carbo-1898-89b8fac1.jpg
b'El pati blau',b'Santiago Rusi\xc3\xb1ol',b'1892',b'ES',https://az334033.vo.msecnd.net/images-2/untitled-santiago-rusinol-1892-2-886bf312.jpg
b'Primavera',b'Joan Brull Vinyoles',b'1906',b'ES',https://az333960.vo.msecnd.net/images-6/untitled-joan-brull-vinyoles-1890-1-55558fc8.jpg
b'Untitled',b'Ramon Casas i Carb\xc3\xb3',b'1894',b'ES',https://az333960.vo.msecnd.net/images-6/untitled-ramon-casas-i-carbo-1894-1-969f941e.jpg
b'Untitled',b'Santiago Rusi\xc3\xb1ol',b'1898',b'ES',https://az334034.vo.msecnd.net/images-8/untitled-santiago-rusinol-1898-86fc8411.jpg
b'Untitled',b'Santiago Rusi\xc3\xb1ol',b'1897',b'ES',https://az334034.vo.msecnd.net/images-5/untitled-santiago-rusinol-1897-b2d2623d.jpg
b'Untitled',b'Santiago Rusi\xc3\xb1ol',b'1900',b'ES',https://az334033.vo.msecnd.net/images-6/untitled-santiago-rusinol-1900-ae8cf4c5.jpg
b'Untitled',b'Julio Romero de Torres',b'1905',b'ES',https://az334034.vo.msecnd.net/images-3/untitled-julio-romero-de-torres-1905-86ff7942.jpg
