Title,Artist,Year,Country,Thumbnail
b'The Marriage bed of Tobias and Sarah',b'Jan Steen',b'1660',b'NL',https://az334033.vo.msecnd.net/images-8/untitled-jan-steen-1660-2-af4d1157.jpg
b'Raising of the Cross',b'Rembrandt',b'Cross',b'NL',https://az333960.vo.msecnd.net/images-8/raising-of-the-cross-rembrandt-1-948c1b0d.jpg
b'Self-Portrait with His Wife Maria',b'Jan de Baen',b'1674',,https://az333960.vo.msecnd.net/images-3/self-portrait-with-his-wife-maria-jan-de-baen-1674-09d943cc.jpg
b'Couple in a bedroom',b'Jan Steen',b'1660',b'NL',https://az334034.vo.msecnd.net/images-0/couple-in-a-bedroom-jan-steen-1660-d1806320.jpg
b'Peasant Inn',b'Adriaen Brouwer',b'1630',,https://az334034.vo.msecnd.net/images-7/peasant-inn-adriaen-brouwer-1630-1dced408.jpg
b'Landscape with scene of an armed holdup',b'Abraham van der Hoef',b'1660',,https://az334034.vo.msecnd.net/images-5/landscape-with-scene-of-an-armed-holdup-abraham-van-der-hoef-1660-8c77bbda.jpg
b'The Angel Raphael and the Demon',b'Jan Steen',b'1660',b'NL',https://az333959.vo.msecnd.net/images-4/the-angel-raphael-and-the-demon-jan-steen-1660-ba989088.jpg
b'Drinking monk',b'Egbert van Heemskerk',b'1660',,https://az334033.vo.msecnd.net/images-8/drinking-monk-egbert-van-heemskerk-1660-08f6bd67.jpg
b'Landscape with shepherds',b'Jan Hackaert',b'1670',,https://az334033.vo.msecnd.net/images-6/landscape-with-shepherds-jan-hackaert-1670-1d2911d7.jpg
b'Boy feeding his Cat',b'Cornelis Bisschop',b'Cat',,https://az334033.vo.msecnd.net/images-2/boy-feeding-his-cat-cornelis-bisschop-54eb2b15.jpg
b'Head of Christ',b'Rembrandt',b'Christ',b'NL',https://az334034.vo.msecnd.net/images-3/head-of-christ-rembrandt-b9c0865b.jpg
b'The Rhetoricians (copy)',b'Jan Steen',b'1850',b'NL',https://az334033.vo.msecnd.net/images-0/the-rhetoricians-copy-jan-steen-1850-8ba40510.jpg
b'The Satyr and the Peasant "Who Blows Hot and Cold"',b'Jan Steen',b'1660',b'NL',https://az333960.vo.msecnd.net/images-5/the-satyr-and-the-peasant-who-blows-hot-and-cold-jan-steen-1660-4eac5758.jpg
b'Pronk still life with lobster',b'Jasper Geeraards',b'1640',,https://az333959.vo.msecnd.net/images-6/pronk-still-life-with-lobster-jasper-geeraards-1640-a8395e96.jpg
b'Landscape with waterway',b'Aert van der Neer',b'waterway',,https://az334034.vo.msecnd.net/images-8/landscape-with-waterway-aert-van-der-neer-93d46339.jpg
b'Farmhouse on the river',b'Anthonie van Borssom',b'1650',,https://az334034.vo.msecnd.net/images-8/farmhouse-on-the-river-anthonie-van-borssom-1650-403b1162.jpg
b'Adoration of the Shepherds',b'Jan Steen',b'1660',b'NL',https://az333960.vo.msecnd.net/images-8/adoration-of-the-shepherds-jan-steen-1660-788a1ff6.jpg
b'Wooded Landscape with a Ford',b'Adam Pynacker',b'1655',,https://az334034.vo.msecnd.net/images-7/wooded-landscape-with-a-ford-adam-pynacker-1655-4bea6277.jpg
b'Portrait of a woman',b'Willem Drost',b'1653',,https://az333960.vo.msecnd.net/images-8/portrait-of-a-woman-willem-drost-1653-3b037605.jpg
