Title,Artist,Year,Country,Thumbnail
b'Man of Sorrows',b'Geertgen tot Sint Jans',b'1480',b'NL',https://az334034.vo.msecnd.net/images-8/man-of-sorrows-geertgen-tot-sint-jans-1480-d2ed2b4a.jpg
b'Portrait of Nicolaas Stenius',b'Frans Hals',b'1650',b'NL',https://az334033.vo.msecnd.net/images-7/portrait-of-nicolaas-stenius-frans-hals-1650-287cee0f.jpg
b"Bathsheba receiving David's Letter",b'Rembrandt',b'Letter',b'NL',https://az334033.vo.msecnd.net/images-9/bathsheba-receiving-david-s-letter-rembrandt-a208b67c.jpg
b'Portret van Petrus Joannes Thunnissen',b'Albin Windhausen',b'1896',,https://az333959.vo.msecnd.net/images-6/portret-van-petrus-joannes-thunnissen-albin-windhausen-1896-2f509e03.jpg
|b'Vier Kirchenv\xc3\xa4ter: Augustinus, Hieronymus, Gregorius und...'|,b'Abraham Bloemaert',b'1632',b'NL',https://az333960.vo.msecnd.net/images-3/vier-kirchenvater-augustinus-hieronymus-gregorius-und-ambrosius-abraham-bloemaert-1632-bee1df10.jpg
b'Martin Luther and the Protestant Reformers',b'Anonymous',b'1660',,https://az333960.vo.msecnd.net/images-9/martin-luther-and-the-protestant-reformers-anonymous-1660-90071a75.jpg
|b'Portrait histori\xc3\xa9 of Michel Poppen and his family, with a...'|,b'Werner van den Valckert',b'1620',,https://az333959.vo.msecnd.net/images-5/portrait-historie-of-michel-poppen-and-his-family-with-a-self-portrait-of-the-artist-werner-van-den-valckert-1620-dd1fc2d1.jpg
b'Portrait of Berber Ruertsdr van Juckema (1610-1667)',b'Leendert van der Cooghen',b'1660',,https://az334034.vo.msecnd.net/images-4/portrait-of-berber-ruertsdr-van-juckema-1610-1667-leendert-van-der-cooghen-1660-9ef44974.jpg
|b'Gregoriusmis met H. Potentinus van Steinfeld, H. Andreas...'|,b'Master of the Holy Kinship the younger',b'1486',,https://az333960.vo.msecnd.net/images-7/gregoriusmis-met-h-potentinus-van-steinfeld-h-andreas-en-de-stichter-abt-reinier-hundt-master-of-the-holy-kinship-the-younger-1486-98c62ae6.jpg
b'The Baptism of the Eunuch',b'Rembrandt',b'1626',b'NL',https://az334034.vo.msecnd.net/images-2/the-baptism-of-the-eunuch-rembrandt-1626-00f041e5.jpg
b'Anastasis',b'Anonymous',b'1699',,https://az334034.vo.msecnd.net/images-7/anastasis-anonymous-1699-07d515cb.jpg
b'The battle between Carnival and Lent',b'Anonymous',b'1600',,https://az333960.vo.msecnd.net/images-3/the-battle-between-carnival-and-lent-anonymous-1600-80cf03da.jpg
b'Two doors of a Triptych with Saints Jerome and John the...',b'Adriaen Isenbrandt',b'the...',,https://az334034.vo.msecnd.net/images-0/two-doors-of-a-triptych-with-saints-jerome-and-john-the-baptist-adriaen-isenbrandt-032fba25.jpg
|b'Portrait of Clara Elisabeth Helmich (1783-1837), wife of...'|,b'Cornelis Kruseman',b'1826',,https://az334034.vo.msecnd.net/images-2/portrait-of-clara-elisabeth-helmich-1783-1837-wife-of-jacobus-petrus-yvo-diert-van-melissant-1774-1847-cornelis-kruseman-1826-9e2b3e42.jpg
b'Madonna and Child with Sts Dominic and Catherine of Siena',b'Plautilla Nelli',b'1562',,https://az334033.vo.msecnd.net/images-4/madonna-and-child-with-sts-dominic-and-catherine-of-siena-plautilla-nelli-1562-e734be7b.jpg
|b'Regents of the Mennonite Orphanage, Haarlem'|,b'Jan Adam Kruseman',b'1834',b'NL',https://az334033.vo.msecnd.net/images-2/regents-of-the-mennonite-orphanage-haarlem-jan-adam-kruseman-1834-90d7a654.jpg
b'Visioen van de H. Bernardus',b'Master of Delft',b'1499',,https://az334033.vo.msecnd.net/images-0/visioen-van-de-h-bernardus-master-of-delft-1499-4ee9084d.jpg
|b'Portrait of Anna van Waesdorp, wife of Dirck Diert'|,b'Abraham de Vries',b'Diert',,https://az333960.vo.msecnd.net/images-8/portrait-of-anna-van-waesdorp-wife-of-dirck-diert-abraham-de-vries-921358b6.jpg
b'Aanbidding der herders',b'Master of the Morrison Triptych',b'1514',,https://az333960.vo.msecnd.net/images-1/aanbidding-der-herders-master-of-the-morrison-triptych-1514-0d5d0900.jpg
b'Gezin in gebed voor de maaltijd',b'Anonymous',b'1627',,https://az334033.vo.msecnd.net/images-7/gezin-in-gebed-voor-de-maaltijd-anonymous-1627-d2f41a58.jpg
b'Christus en de overspelige vrouw',b'Nicolaes Eliaszoon Pickenoy',b'1629',,https://az333960.vo.msecnd.net/images-4/christus-en-de-overspelige-vrouw-nicolaes-eliaszoon-pickenoy-1629-d8c824dc.jpg
b'Kruisdood van Christus met de stigmatisatie van Franciscus',b'Anonymous',b'1494',,https://az333960.vo.msecnd.net/images-6/kruisdood-van-christus-met-de-stigmatisatie-van-franciscus-anonymous-1494-c2d7527a.jpg
b'Bisschopshof te Utrecht anno 1600',b'Joannes van Liefland',b'1854',,https://az333959.vo.msecnd.net/images-3/bisschopshof-te-utrecht-anno-1600-joannes-van-liefland-1854-1c0b5bd3.jpg
b'Laatste Avondmaal',b'Master of 1518',b'1519',,https://az333960.vo.msecnd.net/images-5/laatste-avondmaal-master-of-1518-1519-e511a054.jpg
b'Heuwagen',b'Gillis Mostaert',b'1574',,https://az333960.vo.msecnd.net/images-0/heuwagen-gillis-mostaert-1574-2cc9f2b9.jpg
b'Gentse begijn Matteken wordt toegesproken door een...',b'Pieter de Grebber',b'1635',,https://az333960.vo.msecnd.net/images-8/gentse-begijn-matteken-wordt-toegesproken-door-een-kruisbeeld-pieter-de-grebber-1635-23086382.jpg
b'Rechterluik van een triptiek. Voorzijde: Opstanding....',b'Jan van Scorel',b'1534',b'NL',https://az334033.vo.msecnd.net/images-0/rechterluik-van-een-triptiek-voorzijde-opstanding-achterzijde-portret-van-een-vrouw-stichtster-jan-van-scorel-1534-77629c30.jpg
b'MCC-42837 Mystiek huwelijk van de H. Agnes',b'Anonymous',b'1470',,https://az334033.vo.msecnd.net/images-1/mcc-42837-mystiek-huwelijk-van-de-h-agnes-anonymous-1470-345ceecd.jpg
b'St Peter of Siena',b'Giovanni di Paolo',b'1448',,https://az334034.vo.msecnd.net/images-5/st-peter-of-siena-giovanni-di-paolo-1448-ff66386d.jpg
b'Portret van Nicolaas van der Meer (1652-1728)',b'Jan Anthonie Coxie',b'1702',,https://az334033.vo.msecnd.net/images-0/portret-van-nicolaas-van-der-meer-1652-1728-jan-anthonie-coxie-1702-78fb9eee.jpg
b'Holy Family',b'J\xc3\xbcrgen Ovens',b'1649',,https://az334034.vo.msecnd.net/images-4/holy-family-jurgen-ovens-1649-103db4ed.jpg
b'Christus en de overspelige vrouw',b'Anonymous',b'1565',,https://az333959.vo.msecnd.net/images-7/christus-en-de-overspelige-vrouw-anonymous-1565-08d9f096.jpg
