Title,Artist,Year,Country,Thumbnail
b'History Painting (Rembrandt)',b'Rembrandt',b'1626',b'NL',https://az333959.vo.msecnd.net/images-9/history-painting-rembrandt-rembrandt-1626-d6301bd6.jpg
b'Italianate landscape',b'Nicolaes Pieterszoon Berchem',b'1635',,https://az333959.vo.msecnd.net/images-5/italianate-landscape-nicolaes-pieterszoon-berchem-1635-cb72c647.jpg
b'Last Judgement',b'Lucas van Leyden',b'1527',b'NL',https://az334033.vo.msecnd.net/images-2/untitled-lucas-van-leyden-1527-670f96fc.jpg
b'Oude vrouw die een haring schoonmaakt.',b'Quirijn van Brekelenkam',b'schoonmaakt.',,https://az334033.vo.msecnd.net/images-9/oude-vrouw-die-een-haring-schoonmaakt-quirijn-van-brekelenkam-90597e98.jpg
b'The Dismissal of Hagar',b'Gabri\xc3\xabl Metsu',b'Hagar',b'NL',https://az334034.vo.msecnd.net/images-1/the-dismissal-of-hagar-gabriel-metsu-80d57d64.jpg
b'Portrait of P\xc3\xa9tro',b'Theo van Doesburg',b'1922',b'NL',https://az333959.vo.msecnd.net/images-7/portrait-of-petro-theo-van-doesburg-1922-e505c5f5.jpg
b'Bust of a man wearing a gold chain',b'Rembrandt',b'chain',b'NL',https://az333960.vo.msecnd.net/images-0/bust-of-a-man-wearing-a-gold-chain-rembrandt-0696190d.jpg
b'Houses',b'Theo van Doesburg',b'Houses',b'NL',https://az333959.vo.msecnd.net/images-4/houses-theo-van-doesburg-cc6d00a5.jpg
b'Count Willem II of Holland Granting Privileges',b'Caesar van Everdingen',b'Privileges',,https://az333959.vo.msecnd.net/images-1/count-willem-ii-of-holland-granting-privileges-caesar-van-everdingen-f1fe1021.jpg
b'Winter Landscape with Huys te Merwede',b'Jan van Goyen',b'Merwede',b'NL',https://az334033.vo.msecnd.net/images-4/winter-landscape-with-huys-te-merwede-jan-van-goyen-9d414f0f.jpg
b'Vanitas with self-portrait',b'David Bailly',b'1651',,https://az333960.vo.msecnd.net/images-5/vanitas-with-self-portrait-david-bailly-1651-d30499d7.jpg
b'The Inmates of my House',b'Th\xc3\xa9r\xc3\xa8se Schwartze',b'House',,https://az334034.vo.msecnd.net/images-7/the-inmates-of-my-house-therese-schwartze-13197e1a.jpg
b'The Spectacles-pedlar (Sight)',b'Rembrandt',b'(Sight)',b'NL',https://az334034.vo.msecnd.net/images-1/the-spectacles-pedlar-sight-rembrandt-050db5db.jpg
b'Triptych with the Crucifixion',b'Cornelis Engebrechtsz',b'Crucifixion',,https://az334033.vo.msecnd.net/images-8/triptych-with-the-crucifixion-cornelis-engebrechtsz-b9a402a2.jpg
