Title,Artist,Year,Country,Thumbnail
b'Nude Girls Talking',b'Ernst Ludwig Kirchner',b'Talking',b'DE',https://az334034.vo.msecnd.net/images-1/nude-girls-talking-ernst-ludwig-kirchner-7b46d9d3.jpg
b'Cross and cathedral in the mountains',b'Caspar David Friedrich',b'1812',b'DE',https://az333959.vo.msecnd.net/images-1/cross-and-cathedral-in-the-mountains-caspar-david-friedrich-1812-f9a277b3.jpg
b'Untitled',b'Jean-Baptiste Regnault',b'1796',,https://az334034.vo.msecnd.net/images-3/untitled-jean-baptiste-regnault-1796-521ddd87.jpg
b'Kandaules\xe2\x80\x99 Wife Discovering the Hiding Gyges',b'Eglon van der Neer',b'1660',,https://az334034.vo.msecnd.net/images-7/kandaules-wife-discovering-the-hiding-gyges-eglon-van-der-neer-1660-ecbd7758.jpg
b'Quiet Harmony',b'Wassily Kandinsky',b'1924',b'RU',https://az334033.vo.msecnd.net/images-2/quiet-harmony-vasily-kandinsky-1924-bc7db402.jpg
b'The Foxes',b'Franz Marc',b'1913',b'DE',https://az334033.vo.msecnd.net/images-1/the-foxes-franz-marc-1913-02899305.jpg
b'View of Via di Ripetta in Rome',b'Bernardo Bellotto',b'1742',b'IT',https://az333960.vo.msecnd.net/images-5/view-of-via-di-ripetta-in-rome-bernardo-bellotto-1742-58fd4ce2.jpg
b'In the Alpine High Valley (Landscape with Mt. Wendelstein)',b'Carl Spitzweg',b'Wendelstein)',,https://az333960.vo.msecnd.net/images-0/in-the-alpine-high-valley-landscape-with-mt-wendelstein-carl-spitzweg-fe1155bc.jpg
b'Untitled',b'Peter von Cornelius',b'1813',,https://az334033.vo.msecnd.net/images-0/untitled-peter-von-cornelius-1813-ba7ef56f.jpg
b'View of the Baltic',b'Caspar David Friedrich',b'1820',b'DE',https://az334033.vo.msecnd.net/images-2/view-of-the-baltic-caspar-david-friedrich-1820-560b93d6.jpg
b"Kandaules' wife discovers Gyges",b'Eglon van der Neer',b'1675',,https://az334034.vo.msecnd.net/images-4/kandaules-wife-discovers-gyges-eglon-van-der-neer-1675-16adea0e.jpg
b'In the Park of the Villa Borghese',b'Oswald Achenbach',b'1886',,https://az333960.vo.msecnd.net/images-9/in-the-park-of-the-villa-borghese-oswald-achenbach-eaa9e20e.jpg
b'Bacchus on a Throne \xe2\x88\x92 Nymphs Offering Bacchus Wine and Fruit',b'Caesar van Everdingen',b'1670',,https://az334033.vo.msecnd.net/images-3/bacchus-on-a-throne-nymphs-offering-bacchus-wine-and-fruit-caesar-van-everdingen-1670-79d8645c.jpg
b'Untitled',b'Johann Peter Hasenclever',b'Untitled',,https://az334034.vo.msecnd.net/images-5/untitled-johann-peter-hasenclever-8e6e5151.jpg
b'Karlskirche in Vienna',b'Bernardo Bellotto',b'Vienna',b'IT',https://az333960.vo.msecnd.net/images-6/karlskirche-in-vienna-bernardo-bellotto-aef7a2c3.jpg
b'The Old Academy in D\xc3\xbcsseldorf',b'Andreas Achenbach',b'1831',b'DE',https://az334033.vo.msecnd.net/images-1/the-old-academy-in-dusseldorf-andreas-achenbach-1831-b23d7466.jpg
b'Untitled',b'Johann Peter Hasenclever',b'1836',,https://az334033.vo.msecnd.net/images-1/untitled-johann-peter-hasenclever-1836-497cbaad.jpg
b'Delilah\xe2\x80\x99s Betrayal and Samson\xe2\x80\x99s Imprisonment by the...',b'Joos van Winghe',b'1580',,https://az333959.vo.msecnd.net/images-8/delilah-s-betrayal-and-samson-s-imprisonment-by-the-philistines-joos-van-winghe-1580-dafe465d.jpg
b'Reverence to Elector Johann Wilhelm von der Pfalz \xe2\x80\x93...',b'Antonio Bellucci',b'1708',,https://az333959.vo.msecnd.net/images-5/reverence-to-elector-johann-wilhelm-von-der-pfalz-design-for-a-ceiling-painting-for-bensberg-castl-antonio-bellucci-1708-aa8f9132.jpg
b'The Wetterhorn',b'Johann Wilhelm Schirmer',b'1838',,https://az334033.vo.msecnd.net/images-9/the-wetterhorn-johann-wilhelm-schirmer-1838-3b91a74c.jpg
b'Potato Harvest',b'Max Liebermann',b'1875',b'DE',https://az334033.vo.msecnd.net/images-4/potato-harvest-max-liebermann-1875-86227afb.jpg
b'Still Life with Apples',b'Carl Schuch',b'1889',,https://az333959.vo.msecnd.net/images-5/still-life-with-apples-carl-schuch-1889-780d8c01.jpg
b'Elector Johann Wilhelm von Pfalz-Neuburg on Horseback',b'Jan Frans van Douven',b'Horseback',,https://az334033.vo.msecnd.net/images-3/elector-johann-wilhelm-von-pfalz-neuburg-on-horseback-jan-frans-van-douven-a3862fd8.jpg
b'In the Park of the Villa Borghese',b'Oswald Achenbach',b'1886',,https://az333960.vo.msecnd.net/images-4/in-the-park-of-the-villa-borghese-oswald-achenbach-1886-2d9d45a2.jpg
b'Moses Striking the Rock',b'Adam van Noort',b'2000',,https://az334033.vo.msecnd.net/images-9/moses-striking-the-rock-adam-van-noort-2000-eadc153c.jpg
b'Portrait of  Lida Bendemann',b'Eduard Bendemann',b'1847',,https://az334034.vo.msecnd.net/images-2/portrait-of-lida-bendemann-eduard-bendemann-1847-a2af8f1d.jpg
b'The Silesian Weavers',b'Karl H\xc3\xbcbner',b'1844',,https://az334033.vo.msecnd.net/images-4/the-silesian-weavers-karl-hubner-1844-d32dbace.jpg
b'Nudes under Trees',b'Franz Marc',b'1911',b'DE',https://az333960.vo.msecnd.net/images-9/nudes-under-trees-franz-marc-1911-f1663f3b.jpg
b'The Sibyl Agrippina',b'Abraham Janssens I',b'1600',,https://az333960.vo.msecnd.net/images-5/the-sibyl-agrippina-abraham-janssens-i-1600-fcf18d62.jpg
b'Abstraction (the Blue Mountain)',b'Christian Rohlfs',b'1912',,https://az333959.vo.msecnd.net/images-2/abstraction-the-blue-mountain-christian-rohlfs-1912-a6102bf7.jpg
|b'Portrait of Wolfgang Wilhelm, Count Palatine of Neuburg'|,b'Johannes Spilberg',b'1648',,https://az333960.vo.msecnd.net/images-1/portrait-of-wolfgang-wilhelm-count-palatine-of-neuburg-johannes-spilberg-1648-3bb78379.jpg
b'Venus and Adonis',b'Peter Paul Rubens',b'1610',b'NL',https://az333959.vo.msecnd.net/images-7/venus-and-adonis-peter-paul-rubens-1610-a23ee186.jpg
b'Pronkstillleven with Fruit and Fowl',b'Abraham van Beijeren',b'1651',,https://az333960.vo.msecnd.net/images-2/pronkstillleven-with-fruit-and-fowl-abraham-van-beijeren-1651-6b7711b7.jpg
b'On the Seashore (Modern Iphigenia)',b'Anselm Feuerbach',b'1875',,https://az333959.vo.msecnd.net/images-6/on-the-seashore-modern-iphigenia-anselm-feuerbach-1875-25bd6a7b.jpg
b'First Pages of a Manuscript',b'Anonymous',b'1540',,https://az334033.vo.msecnd.net/images-4/first-pages-of-a-manuscript-anonymous-1540-286157b9.jpg
b'Torquato Tasso and the Two Leonores',b'Karl Ferdinand Sohn',b'1839',,https://az334034.vo.msecnd.net/images-0/torquato-tasso-and-the-two-leonores-karl-ferdinand-sohn-1839-67b1c00e.jpg
b'The Last Statement',b'Arthur Kampf',b'1886',,https://az334034.vo.msecnd.net/images-0/the-last-statement-arthur-kampf-1886-bf75e545.jpg
b'Saint Francis Kneeling in Meditation',b'Francisco de Zurbar\xc3\xa1n',b'1630',b'ES',https://az334033.vo.msecnd.net/images-1/saint-francis-kneeling-in-meditation-francisco-de-zurbaran-1630-07c1f1c8.jpg
b'Alexander at the Corpse of the Dead Darius',b'Giovanni Antonio Pellegrini',b'1708',b'IT',https://az334033.vo.msecnd.net/images-1/alexander-at-the-corpse-of-the-dead-darius-giovanni-antonio-pellegrini-1708-638bcf8e.jpg
