Title,Artist,Year,Country,Thumbnail
b'Scharfruhiges Rosa',b'Wassily Kandinsky',b'1924',b'RU',https://az334034.vo.msecnd.net/images-0/scharfruhiges-rosa-vasily-kandinsky-1924-a57ba40c.jpg
b'Untitled',b'Paul Klee',b'Untitled',b'CH',https://az333960.vo.msecnd.net/images-3/untitled-paul-klee-3482bc67.jpg
b'Rayonist Sausages and Mackerel',b'Mikhail Larionov',b'Mackerel',b'RU',https://az334033.vo.msecnd.net/images-1/rayonist-sausages-and-mackerel-mikhail-larionov-dc0795a0.jpg
b'Red and Blue Rayonism (Beach)',b'Mikhail Larionov',b'(Beach)',b'RU',https://az334034.vo.msecnd.net/images-1/red-and-blue-rayonism-beach-mikhail-larionov-a5981d4b.jpg
b'Wildschweine',b'Franz Marc',b'1913',b'DE',https://az333960.vo.msecnd.net/images-5/wildschweine-franz-marc-1913-214241c1.png
b'Rinder',b'Franz Marc',b'1913',b'DE',https://az334034.vo.msecnd.net/images-2/rinder-franz-marc-1913-b116b2b3.jpg
b'White Line',b'Wassily Kandinsky',b'1920',b'RU',https://az334034.vo.msecnd.net/images-7/white-line-vasily-kandinsky-1920-50821db3.jpg
b'Five women on the street',b'Ernst Ludwig Kirchner',b'1913',b'DE',https://az333959.vo.msecnd.net/images-9/five-women-on-the-street-ernst-ludwig-kirchner-1913-97e9baf0.jpg
b'Weiblicher Halbakt mit Hut',b'Ernst Ludwig Kirchner',b'1911',b'DE',https://az334033.vo.msecnd.net/images-2/untitled-ernst-ludwig-kirchner-1911-0e06a4ad.jpg
b'\xd0\x94\xd0\xb8\xd0\xbd\xd0\xb0\xd0\xbc\xd0\xb8\xd1\x87\xd0\xb5\xd1\x81\xd0\xba\xd0\xb8\xd0\xb9 \xd1\x81\xd1\x83\xd0\xbf\xd1\x80\xd0\xb5\xd0\xbc\xd0\xb0\xd1\x82\xd0\xb8\xd0\xb7\xd0\xbc \xe2\x84\x96 38',b'Kazimir Malevich',b'1915',b'RU',https://az334033.vo.msecnd.net/images-8/dinamicheskiy-suprematizm-no-38-kazimir-malevich-77b12d19.jpg
b'Farewell',b'August Macke',b'1914',b'DE',https://az333960.vo.msecnd.net/images-8/farewell-august-macke-1914-865f5bb6.jpg
|b'Landscape, Field'|,b'Kazimir Malevich',b'1932',b'RU',https://az333960.vo.msecnd.net/images-6/landscape-field-kazimir-malevich-1932-a082d821.png
