Title,Artist,Year,Country,Thumbnail
b'Portrait of Paulus Verschuur',b'Pieter van der Werff',b'Verschuur',,https://az333960.vo.msecnd.net/images-2/portrait-of-paulus-verschuur-pieter-van-der-werff-c7e22a66.jpg
b'Cunera Oltshoorn',b'Adriaen van der Werff',b'Oltshoorn',b'NL',https://az333959.vo.msecnd.net/images-1/cunera-oltshoorn-adriaen-van-der-werff-a2dad82b.jpg
b'Staartster (komeet) boven Rotterdam',b'Lieve Verschuier',b'1680',,https://az333959.vo.msecnd.net/images-1/staartster-komeet-boven-rotterdam-lieve-verschuier-1680-65ad67bc.jpg
b'Untitled',b'Taco Scheltema',b'Untitled',,https://az334034.vo.msecnd.net/images-4/untitled-taco-scheltema-74c30146.jpg
b'Interieur met stilleven van groente en vaatwerk',b'Willem Kalf',b'1666',b'NL',https://az334034.vo.msecnd.net/images-0/interieur-met-stilleven-van-groente-en-vaatwerk-willem-kalf-1666-941050b5.jpg
b'Portret van Michiel Marinus de Monchy (1820-1898)',b'Jozef Isra\xc3\xabls',b'1898',b'NL',https://az334034.vo.msecnd.net/images-3/portret-van-michiel-marinus-de-monchy-1820-1898-jozef-israels-1898-9d8218e4.jpg
b'Portret van Desiderius Erasmus geschilderd als trompe-l...',b'Evert Collier',b'trompe-l...',b'NL',https://az333959.vo.msecnd.net/images-7/portret-van-desiderius-erasmus-geschilderd-als-trompe-l-oeil-papier-verzegeld-op-plank-evert-collier-1-01d5d51f.jpg
b'Portret van Eeuwout Prins (1622-1662) en zijn gezin',b'Hendrik Martenszoon Sorgh',b'1661',,https://az334034.vo.msecnd.net/images-6/portret-van-eeuwout-prins-1622-1662-en-zijn-gezin-hendrik-martenszoon-sorgh-1661-c1ab5957.jpg
b'Portret van Abraham de Riemer (1628-1683)',b'Isaack Luttichuys',b'1655',b'NL',https://az334033.vo.msecnd.net/images-2/portret-van-abraham-de-riemer-1628-1683-isaack-luttichuys-1655-c5289efb.jpg
b'Portret van Hugo Visch (?-1636)',b'Pieter van der Werff',b'(?-1636)',,https://az333959.vo.msecnd.net/images-8/portret-van-hugo-visch-1636-pieter-van-der-werff-7fa1821d.jpg
b'Portret van Desiderius Erasmus',b'Evert Collier',b'1693',b'NL',https://az333960.vo.msecnd.net/images-7/portret-van-desiderius-erasmus-geschilderd-als-trompe-l-oeil-papier-verzegeld-op-plank-evert-collier-37923c1c.jpg
|b'Het huwelijk van Alexander de Grote met Roxane, prinses...'|,b'Gerard Sanders',b'1754',,https://az334033.vo.msecnd.net/images-9/het-huwelijk-van-alexander-de-grote-met-roxane-prinses-van-bactrie-gerard-sanders-1754-7483d8c1.jpg
|b'Portret van Pierre Henri Martin (1793-1882), dompteur en...'|,b'Raden Saleh',b'1837',b'ID',https://az333960.vo.msecnd.net/images-7/portret-van-pierre-henri-martin-1793-1882-dompteur-en-directeur-van-de-rotterdamse-diergaarde-raden-saleh-1837-02bc1c5f.jpg
b'Portret van Cornelis Suermondt (1815-1883)',b'Jacob Spoel',b'1849',,https://az333960.vo.msecnd.net/images-9/portret-van-cornelis-suermondt-1815-1883-jacob-spoel-1849-7903894d.jpg
b'Geschilderd behangsel met voorstelling van bloemen in een...',b'Willem van Leen',b'1806',b'NL',https://az334034.vo.msecnd.net/images-1/geschilderd-behangsel-met-voorstelling-van-bloemen-in-een-vaas-willem-van-leen-1806-118d9b0e.jpg
b'Ovaal portret van Eeuwout Eeuwoutsz. Prins (circa 1590...',b'Anonymous',b'1590...',,https://az334033.vo.msecnd.net/images-1/ovaal-portret-van-eeuwout-eeuwoutsz-prins-circa-1590-1636-man-met-molensteenkraag-en-baard-anonymous-6b96355b.jpg
b'De dansles',b'Adriaen van der Werff',b'1718',b'NL',https://az334033.vo.msecnd.net/images-8/de-dansles-adriaen-van-der-werff-1718-821ae776.jpg
b'Portret van Elise Suzanne Marie Schmidt (1821-1893)',b'Friedrich Boser',b'1851',,https://az334033.vo.msecnd.net/images-7/portret-van-elise-suzanne-marie-schmidt-1821-1893-friedrich-boser-1851-255d37df.jpg
b'Portret van Sarah Bosch (1707-?)',b'Dionys van Nijmegen',b'1733',,https://az334033.vo.msecnd.net/images-2/portret-van-sarah-bosch-1707-dionys-van-nijmegen-1733-6bc36a28.jpg
b'Portret van Geertruy van der Spelt',b'Cornelis Cels',b'1818',,https://az334033.vo.msecnd.net/images-1/portret-van-geertruy-van-der-spelt-cornelis-cels-1818-f50a7d93.jpg
b'Portret van Elisabeth Jansdr. Van Zijl',b'Anonymous',b'Zijl',,https://az334034.vo.msecnd.net/images-8/portret-van-elisabeth-jansdr-van-zijl-anonymous-d4a33d83.jpg
|b'Schoorsteenstuk allegorie, mogelijk op het Ware Geloof'|,b'Dionys van Nijmegen',b'Geloof',,https://az333959.vo.msecnd.net/images-5/schoorsteenstuk-allegorie-mogelijk-op-het-ware-geloof-dionys-van-nijmegen-8ffef251.jpg
b'Portret van Elisabeth Maria van Neck (1741-1817)',b'Guillaume de Spinny',b'1777',,https://az334033.vo.msecnd.net/images-1/portret-van-elisabeth-maria-van-neck-1741-1817-guillaume-de-spinny-1777-28eac910.jpg
b'Portrait of Dani\xc3\xabl van Hogendorp',b'Cornelis Janssens van Ceulen',b'Hogendorp',,https://az333960.vo.msecnd.net/images-3/portrait-of-daniel-van-hogendorp-cornelis-janssens-van-ceulen-ae0efab3.jpg
