Title,Artist,Year,Country,Thumbnail
b'Graveyard under Snow',b'Caspar David Friedrich',b'1826',b'DE',https://az334033.vo.msecnd.net/images-5/graveyard-under-snow-caspar-david-friedrich-1826-c1ebdef9.jpg
b'Karl D\xc3\xb8rnberger',b'Edvard Munch',b'1889',b'NO',https://az333960.vo.msecnd.net/images-6/karl-dornberger-edvard-munch-1889-ae9c3158.jpg
b'Still life with flowers and fruit',b'Rachel Ruysch',b'fruit',b'NL',https://az333960.vo.msecnd.net/images-8/still-life-with-flowers-and-fruit-rachel-ruysch-67d633ac.jpg
b'Portrait of Gerard ter Borch?',b'Gerard ter Borch',b'1669',,https://az333960.vo.msecnd.net/images-5/portrait-of-gerard-ter-borch-gerard-ter-borch-f3330f60.jpg
b'The Mulatto',b'Frans Hals',b'1628',b'NL',https://az333960.vo.msecnd.net/images-9/the-mulatto-frans-hals-1628-88e194dd.jpg
b'Dolmen near Vordingborg in Winter',b'Johan Christian Dahl',b'Winter',b'NO',https://az334033.vo.msecnd.net/images-3/dolmen-near-vordingborg-in-winter-johan-christian-dahl-7cd4a3af.jpg
b'Untitled',b'Lovis Corinth',b'Untitled',,https://az334034.vo.msecnd.net/images-0/untitled-lovis-corinth-4-f40eecd8.jpg
b'Selling fish at the Beach of Scheveningen',b'Jan van Goyen',b'Scheveningen',b'NL',https://az334033.vo.msecnd.net/images-2/selling-fish-at-the-beach-of-scheveningen-jan-van-goyen-48167ca7.jpg
b'Isle of the Dead',b'Arnold B\xc3\xb6cklin',b'1886',b'CH',https://az334034.vo.msecnd.net/images-9/isle-of-the-dead-arnold-bocklin-1886-4a10988e.jpg
b'The life stages',b'Caspar David Friedrich',b'1834',b'DE',https://az334033.vo.msecnd.net/images-2/the-life-stages-caspar-david-friedrich-1834-0e85ed8e.jpg
b'Chalk Cliffs at Ruegen',b'Caspar David Friedrich',b'1825',b'DE',https://az334033.vo.msecnd.net/images-1/chalk-cliffs-at-ruegen-caspar-david-friedrich-1825-bb190b0f.jpg
b'Elegant company playing music and drinking in an interior',b'Dirck Hals',b'1630',b'NL',https://az334034.vo.msecnd.net/images-4/elegant-company-playing-music-and-drinking-in-an-interior-dirck-hals-1630-8fcf6db2.jpg
b'Seapiece by Moonlight',b'Caspar David Friedrich',b'1827',b'DE',https://az333959.vo.msecnd.net/images-7/seapiece-by-moonlight-caspar-david-friedrich-1827-53e59820.jpg
b'Self-portrait or Portrait of Rembrandt van Rijn',b'Rembrandt',b'Rijn',b'NL',https://az333959.vo.msecnd.net/images-9/self-portrait-or-portrait-of-rembrandt-van-rijn-rembrandt-946d1872.jpg
b'Musical Party in a Hall',b'Pieter de Hooch',b'Hall',b'NL',https://az333959.vo.msecnd.net/images-3/musical-party-in-a-hall-pieter-de-hooch-dddfa4b3.jpg
b'Teaching a Child to Walk',b'Pieter de Hooch',b'Walk',b'NL',https://az333960.vo.msecnd.net/images-1/teaching-a-child-to-walk-pieter-de-hooch-97f65dd1.jpg
b'The Preserve Makers',b'Max Liebermann',b'1879',b'DE',https://az333960.vo.msecnd.net/images-6/the-preserve-makers-max-liebermann-1879-cea0835a.jpg
