Title,Artist,Year,Country,Thumbnail
b'La Japonaise (Camille Monet in Japanese Costume)',b'Claude Monet',b'1875',b'FR',https://az334033.vo.msecnd.net/images-6/madame-monet-wearing-a-kimono-claude-monet-1875-0004f2c0.jpg
b'His Studio',b'Ignaz Gaugengigl',b'1881',b'DE',https://az333959.vo.msecnd.net/images-1/his-studio-ignaz-gaugengigl-0347c4e1.jpg
b'Mrs. Fiske Warren (Gretchen Osgood) and Her Daughter Rachel',b'John Singer Sargent',b'1903',b'US',https://az333959.vo.msecnd.net/images-4/mrs-fiske-warren-gretchen-osgood-and-her-daughter-rachel-john-singer-sargent-864e7979.jpg
b"The Painter's Honeymoon",b'Frederic Leighton',b'1864',b'GB',https://az334033.vo.msecnd.net/images-5/the-painter-s-honeymoon-frederic-leighton-27131efb.jpg
b'An Artist in His Studio',b'John Singer Sargent',b'1904',b'US',https://az333959.vo.msecnd.net/images-3/an-artist-in-his-studio-john-singer-sargent-cfb07538.jpg
b'Robert de C\xc3\xa9vrieux',b'John Singer Sargent',b'1879',b'US',https://az334033.vo.msecnd.net/images-5/robert-de-cevrieux-john-singer-sargent-d9549476.jpg
b'Moorish Bath',b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1870',b'FR',https://az334033.vo.msecnd.net/images-8/moorish-bath-jean-leon-gerome-327a873e.jpg
b'Simplon Pass: The Tease',b'John Singer Sargent',b'1911',b'US',https://az333960.vo.msecnd.net/images-6/simplon-pass-the-tease-john-singer-sargent-1911-df0347b2.jpg
|b'Long Branch, New Jersey'|,b'Winslow Homer',b'1869',b'US',https://az334034.vo.msecnd.net/images-7/long-branch-new-jersey-winslow-homer-cd0cde03.jpg
|b'Rue de la Bavole, Honfleur'|,b'Claude Monet',b'1864',b'FR',https://az334034.vo.msecnd.net/images-5/rue-de-la-bavole-honfleur-claude-monet-1864-33325eba.jpg
b'Women of Paris: The Circus Lover',b'James Tissot',b'1885',b'FR',https://az334033.vo.msecnd.net/images-5/women-of-paris-the-circus-lover-james-tissot-f53ba87e.jpg
|b'Charles Stewart, Sixth Marquess of Londonderry'|,b'John Singer Sargent',b'1904',b'US',https://az334034.vo.msecnd.net/images-0/charles-stewart-sixth-marquess-of-londonderry-carrying-the-great-sword-of-state-at-the-coronation-of-king-edward-vii-august-1902-and-mr-w-c-beaumont-his-page-on-that-occasion-john-singer-sargent-55ef4064.jpg
b'Rest on the Flight into Egypt',b'Luc-Olivier Merson',b'1879',b'FR',https://az333960.vo.msecnd.net/images-6/rest-on-the-flight-into-egypt-luc-olivier-merson-48d8a508.jpg
b'Writing to Father',b'Eastman Johnson',b'1863',,https://az334034.vo.msecnd.net/images-2/writing-to-father-eastman-johnson-0ee666cc.jpg
b'Woman with a Parasol and Small Child on a Sunlit Hillside',b'Auguste Renoir',b'1876',b'FR',https://az334034.vo.msecnd.net/images-9/woman-with-a-parasol-and-small-child-on-a-sunlit-hillside-pierre-auguste-renoir-2d9f4e5d.jpg
b'Young Shepherdess',b'Jean-Fran\xc3\xa7ois Millet',b'1873',b'FR',https://az333959.vo.msecnd.net/images-6/the-young-shepherdess-jean-francois-millet-1873-9a2325e2.jpg
b'Eleanor',b'Frank Weston Benson',b'1907',b'US',https://az334033.vo.msecnd.net/images-6/eleanor-frank-weston-benson-3098ece6.jpg
b'Calm Morning',b'Frank Weston Benson',b'1904',b'US',https://az333960.vo.msecnd.net/images-5/calm-morning-frank-weston-benson-dd842280.jpg
b'Decorative Head',b'Frank Weston Benson',b'1894',b'US',https://az334034.vo.msecnd.net/images-5/decorative-head-frank-weston-benson-7f63e3f5.jpg
b'Madame C\xc3\xa9zanne in a Red Armchair',b'Paul C\xc3\xa9zanne',b'1877',b'FR',https://az334033.vo.msecnd.net/images-4/madame-cezanne-in-a-red-armchair-paul-cezanne-1877-12cdb7d9.jpg
b"L'Eminence Grise",b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1873',b'FR',https://az334033.vo.msecnd.net/images-0/l-eminence-grise-jean-leon-gerome-7bc3b5ec.jpg
b'Katharine Gray Dodge',b'Frank Weston Benson',b'1910',b'US',https://az334033.vo.msecnd.net/images-5/katharine-gray-dodge-frank-weston-benson-7df42f03.jpg
