Title,Artist,Year,Country,Thumbnail
b"Hercules Expelling the Faun from Omphale's Bed",b'Tintoretto',b'1590',,https://az333960.vo.msecnd.net/images-9/untitled-tintoretto-8-03aebf96.jpg
b'The Courtesan',b'Jan Steen',b'1666',b'NL',https://az334034.vo.msecnd.net/images-7/the-courtesan-jan-steen-1666-7dd0fd00.jpg
b'Salome with the Head of Saint John the Baptist',b'Artemisia Gentileschi',b'1615',b'IT',https://az333960.vo.msecnd.net/images-6/salome-with-the-head-of-saint-john-the-baptist-artemisia-gentileschi-1615-740cadfa.jpg
b'Deux Amies',b'Egon Schiele',b'Amies',b'AT',https://az333960.vo.msecnd.net/images-2/deux-amies-egon-schiele-4e2ff85f.jpg
b'The Morning',b'Felix Ivo Leicher',b'1780',,https://az333960.vo.msecnd.net/images-4/the-morning-felix-ivo-leicher-1780-53f8b4c6.jpg
b'Clio',b'Pierre Mignard',b'1689',,https://az334033.vo.msecnd.net/images-8/clio-pierre-mignard-1689-93e775cd.jpg
b'The Black Pigs',b'Paul Gauguin',b'1891',b'FR',https://az334033.vo.msecnd.net/images-0/the-black-pigs-paul-gauguin-1891-9e35d23a.jpg
b'The Rest on the Flight into Egypt',b'Anonymous',b'Egypt',,https://az333959.vo.msecnd.net/images-5/the-rest-on-the-flight-into-egypt-anonymous-1-b32415ad.jpg
|b'David Garrick as Jaffier, Susannah Maria Cibber as...'|,b'Johann Zoffany',b'as...',b'DE',https://az334033.vo.msecnd.net/images-5/david-garrick-as-jaffier-susannah-maria-cibber-as-belvidera-in-venice-preserved-or-the-plot-discovered-johann-zoffany-b7b644a9.jpg
b'Allegory of Peace',b'Jean Baptiste de Champaigne',b'1668',b'NL',https://az333959.vo.msecnd.net/images-1/allegory-of-peace-jean-baptiste-de-champaigne-1668-67123ec3.jpg
b'Paradise Landscape with Animals',b'Jan Brueghel the Elder',b'1613',b'BE',https://az334033.vo.msecnd.net/images-7/paradise-landscape-with-animals-jan-brueghel-the-elder-1613-1d490344.jpg
b'Woman with a Fan',b'Edouard Manet',b'1862',b'FR',https://az334034.vo.msecnd.net/images-5/woman-with-a-fan-edouard-manet-1862-a3fcd373.jpg
|b'Venus, Cupid and Jealousy'|,b'Agnolo Bronzino',b'1550',b'IT',https://az334033.vo.msecnd.net/images-0/venus-cupid-and-jealousy-bronzino-1550-62044990.jpg
b'The Holy Trinity',b'Pietro Novelli',b'1640',,https://az334033.vo.msecnd.net/images-5/the-holy-trinity-pietro-novelli-1640-7a4a52c8.jpg
