Title,Artist,Year,Country,Thumbnail
b'The Reading',b'Henri Fantin-Latour',b'1877',b'FR',https://az333960.vo.msecnd.net/images-3/the-reading-henri-fantin-latour-1877-c005c4c7.jpg
b'Le Caf\xc3\xa9-concert aux ambassadeurs',b'Edgar Degas',b'1876',b'FR',https://az334034.vo.msecnd.net/images-4/le-cafe-concert-aux-ambassadeurs-edgar-degas-1876-d3aff84c.jpg
b'Danae',b'Tintoretto',b'1570',,https://az333959.vo.msecnd.net/images-9/danae-tintoretto-1570-7aa406fb.jpg
b'Caesar Giving Cleopatra the Throne of Egypt',b'Pietro da Cortona',b'1637',b'IT',https://az334034.vo.msecnd.net/images-3/caesar-giving-cleopatra-the-throne-of-egypt-pietro-da-cortona-1637-b905d54c.jpg
b'Last Words of the Emperor Marcus Aurelius',b'Eug\xc3\xa8ne Delacroix',b'1844',b'FR',https://az334033.vo.msecnd.net/images-0/last-words-of-the-emperor-marcus-aurelius-eugene-delacroix-1844-1a3a6921.jpg
b'The Bride of Abydos',b'Eug\xc3\xa8ne Delacroix',b'1843',b'FR',https://az333960.vo.msecnd.net/images-7/the-bride-of-abydos-eugene-delacroix-1843-f6910cba.jpg
b'Flower of the Fields',b'Louis Janmot',b'1845',b'FR',https://az333960.vo.msecnd.net/images-5/flower-of-the-fields-louis-janmot-1845-8972213c.jpg
b'Untitled',b'Alexandre-Fran\xc3\xa7ois Desportes',b'Untitled',,https://az334033.vo.msecnd.net/images-5/untitled-alexandre-francois-desportes-2b393fe5.jpg
b'Saint Herculanus and Saint James the Great',b'Pietro Perugino',b'1502',b'IT',https://az333960.vo.msecnd.net/images-8/saint-herculanus-and-saint-james-the-great-pietro-perugino-1502-e4c3fee1.jpg
b'Stormy Sea in \xc3\x89tretat',b'Claude Monet',b'1883',b'FR',https://az334034.vo.msecnd.net/images-8/stormy-sea-in-etretat-claude-monet-9fb873b2.jpg
b'Girl with a Nest',b'Charles Joshua Chaplin',b'1869',,https://az334034.vo.msecnd.net/images-7/girl-with-a-nest-charles-joshua-chaplin-1869-129c2615.jpg
b"L'Odyss\xc3\xa9e",b'Jean-Auguste-Dominique Ingres',b'1850',b'FR',https://az333959.vo.msecnd.net/images-7/untitled-jean-auguste-dominique-ingres-14-d4fffcb4.jpg
b'Insane Woman',b'Th\xc3\xa9odore G\xc3\xa9ricault',b'1819',b'FR',https://az334034.vo.msecnd.net/images-3/insane-woman-theodore-gericault-1819-8f3922f7.jpg
b'Bathsheba at her Bath',b'Paolo Veronese',b'1575',b'IT',https://az333960.vo.msecnd.net/images-2/bathsheba-at-her-bath-paolo-veronese-1575-af02152c.jpg
