Title,Artist,Year,Country,Thumbnail
b'Sunset at \xc3\x89tretat',b'Claude Monet',b'1883',b'FR',https://az333959.vo.msecnd.net/images-0/sunset-at-etretat-claude-monet-1883-1-95063e26.jpg
b'Honfleur in Fog',b'F\xc3\xa9lix Vallotton',b'1911',b'CH',https://az333960.vo.msecnd.net/images-0/honfleur-in-fog-felix-vallotton-1911-712b2c8c.jpg
b'The Founder',b'Eug\xc3\xa8ne Carri\xc3\xa8re',b'Founder',b'FR',https://az334034.vo.msecnd.net/images-1/the-founder-eugene-carriere-0d27398d.jpg
b'Self-portrait',b'\xc3\x89mile Friant',b'1887',,https://az333960.vo.msecnd.net/images-6/self-portrait-emile-friant-1887-6a3d9d25.jpg
b'Untitled',b'Simone Pignoni',b'1650',,https://az334034.vo.msecnd.net/images-1/untitled-simone-pignoni-1650-01da0d8c.jpg
b'Fish Dinner',b'Jacob van Es',b'1650',,https://az333960.vo.msecnd.net/images-5/fish-dinner-jacob-van-es-1650-aaa32b22.jpg
b'Untitled',b'Pietro da Cortona',b'1660',b'IT',https://az334033.vo.msecnd.net/images-0/untitled-pietro-da-cortona-1660-ac87f8ab.jpg
b'The nymph Nebula',b'Henri Leopold Levy',b'1876',,https://az333960.vo.msecnd.net/images-5/the-nymph-nebula-henri-leopold-levy-1876-ac9923bc.jpg
b'Annunciation',b'Michelangelo Merisi da Caravaggio',b'1608',b'IT',https://az333959.vo.msecnd.net/images-0/annunciation-caravaggio-1608-33bf7ce1.jpg
b'Untitled',b'Eug\xc3\xa8ne Delacroix',b'1831',b'FR',https://az333960.vo.msecnd.net/images-5/untitled-eugene-delacroix-1831-590505de.jpg
b'Portrait de jeune femme au boa',b'Fran\xc3\xa7ois G\xc3\xa9rard',b'1810',b'FR',https://az334033.vo.msecnd.net/images-0/portrait-de-jeune-femme-au-boa-francois-pascal-simon-gerard-baron-1810-29c659d4.jpg
b'le d\xc3\xa9jeuner des enfants',b'Pierre Bonnard',b'enfants',b'FR',https://az334033.vo.msecnd.net/images-1/le-dejeuner-des-enfants-pierre-bonnard-132f8faa.jpg
b'La jeune fille et la mort',b'Henri Leopold Levy',b'1900',,https://az333960.vo.msecnd.net/images-5/la-jeune-fille-et-la-mort-henri-leopold-levy-1900-02cdfaef.jpg
b'Untitled',b'Fran\xc3\xa7ois Lemoyne',b'Untitled',b'FR',https://az334033.vo.msecnd.net/images-9/untitled-francois-lemoyne-865c83f0.jpg
b'Untitled',b'Jusepe de Ribera',b'1643',b'ES',https://az334034.vo.msecnd.net/images-5/untitled-jusepe-de-ribera-1643-2404b33a.jpg
b'The Lovers (Autumn Evening)',b'\xc3\x89mile Friant',b'1888',,https://az333959.vo.msecnd.net/images-2/the-lovers-autumn-evening-emile-friant-1888-1f16b53b.jpg
