Title,Artist,Year,Country,Thumbnail
b'Salom\xc3\xa9',b'Jean Benner',b'1907',b'FR',https://az334034.vo.msecnd.net/images-9/salome-jean-benner-1907-24ba200b.jpg
b'Diana the Huntress',b'Orazio Gentileschi',b'1725',b'IT',https://az333960.vo.msecnd.net/images-7/diana-the-huntress-orazio-gentileschi-1725-e105a523.jpg
b'Untitled',b'Jules-\xc3\x89lie Delaunay',b'1878',b'FR',https://az334034.vo.msecnd.net/images-7/untitled-jules-elie-delaunay-1878-1-dd9dd85d.jpg
b'Portrait de Madame de Senonnes',b'Jean-Auguste-Dominique Ingres',b'Senonnes',b'FR',https://az334033.vo.msecnd.net/images-0/portrait-de-madame-de-senonnes-jean-auguste-dominique-ingres-6232f37b.jpg
b'Retour du Bal',b'Alfred Philippe Roll',b'1886',,https://az333960.vo.msecnd.net/images-9/untitled-alfred-philippe-roll-1886-805e0c59.jpg
b'The Hurdy-Gurdy Player',b'Georges de La Tour',b'1650',b'FR',https://az334033.vo.msecnd.net/images-8/untitled-georges-de-la-tour-1631-60f82db7.jpg
b'The Cloister in Tr\xc3\xa9guier',b'Joseph-F\xc3\xa9lix Bouchor',b'1925',,https://az334034.vo.msecnd.net/images-1/the-cloister-in-treguier-joseph-felix-bouchor-1925-4eb672eb.jpg
b'The Wheat Sifters',b'Gustave Courbet',b'1854',b'FR',https://az334034.vo.msecnd.net/images-0/the-wheat-sifters-gustave-courbet-1854-fe17801c.jpg
b'Portrait de Mademoiselle St\xc3\xa9phanie Brousset',b'Jules-\xc3\x89lie Delaunay',b'1871',b'FR',https://az334033.vo.msecnd.net/images-6/untitled-jules-elie-delaunay-1871-30acc686.jpg
b'The White Slave',b'Jean-Jules-Antoine Lecomte du Nou\xc3\xbf',b'1888',,https://az333959.vo.msecnd.net/images-9/the-white-slave-jean-jules-antoine-lecomte-du-nouy-1888-4a8614e1.jpg
b'The Apparition of the Angel to St. Joseph',b'Georges de La Tour',b'Joseph',b'FR',https://az333959.vo.msecnd.net/images-5/the-apparition-of-the-angel-to-st-joseph-georges-de-la-tour-825ee55a.jpg
b'Pope Formosus and Stephen VI - The Cadaver Synod',b'Jean-Paul Laurens',b'1870',b'FR',https://az334034.vo.msecnd.net/images-8/pope-formosus-and-stephen-vi-the-cadaver-synod-jean-paul-laurens-1870-6c27136c.jpg
|b'Still life with smoking equipment, herrings, a beer glass...'|,b'Pieter Claesz.',b'1644',b'BE',https://az334033.vo.msecnd.net/images-6/still-life-with-smoking-equipment-herrings-a-beer-glass-and-a-stone-jug-pieter-claesz-1644-c8b5dd56.jpg
b'Moroccan caid visiting his tribe',b'Eug\xc3\xa8ne Delacroix',b'1837',b'FR',https://az334033.vo.msecnd.net/images-8/moroccan-caid-visiting-his-tribe-eugene-delacroix-1837-9cf33c2a.jpg
b'Psych\xc3\xa9',b'\xc3\x89variste Vital Luminais',b'1886',,https://az334034.vo.msecnd.net/images-2/untitled-evariste-vital-luminais-1886-37299fcb.jpg
b'Good adventure',b'Henri-Pierre Picou',b'1872',b'FR',https://az333960.vo.msecnd.net/images-6/good-adventure-henri-pierre-picou-1872-53c495c4.jpg
b'Saint Jerome',b'Matthias Stom',b'1650',b'NL',https://az334034.vo.msecnd.net/images-7/saint-jerome-matthias-stom-1650-4935ccef.jpg
b'Penitent Magdalene',b'Paul-Jacques-Aim\xc3\xa9 Baudry',b'1850',,https://az334033.vo.msecnd.net/images-1/penitent-magdalene-paul-jacques-aime-baudry-1850-ba7930f3.jpg
b'Portrait de Mme Coss\xc3\xa9',b'Adolphe Yvon',b'1889',b'FR',https://az333960.vo.msecnd.net/images-5/portrait-de-mme-cosse-adolphe-yvon-1889-5f7452dc.jpg
b'Untitled',b'Hippolyte Flandrin',b'1840',,https://az333959.vo.msecnd.net/images-5/untitled-hippolyte-flandrin-1840-78b82e93.jpg
b'Untitled',b'\xc3\x89variste Vital Luminais',b'Untitled',,https://az334034.vo.msecnd.net/images-2/untitled-evariste-vital-luminais-2-04eabd1f.jpg
b'A Girl as Flora - c. 1640',b'Govert Flinck',b'1640',b'NL',https://az333959.vo.msecnd.net/images-2/a-girl-as-flora-c-1640-govert-flinck-2793f875.jpg
b'T\xc3\xaate de femme coiff\xc3\xa9e de corne de b\xc3\xa9lier',b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1853',b'FR',https://az334034.vo.msecnd.net/images-7/untitled-jean-leon-gerome-1853-cd2672bd.jpg
b'Untitled',b'Jules-\xc3\x89lie Delaunay',b'1883',b'FR',https://az334033.vo.msecnd.net/images-7/untitled-jules-elie-delaunay-1883-b1b3e994.jpg
b'Untitled',b'Jean-Baptiste Greuze',b'Untitled',b'FR',https://az333960.vo.msecnd.net/images-6/untitled-jean-baptiste-greuze-1-9691c68d.jpg
b'Portrait of Bertrand de Souhigaray',b'Jacob Ferdinand Voet',b'1710',,https://az333960.vo.msecnd.net/images-6/portrait-of-bertrand-de-souhigaray-jacob-ferdinand-voet-1710-b1bf12c7.jpg
b'Untitled',b'Dominique Papety',b'Untitled',,https://az333959.vo.msecnd.net/images-4/untitled-dominique-papety-43a94a19.jpg
b'Charlotte Corday',b'Paul-Jacques-Aim\xc3\xa9 Baudry',b'1860',,https://az333959.vo.msecnd.net/images-0/charlotte-corday-paul-jacques-aime-baudry-1860-026af904.jpg
b'The denial of Saint Peter',b'Georges de La Tour',b'1650',b'FR',https://az333959.vo.msecnd.net/images-2/the-denial-of-saint-peter-georges-de-la-tour-1650-7f38aa70.jpg
b'Young Man Writing',b'Jacob van Oost',b'1660',,https://az334034.vo.msecnd.net/images-7/young-man-writing-jacob-van-oost-1660-747aa3e2.jpg
|b'Madame Elie-Vincent Delaunay, n\xc3\xa9e Ars\xc3\xa8ne Le Roy (1795...'|,b'Jules-\xc3\x89lie Delaunay',b'1869',b'FR',https://az334034.vo.msecnd.net/images-2/untitled-jules-elie-delaunay-1869-62f8d7c6.jpg
b'The prophet David',b'Pietro Perugino',b'David',b'IT',https://az333959.vo.msecnd.net/images-4/the-prophet-david-pietro-perugino-7853ebfc.jpg
b'Untitled',b'\xc3\x89variste Vital Luminais',b'Untitled',,https://az334034.vo.msecnd.net/images-2/untitled-evariste-vital-luminais-77b7564b.jpg
b'Untitled',b'Jean-Baptiste Oudry',b'1748',,https://az334033.vo.msecnd.net/images-0/untitled-jean-baptiste-oudry-1748-a1bb0f96.jpg
b'Untitled',b'\xc3\x89variste Vital Luminais',b'1861',,https://az334034.vo.msecnd.net/images-6/untitled-evariste-vital-luminais-1861-d1bc89fd.jpg
b'Portrait of the Maupertuis family',b'Robert Tourni\xc3\xa8res',b'1715',,https://az333960.vo.msecnd.net/images-4/portrait-of-the-maupertuis-family-robert-tournieres-1715-c6e831f9.jpg
|b'Portrait of Catherine Barthe, wife of Jean de Souhigaray'|,b'Jacob Ferdinand Voet',b'1710',,https://az333960.vo.msecnd.net/images-6/portrait-of-catherine-barthe-wife-of-jean-de-souhigaray-jacob-ferdinand-voet-1710-b9336512.jpg
b'The Miraculous Draught',b'Henri-Pierre Picou',b'Draught',b'FR',https://az333960.vo.msecnd.net/images-6/the-miraculous-draught-henri-pierre-picou-d1d2c545.jpg
b'Untitled',b'Charles Cottet',b'1909',,https://az333959.vo.msecnd.net/images-0/untitled-charles-cottet-1909-0a5150df.jpg
b'Untitled',b'Gustave Brion',b'1852',,https://az334033.vo.msecnd.net/images-7/untitled-gustave-brion-1852-17d25e89.jpg
