Title,Artist,Year,Country,Thumbnail
b"Witches' Sabbath",b'Francisco de Goya',b'1797',b'ES',https://az334033.vo.msecnd.net/images-5/witches-sabbath-francisco-de-goya-1797-d69ca1a4.jpg
b'Adoration of the Magi',b'El Greco',b'1569',b'GR',https://az334033.vo.msecnd.net/images-4/untitled-el-greco-9-c8e8336e.jpg
b'Holy Family with Santa Isabel and San Juanito',b'Giulio Clovio',b'1556',,https://az333959.vo.msecnd.net/images-9/holy-family-with-santa-isabel-and-san-juanito-giulio-clovio-1556-0af1669b.jpg
b'Untitled',b'Francisco de Goya',b'1786',b'ES',https://az334034.vo.msecnd.net/images-1/untitled-francisco-de-goya-1786-12-1b5e3b04.jpg
b'Untitled',b'Francisco de Goya',b'Untitled',b'ES',https://az333960.vo.msecnd.net/images-7/untitled-francisco-de-goya-39-85fe1605.jpg
b'Incantation',b'Francisco Goya',b'Incantation',,https://az333960.vo.msecnd.net/images-0/incantation-francisco-goya-6e0ef8a3.jpg
|b'Anne of Austria, Queen of Spain'|,b'Alonso S\xc3\xa1nchez Coello',b'1571',,https://az334034.vo.msecnd.net/images-9/anne-of-austria-queen-of-spain-alonso-sanchez-coello-1571-c217a8bf.jpg
b'Archduke Leopold Wilhelm in his Gallery in Brussels',b'David Teniers the Younger',b'1653',b'NL',https://az334033.vo.msecnd.net/images-2/archduke-leopold-wilhelm-in-his-gallery-in-brussels-david-teniers-the-younger-1653-1-48516e85.jpg
b'Lady Sondes',b'Joshua Reynolds F',b'1764',,https://az333959.vo.msecnd.net/images-8/lady-sondes-joshua-reynolds-f-1764-eb256ed5.jpg
b"Tondal's Vision",b'Hieronymus Bosch',b'1550',b'NL',https://az334033.vo.msecnd.net/images-0/tondal-s-vision-hieronymus-bosch-1550-8840d6a9.jpg
b'St. John the Baptist in the Wilderness',b'Hieronymus Bosch',b'1489',b'NL',https://az333960.vo.msecnd.net/images-2/st-john-the-baptist-in-the-wilderness-hieronymus-bosch-1489-1dfb5403.jpg
b'Saint Rose of Lima',b'Bartolom\xc3\xa9 Esteban Murillo',b'1670',b'ES',https://az334033.vo.msecnd.net/images-9/saint-rose-of-lima-bartolome-esteban-murillo-1670-95d497e9.jpg
b'Portrait of a Young Lady',b'Sofonisba Anguissola',b'Lady',,https://az334033.vo.msecnd.net/images-7/portrait-of-a-young-lady-sofonisba-anguissola-12e70ba2.jpg
b'Saint John the Baptist as a Boy',b'Michaelina Wautier',b'1650',b'NL',https://az334033.vo.msecnd.net/images-4/saint-john-the-baptist-as-a-boy-michaelina-wautier-1650-919f9380.jpg
b'Gertrudis Gom\xc3\xa9z de Avellaneda',b'Federico de Madrazo y Kuntz',b'1857',,https://az334033.vo.msecnd.net/images-0/gertrudis-gomez-de-avellaneda-federico-de-madrazo-y-kuntz-1857-3838df9f.jpg
b'The Adolescent Saviour',b'Giovanni Antonio Boltraffio',b'1490',b'IT',https://az333960.vo.msecnd.net/images-4/the-adolescent-saviour-giovanni-antonio-boltraffio-1490-1885ab62.jpg
b'Untitled',b'Anonymous',b'Untitled',,https://az334033.vo.msecnd.net/images-3/untitled-anonymous-233-976bef39.jpg
b'The Shop',b'Luis Paret y Alc\xc3\xa1zar',b'Shop',,https://az333959.vo.msecnd.net/images-1/the-shop-luis-paret-y-alcazar-316af178.jpg
