Title,Artist,Year,Country,Thumbnail
b'Annunciation',b'Fra Angelico',b'Annunciation',b'IT',https://az333960.vo.msecnd.net/images-6/annunciation-fra-angelico-8ae0fd7b.jpg
b'San Marco Altarpiece',b'Fra Angelico',b'1440',b'IT',https://az334033.vo.msecnd.net/images-3/san-marco-altarpiece-fra-angelico-1440-654627c3.jpg
b'Bosco ai Frati Altarpiece',b'Fra Angelico',b'1450',b'IT',https://az334033.vo.msecnd.net/images-7/untitled-fra-angelico-1450-2-c2e210a1.jpg
b'Cristo pellegrino accolto da due domenicani',b'Fra Angelico',b'1442',b'IT',https://az333960.vo.msecnd.net/images-1/untitled-fra-angelico-1442-1727a4db.jpg
b'Annunciation',b'Fra Angelico',b'Annunciation',b'IT',https://az333959.vo.msecnd.net/images-7/annunciation-fra-angelico-1-c405a721.jpg
b'Tabernacle of the Linaioli',b'Lorenzo Ghiberti',b'1432',b'IT',https://az334034.vo.msecnd.net/images-7/tabernacle-of-the-linaioli-lorenzo-ghiberti-1432-e4a74ade.jpg
b'Untitled',b'Fra Bartolomeo',b'1499',,https://az333960.vo.msecnd.net/images-8/untitled-fra-bartolomeo-1499-91afc077.jpg
b'Untitled',b'Fra Angelico',b'1430',b'IT',https://az334033.vo.msecnd.net/images-7/untitled-fra-angelico-1430-1-59d22ae8.jpg
b'Annunciation (Cell 3)',b'Fra Angelico',b'1438',b'IT',https://az333960.vo.msecnd.net/images-5/untitled-fra-angelico-1438-1-9e1fb041.jpg
b'Untitled',b'Fra Angelico',b'1436',b'IT',https://az334034.vo.msecnd.net/images-9/untitled-fra-angelico-1436-02e71462.jpg
b'Presentation at the Temples',b'Fra Angelico',b'1438',b'IT',https://az334033.vo.msecnd.net/images-1/presentation-at-the-temples-fra-angelico-1438-22ad236b.jpg
b'Untitled',b'Fra Angelico',b'1441',b'IT',https://az334034.vo.msecnd.net/images-8/untitled-fra-angelico-1440-2-608327d5.jpg
b'Saint Dominic adoring the Crucifixion',b'Fra Angelico',b'1442',b'IT',https://az333960.vo.msecnd.net/images-0/saint-dominic-adoring-the-crucifixion-fra-angelico-1442-85581ee5.jpg
b'San Pietro Martire Triptych',b'Fra Angelico',b'1428',b'IT',https://az334034.vo.msecnd.net/images-2/san-pietro-martire-triptych-fra-angelico-1428-20ba9fc2.jpg
b'Mocking of Christ',b'Fra Angelico',b'1441',b'IT',https://az333960.vo.msecnd.net/images-1/untitled-fra-angelico-1438-2-160f9424.jpg
b'Untitled',b'Fra Angelico',b'1441',b'IT',https://az334033.vo.msecnd.net/images-7/untitled-fra-angelico-1441-1c36c9e1.jpg
b'Untitled',b'Fra Angelico',b'1442',b'IT',https://az334033.vo.msecnd.net/images-1/untitled-fra-angelico-1442-1-54a6cb00.jpg
b'Sepulchring of Saint Cosmas and Saint Damian',b'Fra Angelico',b'1443',b'IT',https://az333960.vo.msecnd.net/images-7/sepulchring-of-saint-cosmas-and-saint-damian-fra-angelico-1443-ac35f2e9.jpg
