Title,Artist,Year,Country,Thumbnail
b'St Joseph and the Christ Child',b'El Greco',b'1600',b'GR',https://az333959.vo.msecnd.net/images-1/untitled-el-greco-81-87e04b71.jpg
b'The Virgin of the Immaculate Conception and St John',b'El Greco',b'1585',b'GR',https://az333960.vo.msecnd.net/images-7/untitled-el-greco-21-e8271f34.jpg
b'The Holy Family',b'El Greco',b'1590',b'GR',https://az334034.vo.msecnd.net/images-8/untitled-el-greco-1586-1-8b80c813.jpg
b'The Coronation of the Virgin',b'El Greco',b'1591',b'GR',https://az333960.vo.msecnd.net/images-0/untitled-el-greco-70-ed09f740.jpg
b'St James as a pilgrim',b'El Greco',b'1595',b'GR',https://az334034.vo.msecnd.net/images-6/untitled-el-greco-75-8b541377.jpg
b'Christ on the Cross (Toledo)',b'El Greco',b'1610',b'GR',https://az333960.vo.msecnd.net/images-7/christ-on-the-cross-toledo-el-greco-1610-e93b80d7.jpg
b'Ensue\xc3\xb1o',b'Vicente Cutanda Toraya',b'1897',,https://az333959.vo.msecnd.net/images-5/ensueno-vicente-cutanda-toraya-1897-1dfdf5b1.jpg
b'An Apostle',b'El Greco',b'1610',b'GR',https://az334033.vo.msecnd.net/images-3/an-apostle-el-greco-1610-b873e46f.jpg
b'Saint Peter',b'Anonymous',b'1614',,https://az333960.vo.msecnd.net/images-1/saint-peter-anonymous-1614-1-831eb5a5.jpg
b'The Virgin of the Immaculate Conception',b'El Greco',b'1613',b'GR',https://az334033.vo.msecnd.net/images-7/immaculate-conception-el-greco-1608-65da71ac.jpg
b'La Ver\xc3\xb3nica con la Santa Faz',b'El Greco',b'1580',b'GR',https://az334033.vo.msecnd.net/images-1/untitled-el-greco-55-4596707c.jpg
b'Saint Augustine of Hippo',b'El Greco',b'1603',b'GR',https://az334034.vo.msecnd.net/images-5/untitled-el-greco-96-d2f327f3.jpg
b'Saint Dominic praying',b'El Greco',b'1606',b'GR',https://az334034.vo.msecnd.net/images-7/untitled-el-greco-94-4e03bb40.jpg
b'St Francis',b'El Greco',b'1580',b'GR',https://az333959.vo.msecnd.net/images-1/untitled-el-greco-32-b5b79b8c.jpg
b'Untitled',b'El Greco',b'Untitled',b'GR',https://az334033.vo.msecnd.net/images-4/untitled-el-greco-33-ebccedf2.jpg
b'Saint Peter',b'Anonymous',b'1614',,https://az334034.vo.msecnd.net/images-1/saint-peter-anonymous-1614-e0991bda.jpg
b'Saint Ildefonso',b'Anonymous',b'1614',,https://az334033.vo.msecnd.net/images-5/saint-ildefonso-anonymous-1614-0cd55dea.jpg
