Title,Artist,Year,Country,Thumbnail
b'Child painting',b'Bela Pehan',b'1913',,https://az334034.vo.msecnd.net/images-5/child-painting-bela-pehan-1913-aa5cf020.jpg
b'Terrible Forest',b'Bela Pehan',b'Forest',,https://az333959.vo.msecnd.net/images-2/terrible-forest-bela-pehan-6804c287.jpg
b'Lonely House',b'Bela Pehan',b'1957',,https://az334034.vo.msecnd.net/images-2/lonely-house-bela-pehan-1957-1d932119.jpg
b'View',b'Bela Pehan',b'1971',,https://az334033.vo.msecnd.net/images-0/view-bela-pehan-1971-a2cf2a67.jpg
|b'Corn, landscape'|,b'Bela Pehan',b'landscape',,https://az334033.vo.msecnd.net/images-9/corn-landscape-bela-pehan-d75ace2c.jpg
b'Sala\xc5\xa1',b'Bela Pehan',b'1941',,https://az334033.vo.msecnd.net/images-1/salas-bela-pehan-1941-ba8cf896.jpg
b'Fields',b'Bela Pehan',b'Fields',,https://az333960.vo.msecnd.net/images-4/fields-bela-pehan-2103cf0f.jpg
b'Self-portrait',b'Bela Pehan',b'Self-portrait',,https://az334033.vo.msecnd.net/images-9/self-portrait-bela-pehan-db28b84c.jpg
b'Woman with red turban',b'Bela Pehan',b'1932',,https://az334034.vo.msecnd.net/images-6/woman-with-red-turban-bela-pehan-1932-c55c24fb.jpg
b'Lonely House 1',b'Bela Pehan',b'1959',,https://az333960.vo.msecnd.net/images-4/lonely-house-1-bela-pehan-1959-f0eb39fc.jpg
b'Vase with Flower 1',b'Bela Pehan',b'1',,https://az334034.vo.msecnd.net/images-4/vase-with-flower-1-bela-pehan-62673edf.jpg
b'Moonlight',b'Bela Pehan',b'1966',,https://az334033.vo.msecnd.net/images-8/moonlight-bela-pehan-1966-8bf94443.jpg
b'Four haycocks on a plain',b'Bela Pehan',b'1976',,https://az333960.vo.msecnd.net/images-9/four-haycocks-on-a-plain-bela-pehan-1976-5c3bb316.jpg
b'Hypocrites',b'Bela Pehan',b'1972',,https://az334033.vo.msecnd.net/images-1/hypocrites-bela-pehan-1972-7c82cb7e.jpg
b'Portrait of father',b'Bela Pehan',b'father',,https://az333960.vo.msecnd.net/images-9/portrait-of-father-bela-pehan-f11b9703.jpg
b'Life is Passable',b'Bela Pehan',b'1973',,https://az334033.vo.msecnd.net/images-8/life-is-passable-bela-pehan-1973-40189c64.jpg
b'Roadmap in plain 3',b'Bela Pehan',b'1976',,https://az334034.vo.msecnd.net/images-2/roadmap-in-plain-3-bela-pehan-1976-de3b54a9.jpg
b'Autoportrait (1930)',b'Bela Pehan',b'1930',,https://az334033.vo.msecnd.net/images-0/autoportrait-1930-bela-pehan-1930-e04941ff.jpg
b'Pore\xc4\x8d 1',b'Bela Pehan',b'1952',,https://az334034.vo.msecnd.net/images-2/porec-1-bela-pehan-1952-2a070292.jpg
b'Cosmic Game',b'Bela Pehan',b'1967',,https://az333959.vo.msecnd.net/images-8/cosmic-game-bela-pehan-1967-ea0114ee.jpg
b'Still life (three apple and bark)',b'Bela Pehan',b'1970',,https://az334034.vo.msecnd.net/images-7/still-life-three-apple-and-bark-bela-pehan-1970-a4f97779.jpg
b'Hungry kids',b'Bela Pehan',b'1972',,https://az333959.vo.msecnd.net/images-8/hungry-kids-bela-pehan-1972-cc37487b.jpg
b'Landscape (1965)',b'Bela Pehan',b'1965',,https://az334034.vo.msecnd.net/images-0/landscape-1965-bela-pehan-1965-b3165122.jpg
b'Portrait',b'Bela Pehan',b'1973',,https://az333959.vo.msecnd.net/images-2/portrait-bela-pehan-1973-44659c30.jpg
b"Portrait of Bela's Wife",b'Bela Pehan',b'1935',,https://az334033.vo.msecnd.net/images-0/portrait-of-bela-s-wife-bela-pehan-1935-897e77a0.jpg
