Title,Artist,Year,Country,Thumbnail
b'Countess and page-boy',b'Charlemagne Oscar Guet',b'1850',b'FR',https://az333959.vo.msecnd.net/images-3/countess-and-page-boy-charlemagne-oscar-guet-1850-8f54b6ca.jpg
b'Portrait of a Bearded Old Man',b'Rembrandt',b'Man',b'NL',https://az333959.vo.msecnd.net/images-2/portrait-of-a-bearded-old-man-rembrandt-1-3e533215.jpg
b'Study of Susannah Bathing',b'Rembrandt',b'Bathing',b'NL',https://az333959.vo.msecnd.net/images-8/study-of-susannah-bathing-rembrandt-be0af125.jpg
b'Study of the head of a bearded old man',b'Rembrandt',b'man',b'NL',https://az333960.vo.msecnd.net/images-4/study-of-the-head-of-a-bearded-old-man-rembrandt-75601734.jpg
b'Crucifixion',b'Anonymous',b'Crucifixion',,https://az334034.vo.msecnd.net/images-2/crucifixion-anonymous-3-27092682.jpg
b'Portrait of Isabella Clara Eugenia as a nun',b'Anthony van Dyck',b'1629',b'NL',https://az333959.vo.msecnd.net/images-7/portrait-of-isabella-clara-eugenia-as-a-nun-anthony-van-dyck-1629-e5c06f9a.jpg
b'Giotto gardant les ch\xc3\xa8vres',b'L\xc3\xa9on Bonnat',b'1850',b'FR',https://az334033.vo.msecnd.net/images-0/giotto-gardant-les-chevres-leon-bonnat-1850-f39995e7.jpg
b'Raising the Cross',b'Anthony van Dyck',b'1633',b'NL',https://az333959.vo.msecnd.net/images-3/raising-the-cross-anthony-van-dyck-1633-24b5cb5b.jpg
b'Portrait of an Unknown Man',b'Corneille de Lyon',b'Man',,https://az333959.vo.msecnd.net/images-5/portrait-of-an-unknown-man-corneille-de-lyon-347a7f29.jpg
b"Hercules's dog discovers tyrian purple",b'Peter Paul Rubens',b'1636',b'NL',https://az333959.vo.msecnd.net/images-3/hercules-s-dog-discovers-tyrian-purple-peter-paul-rubens-1636-13bdd0a0.jpg
b'The Half-Length Bather',b'Jean-Auguste-Dominique Ingres',b'1807',b'FR',https://az333960.vo.msecnd.net/images-5/the-half-length-bather-jean-auguste-dominique-ingres-1807-c1e4b678.jpg
b'Untitled',b'Edgar Degas',b'1863',b'FR',https://az334033.vo.msecnd.net/images-2/untitled-edgar-degas-1863-34735a74.jpg
b'Portrait of Jan Six by a Window',b'Rembrandt',b'Window',b'NL',https://az333960.vo.msecnd.net/images-2/portrait-of-jan-six-by-a-window-rembrandt-ded1e0cc.jpg
b'Mordecai before Ahasuerus and Esther',b'Anonymous',b'Esther',,https://az333960.vo.msecnd.net/images-5/mordecai-before-ahasuerus-and-esther-anonymous-46f899e1.jpg
b'Le Proph\xc3\xa8te \xc3\x89lie nourri par un ange',b'Peter Paul Rubens',b'ange',b'NL',https://az334034.vo.msecnd.net/images-8/le-prophete-elie-nourri-par-un-ange-peter-paul-rubens-8198bf53.jpg
b'Head of a Young Man',b'Anthony van Dyck',b'1617',b'NL',https://az333960.vo.msecnd.net/images-1/head-of-a-young-man-anthony-van-dyck-1617-17fa8153.jpg
b'Portrait of the painter Hendrik van Balen',b'Anthony van Dyck',b'1632',b'NL',https://az334034.vo.msecnd.net/images-0/portrait-of-the-painter-hendrik-van-balen-anthony-van-dyck-1632-f1a9e3d7.jpg
b'Saint Jerome as Cardinal',b'El Greco',b'1605',b'GR',https://az334033.vo.msecnd.net/images-8/saint-jerome-as-cardinal-el-greco-1605-6a148523.jpg
