Title,Artist,Year,Country,Thumbnail
b'Balaam and the Ass',b'Rembrandt',b'1626',b'NL',https://az333960.vo.msecnd.net/images-2/balaam-and-the-ass-rembrandt-1626-9d1939c4.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1831',b'FR',https://az334034.vo.msecnd.net/images-4/untitled-jean-baptiste-camille-corot-1831-1-a5723aad.jpg
b'Petit Gar\xc3\xa7on au gilet rouge',b'Jean-Baptiste Greuze',b'1775',b'FR',https://az334033.vo.msecnd.net/images-3/petit-garcon-au-gilet-rouge-jean-baptiste-greuze-1775-0addb02c.jpg
b'La Belle Cuisini\xc3\xa8re',b'Fran\xc3\xa7ois Boucher',b'1735',b'FR',https://az334033.vo.msecnd.net/images-9/la-belle-cuisiniere-francois-boucher-1735-983d2034.jpg
|b"Portrait of madame Badouin, the artist's daughter"|,b'Fran\xc3\xa7ois Boucher',b'1758',b'FR',https://az333959.vo.msecnd.net/images-0/portrait-of-madame-badouin-the-artist-s-daughter-francois-boucher-1758-613fb471.jpg
b"Portrait en buste d'un jeune gar\xc3\xa7on",b'Jean-Honor\xc3\xa9 Fragonard',b'gar\xc3\xa7on',b'FR',https://az333960.vo.msecnd.net/images-8/portrait-en-buste-d-un-jeune-garcon-jean-honore-fragonard-748b7587.jpg
b"L'Indiscret",b'Louis-L\xc3\xa9opold Boilly',b'1795',,https://az334034.vo.msecnd.net/images-7/l-indiscret-louis-leopold-boilly-1795-dfe098ea.jpg
b'The movings',b'Louis-L\xc3\xa9opold Boilly',b'1840',,https://az333960.vo.msecnd.net/images-3/the-movings-louis-leopold-boilly-1840-3f634c71.jpg
b'Portrait pr\xc3\xa9sum\xc3\xa9 de Philiberte-Orl\xc3\xa9ans Perrin de Cypierre...',b'Ad\xc3\xa9la\xc3\xafde Labille-Guiard',b'1787',b'FR',https://az334034.vo.msecnd.net/images-5/portrait-presume-de-philiberte-orleans-perrin-de-cypierre-comtesse-de-maussion-adelaide-labille-guiard-1787-4f38530c.jpg
b'The Grand Canal from the Ponte di Rialto',b'Canaletto',b'1725',b'IT',https://az333959.vo.msecnd.net/images-2/the-grand-canal-from-the-ponte-di-rialto-canaletto-1725-39ab75b5.jpg
|b'View of Canale di Santa Chiara, Venice'|,b'Canaletto',b'1730',b'IT',https://az334034.vo.msecnd.net/images-4/view-of-canale-di-santa-chiara-venice-canaletto-1730-d04c5d31.jpg
b'Landscape with Ancient Ruins',b'Hubert Robert',b'Ruins',b'FR',https://az333959.vo.msecnd.net/images-3/landscape-with-ancient-ruins-hubert-robert-a1c4f4e4.jpg
b'La Le\xc3\xa7on de musique',b'Fran\xc3\xa7ois Boucher',b'musique',b'FR',https://az333960.vo.msecnd.net/images-6/la-lecon-de-musique-francois-boucher-b56c5bc9.jpg
b'Portrait pr\xc3\xa9sum\xc3\xa9 de Madame la duchesse de Beaufort',b'Nicolas de Largilli\xc3\xa8re',b'1714',b'FR',https://az333959.vo.msecnd.net/images-2/portrait-presume-de-madame-la-duchesse-de-beaufort-nicolas-de-largilliere-1714-e3196917.jpg
|b'Portrait de Marie-Louise-Ad\xc3\xa9la\xc3\xafde-Jacquette de Robien,...'|,b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'1774',b'FR',https://az333959.vo.msecnd.net/images-3/portrait-de-marie-louise-adelaide-jacquette-de-robien-vicomtesse-de-mirabeau-louise-elisabeth-vigee-le-brun-1774-9c06a829.jpg
b'Portrait pr\xc3\xa9sum\xc3\xa9 de Charlotte-Fran\xc3\xa7oise Bergeret de Norinval',b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'1780',b'FR',https://az333960.vo.msecnd.net/images-1/portrait-presume-de-charlotte-francoise-bergeret-de-norinval-louise-elisabeth-vigee-le-brun-1780-7105b011.jpg
|b"Portrait pr\xc3\xa9sum\xc3\xa9 d'Elisabeth Delpech, marquise de Cailly"|,b'Nicolas de Largilli\xc3\xa8re',b'1701',b'FR',https://az334034.vo.msecnd.net/images-1/portrait-presume-d-elisabeth-delpech-marquise-de-cailly-nicolas-de-largilliere-1701-efaf081f.jpg
b'Portrait de Madame Bauquin Du Boulay et de sa ni\xc3\xa8ce...',b'Marguerite G\xc3\xa9rard',b'1810',,https://az333960.vo.msecnd.net/images-6/portrait-de-madame-bauquin-du-boulay-et-de-sa-niece-mademoiselle-bauquin-de-la-souche-marguerite-gerard-1810-3c031b5a.jpg
|b'Portrait de Marie Leszczynska, reine de France'|,b'Jean-Marc Nattier',b'1751',b'FR',https://az333960.vo.msecnd.net/images-1/portrait-de-marie-leszczynska-reine-de-france-jean-marc-nattier-1751-cf4e5c40.jpg
b"Portrait d'un jeune homme",b'Anonymous',b'1700',,https://az334033.vo.msecnd.net/images-5/portrait-d-un-jeune-homme-anonymous-1700-daa4eef2.jpg
|b'Caprice, avec arc triomphal en ruine et paysage du bord...'|,b'Francesco Guardi',b'bord...',b'IT',https://az333959.vo.msecnd.net/images-9/caprice-avec-arc-triomphal-en-ruine-et-paysage-du-bord-de-la-lagune-francesco-guardi-dcf6f691.jpg
b"Portrait de Lady Hamilton d'apr\xc3\xa8s Georges Romney",b'Anonymous',b'1701',,https://az334034.vo.msecnd.net/images-3/portrait-de-lady-hamilton-d-apres-georges-romney-anonymous-1701-4164f2a9.jpg
b'Portrait pr\xc3\xa9sum\xc3\xa9 de Jean-Jacques Lagren\xc3\xa9e dit Portrait d...',b'Marguerite G\xc3\xa9rard',b'1787',,https://az333959.vo.msecnd.net/images-4/portrait-presume-de-jean-jacques-lagrenee-dit-portrait-d-un-homme-dans-un-manteau-croise-marguerite-gerard-1787-a13e9f35.jpg
|b'Portrait de Robert Henley, deuxi\xc3\xa8me comte de Northington'|,b'Joshua Reynolds',b'1782',,https://az334033.vo.msecnd.net/images-7/portrait-de-robert-henley-deuxieme-comte-de-northington-joshua-reynolds-1782-22b5a87b.jpg
b"Portrait d'un homme (J 852)",b'Anonymous',b'1725',,https://az333959.vo.msecnd.net/images-4/portrait-d-un-homme-j-852-anonymous-1725-ad86d522.jpg
b"Portrait d'une jeune femme en mante bleut\xc3\xa9e",b'Anonymous',b'1780',,https://az333960.vo.msecnd.net/images-1/portrait-d-une-jeune-femme-en-mante-bleutee-anonymous-1780-a8aa281d.jpg
b'Portrait de femme',b'Anonymous',b'1701',,https://az333959.vo.msecnd.net/images-2/portrait-de-femme-anonymous-1701-83cd5c58.jpg
b'View of the island of San Cristoforo di Murano',b'Francesco Guardi',b'Murano',b'IT',https://az333959.vo.msecnd.net/images-6/view-of-the-island-of-san-cristoforo-di-murano-francesco-guardi-2568e215.jpg
b"Portrait d'une jeune femme (J 832)",b'Anonymous',b'1725',,https://az333959.vo.msecnd.net/images-9/portrait-d-une-jeune-femme-j-832-anonymous-1725-a0b386d3.jpg
b'Le Jardinier galant',b'Anonymous',b'1770',,https://az334034.vo.msecnd.net/images-1/le-jardinier-galant-anonymous-1770-a4ba1711.jpg
b'Portrait du g\xc3\xa9n\xc3\xa9ral Kl\xc3\xa9ber',b'Jean-Urbain Gu\xc3\xa9rin',b'1798',,https://az334034.vo.msecnd.net/images-2/portrait-du-general-kleber-jean-urbain-guerin-1798-f9cb95ac.jpg
b'Femme assise dans un parc avec un \xc3\xa9pagneul',b'Louis-Ami Arlaud-Jurine',b'1785',,https://az333959.vo.msecnd.net/images-7/femme-assise-dans-un-parc-avec-un-epagneul-louis-ami-arlaud-jurine-1785-765c119e.jpg
b"Portrait d'un homme (J 846)",b'Anonymous',b'1725',,https://az333959.vo.msecnd.net/images-6/portrait-d-un-homme-j-846-anonymous-1725-116b33eb.jpg
|b"Caprice rustique, avec tour au bord de l'eau"|,b'Francesco Guardi',b"l'eau",b'IT',https://az334033.vo.msecnd.net/images-9/caprice-rustique-avec-tour-au-bord-de-l-eau-francesco-guardi-8ecc2d49.jpg
b"Portrait d'une jeune femme",b'Jean-Baptiste Jacques Augustin',b'1794',,https://az334033.vo.msecnd.net/images-5/portrait-d-une-jeune-femme-jean-baptiste-jacques-augustin-1794-2a8a8564.jpg
b"Dana\xc3\xa9 recevant la pluie d'or",b'Anonymous',b'1701',,https://az333959.vo.msecnd.net/images-0/danae-recevant-la-pluie-d-or-anonymous-1701-6da4ffcf.jpg
|b'Portrait de Charles-Marin de La Haye des Foss\xc3\xa9s, fermier...'|,b'Alexander Roslin',b'1773',,https://az334033.vo.msecnd.net/images-0/portrait-de-charles-marin-de-la-haye-des-fosses-fermier-general-du-roi-1736-1790-alexander-roslin-1773-a57e264e.jpg
b"Portrait d'une jeune femme (J 851)",b'Anonymous',b'1750',,https://az334033.vo.msecnd.net/images-9/portrait-d-une-jeune-femme-j-851-anonymous-1750-e687406a.jpg
b"Portrait en pied d'une femme tenant une lettre",b'Antoine Berjon',b'1800',,https://az334033.vo.msecnd.net/images-8/portrait-en-pied-d-une-femme-tenant-une-lettre-antoine-berjon-1800-8b1049ee.jpg
b"Portrait d'une petite fille",b'Anonymous',b'1800',,https://az333959.vo.msecnd.net/images-6/portrait-d-une-petite-fille-anonymous-1800-c9d20e07.jpg
b'Les Plaisirs du bain',b'Jean-Baptiste Pater',b'1701',,https://az334034.vo.msecnd.net/images-4/les-plaisirs-du-bain-jean-baptiste-pater-1701-5db6e30c.jpg
b"Portrait d'une jeune femme (J 827)",b'Anonymous',b'1725',,https://az333960.vo.msecnd.net/images-8/portrait-d-une-jeune-femme-j-827-anonymous-1725-5198d777.jpg
b'Le D\xc3\xa9part pr\xc3\xa9cipit\xc3\xa9',b'Louis-L\xc3\xa9opold Boilly',b'1790',,https://az333959.vo.msecnd.net/images-1/le-depart-precipite-louis-leopold-boilly-1790-3c3e019c.jpg
b"Portrait d'une jeune femme",b'George Engleheart',b'1800',,https://az334033.vo.msecnd.net/images-1/portrait-d-une-jeune-femme-george-engleheart-1800-f3978ec9.jpg
b'Portrait de Mademoiselle Raucourt',b'Jean-Baptiste Jacques Augustin',b'1790',,https://az333960.vo.msecnd.net/images-4/portrait-de-mademoiselle-raucourt-jean-baptiste-jacques-augustin-1790-2067f990.jpg
b"Portrait d'une jeune femme (J 821)",b'Anonymous',b'1700',,https://az333960.vo.msecnd.net/images-1/portrait-d-une-jeune-femme-j-821-anonymous-1700-2618bca7.jpg
b"Portrait d'un homme (J 829)",b'Anonymous',b'1700',,https://az334034.vo.msecnd.net/images-4/portrait-d-un-homme-j-829-anonymous-1700-026b575e.jpg
b'Portrait de jeune fille',b'Anonymous',b'1701',,https://az333960.vo.msecnd.net/images-4/portrait-de-jeune-fille-anonymous-1701-86df3d77.jpg
b'Portrait de jeune femme au fichu blanc',b'Anonymous',b'1701',,https://az333959.vo.msecnd.net/images-7/portrait-de-jeune-femme-au-fichu-blanc-anonymous-1701-c249e4e4.jpg
