Title,Artist,Year,Country,Thumbnail
b'Three Graces',b'Raphael',b'1504',b'IT',https://az334034.vo.msecnd.net/images-4/three-graces-raphael-1504-6aa0ad8a.jpg
b'Antiochus and Stratonice',b'Jean-Auguste-Dominique Ingres',b'1840',b'FR',https://az333960.vo.msecnd.net/images-6/antiochus-and-stratonice-jean-auguste-dominique-ingres-1840-f181ed6b.jpg
b'Madonna of Loreto',b'Raphael',b'1509',b'IT',https://az333959.vo.msecnd.net/images-5/madonna-of-loreto-raphael-1509-b87ce6ba.jpg
b'Landscape with two nymphs',b'Nicolas Poussin',b'nymphs',b'FR',https://az334033.vo.msecnd.net/images-6/landscape-with-two-nymphs-nicolas-poussin-3674200f.jpg
b'The Illness of Antiochus',b'Jean-Auguste-Dominique Ingres',b'Antiochus',b'FR',https://az334034.vo.msecnd.net/images-8/the-illness-of-antiochus-jean-auguste-dominique-ingres-f7e1603a.jpg
b"Madonna d'Orleans",b'Raphael',b'1506',b'IT',https://az333959.vo.msecnd.net/images-2/madonna-d-orleans-raphael-1506-1833cc0d.jpg
b'Pastoral Concert',b'Jean-Baptiste-Camille Corot',b'1857',b'FR',https://az334034.vo.msecnd.net/images-8/pastoral-concert-jean-baptiste-camille-corot-1857-a07a8b3e.jpg
b'Sleeping Venus',b'Annibale Carracci',b'Venus',b'IT',https://az333959.vo.msecnd.net/images-4/sleeping-venus-annibale-carracci-017ffb84.jpg
|b'Fran\xc3\xa7ois Ier (1494-1547), roi de France'|,b'Jean Clouet',b'1515',,https://az334033.vo.msecnd.net/images-8/francois-ier-1494-1547-roi-de-france-jean-clouet-1515-61535704.jpg
b'Untitled',b'Eug\xc3\xa8ne Delacroix',b'1847',b'FR',https://az333959.vo.msecnd.net/images-2/untitled-eugene-delacroix-1847-939d142c.jpg
b'Portrait of Madame Devaucay',b'Jean-Auguste-Dominique Ingres',b'1807',b'FR',https://az334034.vo.msecnd.net/images-7/portrait-of-madame-devaucay-jean-auguste-dominique-ingres-1807-affe2714.jpg
b'V\xc3\xa9nus Anadyom\xc3\xa8ne',b'Jean-Auguste-Dominique Ingres',b'1808',b'FR',https://az334034.vo.msecnd.net/images-4/venus-anadyomene-jean-auguste-dominique-ingres-1808-be8a2fbd.jpg
b'The Two Foscari',b'Eug\xc3\xa8ne Delacroix',b'1855',b'FR',https://az334033.vo.msecnd.net/images-2/the-two-foscari-eugene-delacroix-1855-43d46dd0.jpg
b'Self-portrait at twenty-four',b'Jean-Auguste-Dominique Ingres',b'1804',b'FR',https://az334033.vo.msecnd.net/images-5/self-portrait-at-twenty-four-jean-auguste-dominique-ingres-1804-a820fce4.jpg
b'Pastoral Pleasure',b'Antoine Watteau',b'1714',b'FR',https://az333960.vo.msecnd.net/images-2/pastoral-pleasure-antoine-watteau-1714-b51b4f41.jpg
b'Massacre of the Innocents',b'Nicolas Poussin',b'1620',b'FR',https://az334034.vo.msecnd.net/images-7/massacre-of-the-innocents-nicolas-poussin-1620-fc2f4a21.jpg
b'Napol\xc3\xa9on Bonaparte Premier Consul',b'Fran\xc3\xa7ois G\xc3\xa9rard',b'1803',b'FR',https://az333959.vo.msecnd.net/images-2/napoleon-bonaparte-premier-consul-francois-gerard-1803-080145bf.jpg
b'Untitled',b'Antoine Watteau',b'1715',b'FR',https://az333960.vo.msecnd.net/images-1/untitled-antoine-watteau-1715-790f8aec.jpg
b'Five dancing angels',b'Giovanni di Paolo',b'1436',,https://az334033.vo.msecnd.net/images-6/untitled-giovanni-di-paolo-1436-f04eba28.jpg
b'Untitled',b'Joseph Duplessis',b'Untitled',,https://az334034.vo.msecnd.net/images-3/untitled-joseph-duplessis-ef22845e.jpg
b'Untitled',b'Filippino Lippi',b'1480',b'IT',https://az334034.vo.msecnd.net/images-1/untitled-filippino-lippi-1480-7f2edb31.jpg
b'Untitled',b'Anonymous',b'Untitled',,https://az333959.vo.msecnd.net/images-0/untitled-anonymous-223-a947e2b1.jpg
b'Untitled',b'Charles Jalabert',b'1880',,https://az334033.vo.msecnd.net/images-7/untitled-charles-jalabert-1880-1058e0a8.jpg
b'Untitled',b'Pierre-Louis Delaval',b'Untitled',,https://az333959.vo.msecnd.net/images-1/untitled-pierre-louis-delaval-88a285b9.jpg
b'Untitled',b'Alexandre-Gabriel Decamps',b'1846',,https://az333959.vo.msecnd.net/images-8/untitled-alexandre-gabriel-decamps-1846-1-0b0c8e83.jpg
b'Untitled',b'Nicolas Poussin',b'1630',b'FR',https://az334034.vo.msecnd.net/images-2/untitled-nicolas-poussin-1630-4be9d488.jpg
b'Untitled',b'Pierre Mignard',b'Untitled',,https://az333959.vo.msecnd.net/images-6/untitled-pierre-mignard-1-1a1fdcae.jpg
|b'Henri d\xe2\x80\x99Orl\xc3\xa9ans, duc d\xe2\x80\x99Aumale'|,b'Charles Jalabert',b'1866',,https://az333959.vo.msecnd.net/images-5/henri-d-orleans-duc-d-aumale-charles-jalabert-1866-b9362bae.jpg
b"Portrait of Ad\xc3\xa9laide d'Orl\xc3\xa9ans",b'Marie-Am\xc3\xa9lie Cogniet',b"d'Orl\xc3\xa9ans",,https://az333960.vo.msecnd.net/images-1/portrait-of-adelaide-d-orleans-marie-amelie-cogniet-02ef4a75.jpg
