Title,Artist,Year,Country,Thumbnail
b'V\xc3\xa9nus',b'Alexandre Cabanel',b'1875',b'FR',https://az333960.vo.msecnd.net/images-6/untitled-alexandre-cabanel-c52451ee.jpg
b'The Meeting',b'Gustave Courbet',b'1854',b'FR',https://az334034.vo.msecnd.net/images-8/untitled-gustave-courbet-3-f2c86abe.jpg
b'Phaedra',b'Alexandre Cabanel',b'Phaedra',b'FR',https://az334034.vo.msecnd.net/images-1/phaedra-alexandre-cabanel-ee521da7.jpg
b'View of the Village',b'Fr\xc3\xa9d\xc3\xa9ric Bazille',b'1868',b'FR',https://az333960.vo.msecnd.net/images-8/view-of-the-village-frederic-bazille-1868-bd64775d.jpg
b'Portrait of Alfred Bruyas',b'Gustave Courbet',b'1853',b'FR',https://az334033.vo.msecnd.net/images-4/portrait-of-alfred-bruyas-gustave-courbet-1853-a3a955ec.jpg
b'Untitled',b'Gustave Courbet',b'Untitled',b'FR',https://az333960.vo.msecnd.net/images-8/untitled-gustave-courbet-4-502daeaa.jpg
b'La Toilette',b'Fr\xc3\xa9d\xc3\xa9ric Bazille',b'1870',b'FR',https://az334034.vo.msecnd.net/images-9/la-toilette-frederic-bazille-1869-e600f9ad.jpg
b'Portrait of Bruyas',b'Gustave Courbet',b'1854',b'FR',https://az334034.vo.msecnd.net/images-1/portrait-of-bruyas-gustave-courbet-1854-77f33b50.jpg
b'The Bathers',b'Gustave Courbet',b'1853',b'FR',https://az334033.vo.msecnd.net/images-2/untitled-gustave-courbet-9-fc275788.jpg
b'The Sleeping Spinner',b'Gustave Courbet',b'1853',b'FR',https://az333959.vo.msecnd.net/images-2/the-sleeping-spinner-gustave-courbet-1853-6b3d754b.jpg
b'Fording',b'Hendrik Voogd',b'1819',b'NL',https://az334034.vo.msecnd.net/images-3/fording-hendrik-voogd-1819-12e9d4c0.jpg
b'Venus and Adonis',b'Nicolas Poussin',b'1626',b'FR',https://az334033.vo.msecnd.net/images-5/venus-and-adonis-nicolas-poussin-1626-545754ab.jpg
b'Studio in the Rue de Furstemberg',b'Fr\xc3\xa9d\xc3\xa9ric Bazille',b'1866',b'FR',https://az333960.vo.msecnd.net/images-1/studio-in-the-rue-de-furstemberg-frederic-bazille-1865-05ecbcfa.jpg
b'Portrait of Doctor Alphonse Leroy',b'Jacques-Louis David',b'1783',b'FR',https://az334033.vo.msecnd.net/images-2/portrait-of-doctor-alphonse-leroy-jacques-louis-david-1783-ac3c797b.jpg
b'Around a Fair',b'Claude-Joseph Vernet',b'1774',b'FR',https://az334033.vo.msecnd.net/images-9/around-a-fair-claude-joseph-vernet-1774-147e8dd2.jpg
b'self-portrait with Striped Collar',b'Gustave Courbet',b'1854',b'FR',https://az333959.vo.msecnd.net/images-4/self-portrait-with-striped-collar-gustave-courbet-1854-06caed5d.jpg
b'Portait de Baudelaire',b'Gustave Courbet',b'1849',b'FR',https://az333960.vo.msecnd.net/images-2/untitled-gustave-courbet-11-408004c9.jpg
