Title,Artist,Year,Country,Thumbnail
b'Jupiter and Thetis',b'Jean-Auguste-Dominique Ingres',b'1811',b'FR',https://az334034.vo.msecnd.net/images-6/jupiter-and-thetis-jean-auguste-dominique-ingres-1811-1-34288671.jpg
b'Untitled',b'Jean-Auguste-Dominique Ingres',b'Untitled',b'FR',https://az334034.vo.msecnd.net/images-6/untitled-jean-auguste-dominique-ingres-3-dca09d93.jpg
b'The Kiss of the Muse',b'Paul C\xc3\xa9zanne',b'1860',b'FR',https://az334033.vo.msecnd.net/images-6/the-kiss-of-the-muse-paul-cezanne-1860-81fe080a.jpg
b'Portrait of Emile Zola',b'Paul C\xc3\xa9zanne',b'1862',b'FR',https://az333959.vo.msecnd.net/images-2/portrait-of-emile-zola-paul-cezanne-1862-84af3a37.jpg
b'View of Florence',b'Jean-Baptiste-Camille Corot',b'1884',b'FR',https://az333959.vo.msecnd.net/images-4/view-of-florence-camille-corot-1884-5db68ce1.jpg
b'Fran\xc3\xa7ois 1er armant chevalier son petit-fils Fran\xc3\xa7ois II',b'Pierre R\xc3\xa9voil',b'II',,https://az334034.vo.msecnd.net/images-4/francois-1er-armant-chevalier-son-petit-fils-francois-ii-pierre-revoil-9229c077.jpg
b'Self-portrait 1659',b'Rembrandt',b'1659',b'NL',https://az333959.vo.msecnd.net/images-4/self-portrait-1659-rembrandt-48442cf6.jpg
|b'Interior with two women talking, a man and a dog'|,b'Pieter de Hooch',b'dog',b'NL',https://az333960.vo.msecnd.net/images-7/interior-with-two-women-talking-a-man-and-a-dog-pieter-de-hooch-7996914e.jpg
b'Lot and his daughters',b'Gabri\xc3\xabl Metsu',b'1655',b'NL',https://az334034.vo.msecnd.net/images-4/lot-and-his-daughters-gabriel-metsu-1655-35e9657f.jpg
b'Virgin in Glory surrounded by St. Peter and St. Augustine',b'Robert Campin',b'Augustine',,https://az333959.vo.msecnd.net/images-7/virgin-in-glory-surrounded-by-st-peter-and-st-augustine-robert-campin-3c9a96fc.jpg
b'Green Green',b'Fran\xc3\xa7ois Marius Granet',b'1834',,https://az334033.vo.msecnd.net/images-2/green-green-francois-marius-granet-1834-dc04ff54.jpg
