Title,Artist,Year,Country,Thumbnail
b'Jupiter and Semele',b'Gustave Moreau',b'1894',b'FR',https://az333959.vo.msecnd.net/images-2/jupiter-and-semele-gustave-moreau-1894-c0d05514.jpg
b'Mystic Flower',b'Gustave Moreau',b'1890',b'FR',https://az333959.vo.msecnd.net/images-2/mystic-flower-gustave-moreau-1890-6d2d8128.jpg
b'Prometheus',b'Gustave Moreau',b'1868',b'FR',https://az334034.vo.msecnd.net/images-8/prometheus-gustave-moreau-1868-ca79ff98.jpg
b'Leda',b'Gustave Moreau',b'Leda',b'FR',https://az333960.vo.msecnd.net/images-8/leda-gustave-moreau-c64d9b2e.jpg
b'The Unicorns',b'Gustave Moreau',b'1888',b'FR',https://az333960.vo.msecnd.net/images-8/the-unicorns-gustave-moreau-1888-44844edc.jpg
b'The Apparition',b'Gustave Moreau',b'1876',b'FR',https://az334033.vo.msecnd.net/images-2/the-apparition-gustave-moreau-1876-452fdac1.jpg
b'The Rape of Europe',b'Gustave Moreau',b'1868',b'FR',https://az334033.vo.msecnd.net/images-0/the-rape-of-europe-gustave-moreau-1868-1d10248e.jpg
b'Portrait of Gustave Moreau by Himself',b'Gustave Moreau',b'1890',b'FR',https://az333959.vo.msecnd.net/images-3/portrait-of-gustave-moreau-by-himself-gustave-moreau-1890-06b52c3f.jpg
b'Hesiod and the Muses',b'Gustave Moreau',b'1882',b'FR',https://az334034.vo.msecnd.net/images-3/hesiod-and-the-muses-gustave-moreau-1882-f0ecb090.jpg
b'Triumph of Alexander the Great',b'Gustave Moreau',b'1873',b'FR',https://az333960.vo.msecnd.net/images-8/triumph-of-alexander-the-great-gustave-moreau-1873-ebc2a3da.jpg
b'Salome',b'Gustave Moreau',b'1874',b'FR',https://az333959.vo.msecnd.net/images-2/salome-gustave-moreau-1874-33ba12bd.jpg
|b'Prometheus, Variant'|,b'Gustave Moreau',b'1870',b'FR',https://az333960.vo.msecnd.net/images-8/prometheus-variant-gustave-moreau-1870-45de2237.jpg
b'The Suitors',b'Gustave Moreau',b'1862',b'FR',https://az333960.vo.msecnd.net/images-5/the-suitors-gustave-moreau-1862-9d1fdf32.jpg
b'The Muses Leaving Their Father Apollo to Go and Light the...',b'Gustave Moreau',b'1868',b'FR',https://az333959.vo.msecnd.net/images-3/the-muses-leaving-their-father-apollo-to-go-and-light-the-world-gustave-moreau-1868-3ba3ecea.jpg
b'Hesiod and the Muse',b'Gustave Moreau',b'Muse',b'FR',https://az333959.vo.msecnd.net/images-5/hesiod-and-the-muse-gustave-moreau-5f39af33.jpg
b'The Prodigal Son',b'Gustave Moreau',b'1890',b'FR',https://az334033.vo.msecnd.net/images-7/the-prodigal-son-gustave-moreau-1890-62f5a53d.jpg
b'Helen at the Scaean Gate',b'Gustave Moreau',b'1888',b'FR',https://az334033.vo.msecnd.net/images-9/helen-at-the-scaean-gate-gustave-moreau-1888-7f8ea890.jpg
b'Life of Humanity',b'Gustave Moreau',b'1886',b'FR',https://az334034.vo.msecnd.net/images-4/life-of-humanity-gustave-moreau-1886-23ad4a07.jpg
