Title,Artist,Year,Country,Thumbnail
b'Portrait du comte Antoine Fran\xc3\xa7ais de Nantes',b'Jacques-Louis David',b'1811',b'FR',https://az333959.vo.msecnd.net/images-5/portrait-du-comte-antoine-francais-de-nantes-jacques-louis-david-1811-65b0f68a.jpg
b'The Supper at Emmaus',b'Rembrandt',b'Emmaus',b'NL',https://az333960.vo.msecnd.net/images-3/the-supper-at-emmaus-rembrandt-df4bd0c6.jpg
b'Untitled',b'Andrea Mantegna',b'1455',b'IT',https://az333959.vo.msecnd.net/images-0/untitled-andrea-mantegna-1455-b80da410.jpg
b'Untitled',b'Giotto di Bondone',b'1325',b'IT',https://az334033.vo.msecnd.net/images-4/untitled-giotto-di-bondone-1325-1-a497f47e.jpg
b'Portrait of an Old Man',b'Quentin Matsys',b'Man',b'BE',https://az334033.vo.msecnd.net/images-4/portrait-of-an-old-man-quentin-matsys-4386031a.jpg
|b'Portrait of a Man, possibly Arnout Tholincx'|,b'Rembrandt',b'Tholincx',b'NL',https://az333959.vo.msecnd.net/images-3/portrait-of-a-man-possibly-arnout-tholincx-rembrandt-fb4f4114.jpg
b'Virgin and Child with inkwell',b'Master of the Andr\xc3\xa9 Virgin',b'inkwell',,https://az334034.vo.msecnd.net/images-7/virgin-and-child-with-inkwell-master-of-the-andre-virgin-e954e295.jpg
b'Portrait of countess Yekaterina Skavronskaya',b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'1790',b'FR',https://az333959.vo.msecnd.net/images-9/portrait-of-countess-yekaterina-skavronskaya-louise-elisabeth-vigee-le-brun-1790-52fedc67.jpg
b"The Model's First Sitting",b'Jean-Honor\xc3\xa9 Fragonard',b'1769',b'FR',https://az334034.vo.msecnd.net/images-6/the-model-s-first-sitting-jean-honore-fragonard-1769-b9b4e1f7.jpg
b'Untitled',b'Jean-Marc Nattier',b'Untitled',b'FR',https://az333959.vo.msecnd.net/images-5/untitled-jean-marc-nattier-1b5df226.jpg
b'Untitled',b'Paolo Uccello',b'Untitled',b'IT',https://az333960.vo.msecnd.net/images-4/untitled-paolo-uccello-1-e22bdb97.jpg
b'Portrait of Princess Amalia van Solms',b'Rembrandt',b'Solms',b'NL',https://az334033.vo.msecnd.net/images-7/portrait-of-princess-amalia-van-solms-rembrandt-2f8276cd.jpg
b'Untitled',b'Andrea Mantegna',b'1500',b'IT',https://az334033.vo.msecnd.net/images-2/untitled-andrea-mantegna-1500-18e61d17.jpg
b'View of the Ruins of Huis ter Kleef and Haarlem',b'Jacob van Ruisdael',b'Haarlem',b'NL',https://az334034.vo.msecnd.net/images-1/view-of-the-ruins-of-huis-ter-kleef-and-haarlem-jacob-van-ruisdael-93745ca1.jpg
b'Untitled',b'Andrea Mantegna',b'1490',b'IT',https://az334033.vo.msecnd.net/images-8/untitled-andrea-mantegna-1490-3-ab02d9ab.jpg
b'Portrait of a man',b'Frans Hals',b'1660',b'NL',https://az334034.vo.msecnd.net/images-9/portrait-of-a-man-frans-hals-1660-2-ae593b0f.jpg
b'Self-portrait',b'N\xc3\xa9lie Jacquemart',b'1880',,https://az334034.vo.msecnd.net/images-6/self-portrait-nelie-jacquemart-1880-097c5123.jpg
|b'Portrait of Enrico Concini, Count de Pe\xc3\xb1a'|,b'Anthony van Dyck',b'1630',b'NL',https://az334034.vo.msecnd.net/images-7/portrait-of-enrico-concini-count-de-pena-anthony-van-dyck-1630-155000a9.jpg
