Title,Artist,Year,Country,Thumbnail
|b'Impression, soleil levant'|,b'Claude Monet',b'1872',b'FR',https://az334034.vo.msecnd.net/images-6/impression-soleil-levant-claude-monet-1872-b6273d35.jpg
b'Le Cerisier',b'Berthe Morisot',b'1891',b'FR',https://az333960.vo.msecnd.net/images-2/le-cerisier-berthe-morisot-1891-9cced3b2.jpg
b'Autoportrait',b'Berthe Morisot',b'1885',b'FR',https://az333960.vo.msecnd.net/images-4/autoportrait-berthe-morisot-1885-84c0d0fa.jpg
b'The Studio of Abel de Pujol',b'Adrienne Marie Louise Grandpierre-Deverzy',b'1822',,https://az334034.vo.msecnd.net/images-1/the-studio-of-abel-de-pujol-adrienne-marie-louise-grandpierre-deverzy-1822-ba74ea30.jpg
|b'Nymph\xc3\xa9as, effet du soir'|,b'Claude Monet',b'1897',b'FR',https://az334034.vo.msecnd.net/images-3/nympheas-effet-du-soir-claude-monet-1897-ce3cc4bf.jpg
b'Au bal',b'Berthe Morisot',b'1875',b'FR',https://az333959.vo.msecnd.net/images-2/au-bal-berthe-morisot-1875-1b455c80.jpg
b'Tulips in Holland',b'Claude Monet',b'Holland',b'FR',https://az334034.vo.msecnd.net/images-7/tulips-in-holland-claude-monet-d877eff1.jpg
b'Portrait de Claude Monet',b'Carolus-Duran',b'1867',b'FR',https://az334033.vo.msecnd.net/images-5/portrait-de-claude-monet-carolus-duran-1867-52cc6047.jpg
b'Bouquet de fleurs',b'Paul Gauguin',b'1897',b'FR',https://az333959.vo.msecnd.net/images-8/bouquet-de-fleurs-paul-gauguin-1897-ff29fcbf.jpg
b'Monet that reads',b'Auguste Renoir',b'1868',b'FR',https://az334033.vo.msecnd.net/images-8/monet-that-reads-pierre-auguste-renoir-1868-126c2759.jpg
b'Printemps aux environs de Paris. Pommiers en fleurs',b'Alfred Sisley',b'1879',b'GB',https://az333959.vo.msecnd.net/images-1/printemps-aux-environs-de-paris-pommiers-en-fleurs-alfred-sisley-1879-f56b661e.jpg
|b"Pont de l'Europe, Gare Saint-Lazare"|,b'Claude Monet',b'1877',b'FR',https://az333960.vo.msecnd.net/images-7/untitled-claude-monet-1877-1-1175d01d.jpg
|b'Rouen Cathedral, Portal, Sunlight, End of the Day'|,b'Claude Monet',b'1892',b'FR',https://az334034.vo.msecnd.net/images-3/rouen-cathedral-portal-sunlight-end-of-the-day-claude-monet-1892-6a9e933a.jpg
b'Watter Lilies',b'Claude Monet',b'1918',b'FR',https://az333960.vo.msecnd.net/images-7/watter-lilies-claude-monet-1918-62e03b66.jpg
b"En promenade pr\xc3\xa8s d'Argenteuil",b'Claude Monet',b'1875',b'FR',https://az333960.vo.msecnd.net/images-9/en-promenade-pres-d-argenteuil-claude-monet-1875-8934a1f9.jpg
b'Glycines',b'Claude Monet',b'1919',b'FR',https://az333959.vo.msecnd.net/images-3/glycines-claude-monet-1919-b3d6cf93.jpg
b'Julie Manet et sa levrette La\xc3\xabrte',b'Berthe Morisot',b'1893',b'FR',https://az334033.vo.msecnd.net/images-9/julie-manet-et-sa-levrette-laerte-berthe-morisot-1893-9d740ebb.jpg
|b'Bras de Seine pr\xc3\xa8s de Giverny, soleil levant'|,b'Claude Monet',b'1897',b'FR',https://az334033.vo.msecnd.net/images-2/bras-de-seine-pres-de-giverny-soleil-levant-claude-monet-1897-e272466f.jpg
b'Pomme coup\xc3\xa9e et pichet',b'Berthe Morisot',b'1876',b'FR',https://az333959.vo.msecnd.net/images-3/pomme-coupee-et-pichet-berthe-morisot-1876-75e83b86.jpg
b'The row boat',b'Claude Monet',b'1887',b'FR',https://az334033.vo.msecnd.net/images-9/the-row-boat-claude-monet-1887-524deded.jpg
b'T\xc3\xaate de femme',b'Claude Monet',b'1862',b'FR',https://az333959.vo.msecnd.net/images-9/tete-de-femme-claude-monet-1862-97da15b2.png
b'Portrait de la duchesse de Feltre et de ses enfants',b'Fran\xc3\xa7ois-Xavier Fabre',b'1810',,https://az334033.vo.msecnd.net/images-0/portrait-de-la-duchesse-de-feltre-et-de-ses-enfants-francois-xavier-fabre-1810-c41d75d5.jpg
b'boats-under-construction',b'Berthe Morisot',b'1874',b'FR',https://az333960.vo.msecnd.net/images-4/boats-under-construction-berthe-morisot-1874-8315cf04.jpg
b'Paule Gobillard peignant',b'Berthe Morisot',b'1887',b'FR',https://az334034.vo.msecnd.net/images-2/paule-gobillard-peignant-berthe-morisot-1887-f559e8f1.jpg
b'Jupiter et Antiope',b'Edouard Manet',b'1856',b'FR',https://az333959.vo.msecnd.net/images-8/jupiter-et-antiope-edouard-manet-1856-b59bbb07.jpg
b'Le pont japonais',b'Claude Monet',b'1918',b'FR',https://az334033.vo.msecnd.net/images-2/le-pont-japonais-claude-monet-1918-1-7aec326d.jpg
b'Paysage de Norv\xc3\xa8ge. Les maisons bleues',b'Claude Monet',b'1895',b'FR',https://az334033.vo.msecnd.net/images-7/paysage-de-norvege-les-maisons-bleues-claude-monet-1895-7f310b6b.jpg
b'Petite fille mangeant des cerises',b'Jeanne-Elisabeth Chaudet',b'1817',,https://az333960.vo.msecnd.net/images-8/petite-fille-mangeant-des-cerises-jeanne-elisabeth-chaudet-1817-6f124dd1.jpg
b'Bois de Boulogne',b'Berthe Morisot',b'1893',b'FR',https://az334034.vo.msecnd.net/images-8/bois-de-boulogne-berthe-morisot-1893-cd184f98.jpg
