Title,Artist,Year,Country,Thumbnail
b'Self Portrait as Ravenswood',b'Eug\xc3\xa8ne Delacroix',b'1821',b'FR',https://az333959.vo.msecnd.net/images-7/self-portrait-as-ravenswood-eugene-delacroix-1821-59802e18.jpg
b'Charles Quint au monast\xc3\xa8re de Yuste',b'Eug\xc3\xa8ne Delacroix',b'Yuste',b'FR',https://az333960.vo.msecnd.net/images-3/charles-quint-au-monastere-de-yuste-eugene-delacroix-3e999413.jpg
|b'Portrait \xc3\xa9questre de Sa Majest\xc3\xa9 le roi de Westphalie,...'|,b'Th\xc3\xa9odore G\xc3\xa9ricault',b'1813',b'FR',https://az334033.vo.msecnd.net/images-9/portrait-equestre-de-sa-majeste-le-roi-de-westphalie-jerome-bonaparte-theodore-gericault-1813-d7de8123.jpg
b'\xc3\x89tude pour la Vierge du Sacr\xc3\xa9-C\xc5\x93ur',b'Eug\xc3\xa8ne Delacroix',b'1821',b'FR',https://az334034.vo.msecnd.net/images-9/etude-pour-la-vierge-du-sacre-coeur-eugene-delacroix-1821-e8059aad.jpg
b'Portrait de George Sand',b'Eug\xc3\xa8ne Delacroix',b'1834',b'FR',https://az334034.vo.msecnd.net/images-3/portrait-de-george-sand-eugene-delacroix-1834-5a87d450.jpg
b'Portrait de Thal\xc3\xa8s Fielding',b'Eug\xc3\xa8ne Delacroix',b'1824',b'FR',https://az333959.vo.msecnd.net/images-3/portrait-de-thales-fielding-eugene-delacroix-1824-46d2e9bf.jpg
b'Madeleine dans le d\xc3\xa9sert',b'Eug\xc3\xa8ne Delacroix',b'1845',b'FR',https://az333959.vo.msecnd.net/images-2/madeleine-dans-le-desert-eugene-delacroix-1845-79362d2b.jpg
b'Romeo and Juliet at the tomb of the Capulets',b'Eug\xc3\xa8ne Delacroix',b'1850',b'FR',https://az333960.vo.msecnd.net/images-1/romeo-and-juliet-at-the-tomb-of-the-capulets-eugene-delacroix-1850-9a61a389.jpg
b'Richard de La Hauti\xc3\xa8re',b'Eug\xc3\xa8ne Delacroix',b'Hauti\xc3\xa8re',b'FR',https://az333960.vo.msecnd.net/images-7/richard-de-la-hautiere-eugene-delacroix-4a74cd5b.jpg
b'Annunciation',b'Eug\xc3\xa8ne Delacroix',b'1841',b'FR',https://az333960.vo.msecnd.net/images-2/annunciation-eugene-delacroix-1841-cac3cb08.jpg
b'Etude pour Le Christ au Jardin des Oliviers',b'Eug\xc3\xa8ne Delacroix',b'1824',b'FR',https://az334033.vo.msecnd.net/images-8/etude-pour-le-christ-au-jardin-des-oliviers-eugene-delacroix-1824-6baf7ae9.jpg
b'Portrait du comte Charles de Mornay',b'Pierre-Joseph Dedreux-Dorcy',b'1835',,https://az333960.vo.msecnd.net/images-0/portrait-du-comte-charles-de-mornay-pierre-joseph-dedreux-dorcy-1835-115019ad.jpg
b"Esquisse pour l'hommage \xc3\xa0 Delacroix",b'Henri Fantin-Latour',b'1863',b'FR',https://az333960.vo.msecnd.net/images-3/esquisse-pour-l-hommage-a-delacroix-henri-fantin-latour-1863-1-e3756114.jpg
b"\xc3\x89tude d'homme nu",b'Eug\xc3\xa8ne Delacroix',b'1820',b'FR',https://az333960.vo.msecnd.net/images-3/etude-d-homme-nu-eugene-delacroix-1820-77f397f0.jpg
