Title,Artist,Year,Country,Thumbnail
b'Water Lilies',b'Claude Monet',b'1904',b'FR',https://az333959.vo.msecnd.net/images-9/water-lilies-claude-monet-1904-a522cac2.jpg
b'The Bridge at Moret',b'Alfred Sisley',b'1875',b'GB',https://az334033.vo.msecnd.net/images-6/the-bridge-at-moret-alfred-sisley-1875-1bcb6748.jpg
|b'Venise, la Piazzetta vue du Grand Canal'|,b'Eug\xc3\xa8ne Boudin',b'1895',b'FR',https://az333960.vo.msecnd.net/images-2/untitled-eugene-boudin-1895-d2956187.jpg
b'Landscape with Cows',b'Eug\xc3\xa8ne Boudin',b'1875',b'FR',https://az334033.vo.msecnd.net/images-8/landscape-with-cows-eugene-boudin-1875-38ff9318.jpg
|b'The Top Hat, Interior'|,b'F\xc3\xa9lix Vallotton',b'1887',b'CH',https://az334034.vo.msecnd.net/images-5/untitled-felix-vallotton-1887-57f8a2b0.jpg
b'Twilight on the bassin du Commerce in Le Havre',b'Eug\xc3\xa8ne Boudin',b'1892',b'FR',https://az333960.vo.msecnd.net/images-3/twilight-on-the-bassin-du-commerce-in-le-havre-eugene-boudin-1892-518854cb.jpg
|b'Seine, Caudebec-en-Caux'|,b'Eug\xc3\xa8ne Boudin',b'1889',b'FR',https://az334033.vo.msecnd.net/images-7/seine-caudebec-en-caux-eugene-boudin-1889-85854ebc.jpg
b'\xc3\x89tude de ciel sur le Bassin du Commerce au Havre',b'Eug\xc3\xa8ne Boudin',b'1895',b'FR',https://az333960.vo.msecnd.net/images-3/untitled-eugene-boudin-1875-1-ef8ad1fc.jpg
b'Landscape with a Pond',b'Henri Harpignies',b'1899',,https://az333960.vo.msecnd.net/images-7/landscape-with-a-pond-henri-harpignies-1899-6fa5abd9.jpg
b'The Fire of Rome',b'Hubert Robert',b'1785',b'FR',https://az334034.vo.msecnd.net/images-2/the-fire-of-rome-hubert-robert-1785-cf59605f.jpg
b'The Seine at the Point du jour',b'Alfred Sisley',b'1877',b'GB',https://az333959.vo.msecnd.net/images-1/the-seine-at-the-point-du-jour-alfred-sisley-1877-857cef83.jpg
|b'Apple Trees and Poplars, \xc3\x89ragny, Sunset'|,b'Camille Pissarro',b'Sunset',b'FR',https://az334033.vo.msecnd.net/images-0/apple-trees-and-poplars-eragny-sunset-camille-pissarro-eedba90c.jpg
b'Waltz',b'F\xc3\xa9lix Vallotton',b'1893',b'CH',https://az333959.vo.msecnd.net/images-5/waltz-felix-vallotton-1893-af2abb59.jpg
b'Burial of a Child in Villerville',b'\xc3\x89douard Joseph Dantan',b'1884',b'FR',https://az333960.vo.msecnd.net/images-7/burial-of-a-child-in-villerville-edouard-joseph-dantan-1884-9745e2ce.jpg
b'Landscape',b'John Constable',b'1825',b'GB',https://az334033.vo.msecnd.net/images-5/landscape-john-constable-1825-4e568930.jpg
b'Le Bassin de Deauville',b'Eug\xc3\xa8ne Boudin',b'1885',b'FR',https://az333959.vo.msecnd.net/images-9/untitled-eugene-boudin-1875-2-eb7b496d.jpg
b'Barques et estacade',b'Eug\xc3\xa8ne Boudin',b'1897',b'FR',https://az333959.vo.msecnd.net/images-2/untitled-eugene-boudin-1894-1-01e4558e.jpg
b'Fishing Boats (study)',b'Eug\xc3\xa8ne Boudin',b'1860',b'FR',https://az333959.vo.msecnd.net/images-9/fishing-boats-study-eugene-boudin-1860-f1aa66dd.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1873',b'FR',https://az334033.vo.msecnd.net/images-3/untitled-jean-baptiste-camille-corot-1873-2-f7c6fe9b.jpg
b'Untitled',b'Willem van de Velde the Younger',b'1800',,https://az333959.vo.msecnd.net/images-5/untitled-willem-van-de-velde-the-younger-1800-37da58c4.jpg
b'Untitled',b'Eug\xc3\xa8ne Boudin',b'1852',b'FR',https://az334033.vo.msecnd.net/images-8/untitled-eugene-boudin-1852-2a8f3c67.jpg
b'Untitled',b'Camille Pissarro',b'1903',b'FR',https://az334033.vo.msecnd.net/images-3/untitled-camille-pissarro-1903-565d4c18.jpg
b'Untitled',b'Antoine Chintreuil',b'1865',,https://az333959.vo.msecnd.net/images-4/untitled-antoine-chintreuil-1865-e5932621.jpg
b'Neighborhood of Plougastel',b'Eug\xc3\xa8ne Boudin',b'1870',b'FR',https://az334034.vo.msecnd.net/images-6/neighborhood-of-plougastel-eugene-boudin-1870-dbea6955.jpg
b'Cliffs in \xc3\x89tretat',b'Eug\xc3\xa8ne Boudin',b'1875',b'FR',https://az333959.vo.msecnd.net/images-9/cliffs-in-etretat-eugene-boudin-1875-df9df699.jpg
b'Untitled',b'Camille Pissarro',b'1903',b'FR',https://az334033.vo.msecnd.net/images-8/untitled-camille-pissarro-1903-1-0f4d9f39.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1865',b'FR',https://az333959.vo.msecnd.net/images-0/untitled-jean-baptiste-camille-corot-1865-9-a013febe.jpg
