Title,Artist,Year,Country,Thumbnail
b'Girl in Green',b'Jean-Baptiste-Camille Corot',b'1859',b'FR',https://az334033.vo.msecnd.net/images-5/girl-in-green-jean-baptiste-camille-corot-1859-deab9630.jpg
b'View of the Mont-Blanc from Sallanches at dusk',b'Pierre-Louis de La Rive',b'dusk',,https://az334033.vo.msecnd.net/images-3/view-of-the-mont-blanc-from-sallanches-at-dusk-pierre-louis-de-la-rive-932e0702.jpg
b'Farm at Montfoucault',b'Camille Pissarro',b'Montfoucault',b'FR',https://az334033.vo.msecnd.net/images-1/farm-at-montfoucault-camille-pissarro-907ab2cc.jpg
b'Bridge and Watermill of Moret in Summer',b'Alfred Sisley',b'1888',b'GB',https://az334034.vo.msecnd.net/images-7/bridge-and-watermill-of-moret-in-summer-alfred-sisley-1888-f75f4f4d.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1865',b'FR',https://az333960.vo.msecnd.net/images-2/untitled-jean-baptiste-camille-corot-1865-7-bd7e3290.jpg
b'Le bateau-atelier',b'Claude Monet',b'1876',b'FR',https://az334034.vo.msecnd.net/images-1/le-bateau-atelier-claude-monet-1876-d5f3ce44.jpg
b'Dans le pr\xc3\xa9',b'Camille Pissarro',b'1893',b'FR',https://az333959.vo.msecnd.net/images-1/dans-le-pre-camille-pissarro-1893-b9f3edd4.jpg
b'House in Bellevue',b'Paul C\xc3\xa9zanne',b'1890',b'FR',https://az334033.vo.msecnd.net/images-4/house-in-bellevue-paul-cezanne-1890-cdb593e9.jpg
b'Le Repos devant la ferme',b'Jean-Baptiste Camille Corot',b'ferme',,https://az333960.vo.msecnd.net/images-1/le-repos-devant-la-ferme-jean-baptiste-camille-corot-6d85aedd.png
b'The Miraculous Draft of Fishes',b'Konrad Witz',b'1444',,https://az334033.vo.msecnd.net/images-3/the-miraculous-draft-of-fishes-konrad-witz-1444-9ef4ef1d.jpg
b'Landscape in Vence',b'F\xc3\xa9lix Vallotton',b'1924',b'CH',https://az334033.vo.msecnd.net/images-1/landscape-in-vence-felix-vallotton-1924-f9b3cd27.jpg
b'Citrus Trees Garden in Cagnes',b'F\xc3\xa9lix Vallotton',b'1923',b'CH',https://az334033.vo.msecnd.net/images-8/citrus-trees-garden-in-cagnes-felix-vallotton-1923-25eea31e.jpg
b'Untitled',b'Edgar Degas',b'1892',b'FR',https://az333960.vo.msecnd.net/images-1/untitled-edgar-degas-1892-1-d268b596.jpg
b'Bouquet de roses',b'Auguste Renoir',b'roses',b'FR',https://az333960.vo.msecnd.net/images-4/bouquet-de-roses-pierre-auguste-renoir-26a55724.png
b'Sunday afternoon',b'Albert Anker',b'afternoon',,https://az333960.vo.msecnd.net/images-8/sunday-afternoon-albert-anker-059121f4.jpg
b'Coin du Bassin aux Nymph\xc3\xa9as',b'Claude Monet',b'1918',b'FR',https://az334034.vo.msecnd.net/images-6/coin-du-bassin-aux-nympheas-claude-monet-1918-adf0d645.png
b'La cabane de Sainte-Adresse',b'Claude Monet pedra',b'1867',,https://az334034.vo.msecnd.net/images-2/la-cabane-de-sainte-adresse-claude-monet-pedra-1867-f3272d23.jpg
b'Pestalozzi et les orphelins unterwaldois \xc3\xa0 Morat',b'Albert Anker',b'1876',,https://az334033.vo.msecnd.net/images-4/pestalozzi-et-les-orphelins-unterwaldois-a-morat-albert-anker-1876-f394b6ef.jpg
