Title,Artist,Year,Country,Thumbnail
b'Know Thyself: Youth between Vice and Vertu',b'Jacob Jordaens',b'1650',,https://az333960.vo.msecnd.net/images-8/know-thyself-youth-between-vice-and-vertu-jacob-jordaens-1650-164b0d60.jpg
b'The island of Cythera',b'Auguste Gendron',b'1848',,https://az333960.vo.msecnd.net/images-4/the-island-of-cythera-auguste-gendron-1848-9701be98.jpg
b"L'auberge",b'Cornelis Gerritsz Decker',b"L'auberge",,https://az333960.vo.msecnd.net/images-5/l-auberge-cornelis-gerritsz-decker-e52f3396.jpg
b'Arriv\xc3\xa9e des p\xc3\xaacheurs de sardines',b'Alfred Guillou',b'sardines',,https://az334034.vo.msecnd.net/images-6/arrivee-des-pecheurs-de-sardines-alfred-guillou-b9967c89.jpg
b'D\xc3\xa9barquement du thon \xc3\xa0 Concarneau',b'Alfred Guillou',b'Concarneau',,https://az333959.vo.msecnd.net/images-0/debarquement-du-thon-a-concarneau-alfred-guillou-e8e234bc.jpg
b'Le barbier de village',b'Olivier Perrin',b'village',,https://az333959.vo.msecnd.net/images-3/le-barbier-de-village-olivier-perrin-a3cce5c3.jpg
b'Danse de noce',b'Olivier Perrin',b'noce',,https://az333959.vo.msecnd.net/images-3/danse-de-noce-olivier-perrin-72799276.jpg
b'Paysage',b'Vincent Vidal',b'Paysage',,https://az333960.vo.msecnd.net/images-7/paysage-vincent-vidal-096a7b78.jpg
b'Entr\xc3\xa9e de la rade de Toulon',b'Pierre-Julien Gilbert',b'1858',,https://az334033.vo.msecnd.net/images-9/entree-de-la-rade-de-toulon-pierre-julien-gilbert-1858-c15c03de.jpg
b'Untitled',b'Georges Clairin',b'1882',,https://az334034.vo.msecnd.net/images-0/untitled-georges-clairin-1882-482afb22.jpg
|b"Portrait de la princesse royale, duchesse d'Orl\xc3\xa9ans"|,b'Franz Xaver Winterhalter',b'1840',,https://az334034.vo.msecnd.net/images-0/portrait-de-la-princesse-royale-duchesse-d-orleans-franz-xaver-winterhalter-1840-bbebea61.jpg
b'Pens\xc3\xa9es',b'Eug\xc3\xa8ne Bidau',b'Pens\xc3\xa9es',,https://az334034.vo.msecnd.net/images-6/pensees-eugene-bidau-214a17c2.jpg
b'Madone',b'Anonymous',b'Madone',,https://az334034.vo.msecnd.net/images-1/madone-anonymous-233f6991.jpg
b"L'avant-port de Concarneau",b'Fernand Legout-G\xc3\xa9rard',b'Concarneau',,https://az333960.vo.msecnd.net/images-9/l-avant-port-de-concarneau-fernand-legout-gerard-7bdf4ed1.jpg
b'Vue prise \xc3\xa0 P\xc3\xa9nal\xc3\xa9 pr\xc3\xa8s de Tr\xc3\xa9boul',b'Emmanuel Lansyer',b'1886',,https://az333960.vo.msecnd.net/images-8/vue-prise-a-penale-pres-de-treboul-emmanuel-lansyer-1886-0c7b5c52.jpg
b'paysage',b'Giovanni Paolo Panini',b'paysage',b'IT',https://az334033.vo.msecnd.net/images-4/paysage-giovanni-paolo-panini-d77f6602.jpg
b'Calvaire \xc3\xa0 Br\xc3\xa9hat',b'Marcellin Jean Botrel',b'Br\xc3\xa9hat',,https://az334033.vo.msecnd.net/images-3/calvaire-a-brehat-marcellin-jean-botrel-c5f8b5cc.jpg
|b'Sur les hauts plateaux alg\xc3\xa9riens, le soir'|,b'Henri Emilien Rousseau',b'1913',,https://az333959.vo.msecnd.net/images-4/sur-les-hauts-plateaux-algeriens-le-soir-henri-emilien-rousseau-1913-11dc4870.jpg
b"Portrait d'homme en armure",b'Anonymous',b'armure',,https://az334033.vo.msecnd.net/images-5/portrait-d-homme-en-armure-anonymous-61bb7334.jpg
