Title,Artist,Year,Country,Thumbnail
b'Lady Godiva',b'Jules Lefebvre',b'1891',b'FR',https://az334034.vo.msecnd.net/images-1/lady-godiva-jules-lefebvre-1891-e739cdd2.jpg
b'View of a Village with a Bridge and a Ruined Monumental...',b'Francesco Guardi',b'1770',b'IT',https://az334033.vo.msecnd.net/images-6/view-of-a-village-with-a-bridge-and-a-ruined-monumental-gothic-door-francesco-guardi-1770-ed374039.jpg
b'Portrait of Herman Langelius',b'Frans Hals',b'1660',b'NL',https://az333960.vo.msecnd.net/images-7/portrait-of-herman-langelius-frans-hals-1660-47e5b19e.jpg
b'Meadow Ministering Saving Sustenance',b'Master of Amiens',b'1521',,https://az334034.vo.msecnd.net/images-9/meadow-ministering-saving-sustenance-master-of-amiens-1521-132e72d8.jpg
b'The Toper',b'Adriaen Brouwer',b'1630',,https://az333959.vo.msecnd.net/images-8/the-toper-adriaen-brouwer-1630-bf212dd0.jpg
b'Head of a man in profile facing left',b'Anthony van Dyck',b'1617',b'NL',https://az334033.vo.msecnd.net/images-3/head-of-a-man-in-profile-facing-left-anthony-van-dyck-1617-1b2be68e.jpg
|b'Young man sitting indoors, writing'|,b'Joos van Craesbeeck',b'1650',,https://az334034.vo.msecnd.net/images-0/young-man-sitting-indoors-writing-joos-van-craesbeeck-1650-638a358d.jpg
b'The Peace of Amiens',b'Jules-Claude Ziegler',b'1853',,https://az334034.vo.msecnd.net/images-6/the-peace-of-amiens-jules-claude-ziegler-1853-1f0b61c6.jpg
b'C\xc3\xa9sar vient traiter avec les druides',b'Fran\xc3\xa7ois Debon',b'1867',,https://az333960.vo.msecnd.net/images-8/cesar-vient-traiter-avec-les-druides-francois-debon-1867-5fcd9711.jpg
b'Girl as Shepherdess',b'Jan Baptist Weenix',b'Shepherdess',,https://az334034.vo.msecnd.net/images-6/girl-as-shepherdess-jan-baptist-weenix-cb2c7804.jpg
b'Portrait of a man',b'El Greco',b'1610',b'GR',https://az334034.vo.msecnd.net/images-9/untitled-el-greco-12-179cc7b1.jpg
b'Untitled',b'Hyacinthe Rigaud',b'1689',,https://az333959.vo.msecnd.net/images-9/untitled-hyacinthe-rigaud-1689-05a3a7cb.jpg
b'The Amused Young Lady',b'Jules Lefebvre',b'Lady',b'FR',https://az333960.vo.msecnd.net/images-7/the-amused-young-lady-jules-lefebvre-68adc64a.jpg
b'Sleeping Vestal',b'Jules Lefebvre',b'1902',b'FR',https://az334034.vo.msecnd.net/images-4/sleeping-vestal-jules-lefebvre-1902-3952a60f.jpg
b'A Harbor (Dordrecht?)',b'Jan van Goyen',b'1651',b'NL',https://az333959.vo.msecnd.net/images-5/a-harbor-dordrecht-jan-van-goyen-1651-b83215d9.jpg
b'Departing for the Catch',b'Jan van Goyen',b'1655',b'NL',https://az333959.vo.msecnd.net/images-2/departing-for-the-catch-jan-van-goyen-1655-7278f510.jpg
|b'The Madonna with the Trinity, numerous biblical persons...'|,b'Master of Amiens',b'1518',,https://az333960.vo.msecnd.net/images-1/the-madonna-with-the-trinity-numerous-biblical-persons-and-donors-master-of-amiens-1518-82d3ed61.jpg
b'Still-Life with Two Rabbits',b'Jean-Baptiste-Sim\xc3\xa9on Chardin',b'1750',b'FR',https://az334034.vo.msecnd.net/images-9/still-life-with-two-rabbits-jean-baptiste-simeon-chardin-1750-c18cccfb.jpg
