Title,Artist,Year,Country,Thumbnail
b'Yvonne and Christine Lerolle at the Piano',b'Auguste Renoir',b'1897',b'FR',https://az333959.vo.msecnd.net/images-7/yvonne-and-christine-lerolle-at-the-piano-pierre-auguste-renoir-1897-31e483ab.jpg
b'Strawberries',b'Auguste Renoir',b'1905',b'FR',https://az333959.vo.msecnd.net/images-1/strawberries-pierre-auguste-renoir-1905-a989c915.jpg
b'Leaning Woman',b'Auguste Renoir',b'1917',b'FR',https://az334034.vo.msecnd.net/images-1/leaning-woman-pierre-auguste-renoir-1917-c0cf8794.jpg
b'Portrait of Madame C\xc3\xa9zanne',b'Paul C\xc3\xa9zanne',b'1890',b'FR',https://az333960.vo.msecnd.net/images-1/portrait-of-madame-cezanne-paul-cezanne-1890-eb61a252.jpg
b'Antonia',b'Amedeo Modigliani',b'1915',b'IT',https://az334034.vo.msecnd.net/images-4/antonia-amedeo-modigliani-1915-296b2fa3.jpg
b'Femme au ruban de velours',b'Amedeo Modigliani',b'1915',b'IT',https://az334034.vo.msecnd.net/images-3/untitled-amedeo-modigliani-1915-3-7f186c3b.jpg
b'The Water Lilies - Morning',b'Claude Monet',b'Morning',b'FR',https://az333959.vo.msecnd.net/images-1/the-water-lilies-morning-claude-monet-380c9411.jpg
b'The Water Lilies - Green Reflections',b'Claude Monet',b'1920',b'FR',https://az333960.vo.msecnd.net/images-6/the-water-lilies-green-reflections-claude-monet-1920-fbf44681.jpg
b'The Water Lilies - Clear Morning with Willows',b'Claude Monet',b'1920',b'FR',https://az333960.vo.msecnd.net/images-6/the-water-lilies-clear-morning-with-willows-claude-monet-1920-97d4525a.jpg
b'La Carriole du P\xc3\xa8re Junier',b'Henri Rousseau',b'1908',b'FR',https://az333960.vo.msecnd.net/images-5/untitled-henri-rousseau-1908-80607514.jpg
b'Naked Woman in a Landscape',b'Auguste Renoir',b'1883',b'FR',https://az334033.vo.msecnd.net/images-7/naked-woman-in-a-landscape-pierre-auguste-renoir-1883-0f40f7b5.jpg
b'Redhair Woman',b'Amedeo Modigliani',b'1915',b'IT',https://az334033.vo.msecnd.net/images-4/redhair-woman-amedeo-modigliani-1915-752dc0fc.jpg
b'The Young Apprentice',b'Amedeo Modigliani',b'1918',b'IT',https://az333959.vo.msecnd.net/images-8/the-young-apprentice-amedeo-modigliani-1918-00df535c.jpg
b'The Road from Montbuisson to Louveciennes',b'Alfred Sisley',b'Louveciennes',b'GB',https://az334033.vo.msecnd.net/images-0/the-road-from-montbuisson-to-louveciennes-alfred-sisley-ae645419.jpg
b'Untitled',b'Chaim Soutine',b'Untitled',,https://az334034.vo.msecnd.net/images-6/untitled-chaim-soutine-47b82f07.jpg
b'Untitled',b'Paul C\xc3\xa9zanne',b'1880',b'FR',https://az333959.vo.msecnd.net/images-2/untitled-paul-cezanne-1880-db5b6b31.jpg
