Title,Artist,Year,Country,Thumbnail
|b'Still Life with Flowers, Fruit, and Shells'|,b'Balthasar van der Ast',b'1640',b'NL',https://az334033.vo.msecnd.net/images-0/still-life-with-flowers-fruit-and-shells-balthasar-van-der-ast-1640-d2fd1703.jpg
b'Untitled',b'Jan Mandijn',b'Untitled',,https://az333960.vo.msecnd.net/images-2/untitled-jan-mandijn-b94faa61.jpg
b'Eliezer and Rebecca',b'Salomon de Bray',b'1660',,https://az333960.vo.msecnd.net/images-5/eliezer-and-rebecca-salomon-de-bray-1660-5e94c99b.jpg
b'La Grotte de Platon',b'Michiel Coxie',b'1550',,https://az333960.vo.msecnd.net/images-3/la-grotte-de-platon-michiel-coxie-1550-07d6ae9b.jpg
b"Portrait d'une p\xc3\xa9lerine",b'Alexis Grimou',b'p\xc3\xa9lerine',,https://az334034.vo.msecnd.net/images-4/portrait-d-une-pelerine-alexis-grimou-adae0882.jpg
b'Portrait of Marceline Desbordes-Valmore',b'Constant-Joseph Desbordes',b'1810',,https://az334033.vo.msecnd.net/images-6/portrait-of-marceline-desbordes-valmore-constant-joseph-desbordes-1810-8b1e452e.jpg
b'pastoral landscape',b'Fran\xc3\xa7ois Boucher',b'landscape',b'FR',https://az333960.vo.msecnd.net/images-5/pastoral-landscape-francois-boucher-ef4e9712.jpg
b'Untitled',b'Giorgio Vasari',b'Untitled',b'IT',https://az334033.vo.msecnd.net/images-7/untitled-giorgio-vasari-2-47c4aa85.jpg
|b'The Path to Le Chou, Pontoise'|,b'Camille Pissarro',b'Pontoise',b'FR',https://az334033.vo.msecnd.net/images-2/the-path-to-le-chou-pontoise-camille-pissarro-e6d8bae7.jpg
b'Old Woman with a Young Man',b'Hendrik Goltzius',b'1614',b'DE',https://az334034.vo.msecnd.net/images-0/old-woman-with-a-young-man-hendrik-goltzius-1614-305ebf89.jpg
b'A Woman with a Jug in a Window',b'Adriaen van Ostade',b'1670',b'NL',https://az334034.vo.msecnd.net/images-7/a-woman-with-a-jug-in-a-window-adriaen-van-ostade-1670-b9a19be1.jpg
b'portrait of Marie Duhem',b'Henri Duhem',b'1898',,https://az334034.vo.msecnd.net/images-5/portrait-of-marie-duhem-henri-duhem-1898-9566614f.jpg
