Title,Artist,Year,Country,Thumbnail
b'\xc5\x92dipus the Wayfarer',b'Gustave Moreau',b'Wayfarer',b'FR',https://az334034.vo.msecnd.net/images-6/oedipus-the-wayfarer-gustave-moreau-4e3b9e58.jpg
|b'Charles-Claude de Flahaut de la Billarderie, comte d...'|,b'Jean-Baptiste Greuze',b'1763',b'FR',https://az334034.vo.msecnd.net/images-8/charles-claude-de-flahaut-de-la-billarderie-comte-d-angiviller-jean-baptiste-greuze-1763-e7c8bcb0.jpg
b"Portrait d'une jeune femme peintre",b'Jean-Marc Nattier',b'peintre',b'FR',https://az334033.vo.msecnd.net/images-1/portrait-d-une-jeune-femme-peintre-jean-marc-nattier-d806b490.jpg
b'Annexes in Alsace',b'Albert Bettannier',b'1911',,https://az334033.vo.msecnd.net/images-4/annexes-in-alsace-albert-bettannier-1911-11244998.jpg
b'Portrait en pied de Louis XIV',b'Charles Le Brun',b'1650',,https://az334033.vo.msecnd.net/images-5/portrait-en-pied-de-louis-xiv-charles-le-brun-1650-7ae0a90b.jpg
b'Landscape with Roman Ruins',b'Fran\xc3\xa7ois de Nom\xc3\xa9',b'1725',,https://az334034.vo.msecnd.net/images-4/landscape-with-roman-ruins-francois-de-nome-1725-9c293731.jpg
b'A Fantastic Architectural View',b'Fran\xc3\xa7ois de Nom\xc3\xa9',b'1625',,https://az333959.vo.msecnd.net/images-5/a-fantastic-architectural-view-francois-de-nome-1625-bed79bfc.jpg
b'La mont\xc3\xa9e au calvaire',b'Eug\xc3\xa8ne Delacroix',b'calvaire',b'FR',https://az333960.vo.msecnd.net/images-9/la-montee-au-calvaire-eugene-delacroix-c8d2b89f.jpg
b'Camma Offers the Poisoned Wedding Cup to Synorix in the...',b'Eustache Le Sueur',b'1650',,https://az334033.vo.msecnd.net/images-9/camma-offers-the-poisoned-wedding-cup-to-synorix-in-the-temple-of-diana-eustache-le-sueur-1650-06526d9d.jpg
b'Self-portrait',b'\xc3\x89mile Friant',b'1878',,https://az334033.vo.msecnd.net/images-5/self-portrait-emile-friant-1878-3409aba7.jpg
b'Portrait de Charles IX',b'Fran\xc3\xa7ois Clouet',b'IX',,https://az334033.vo.msecnd.net/images-6/portrait-de-charles-ix-francois-clouet-0fc1dbd5.jpg
b'Portrait de Paul Verlaine',b'Edmond Aman-Jean',b'1892',,https://az333960.vo.msecnd.net/images-1/portrait-de-paul-verlaine-edmond-aman-jean-1892-650d8885.jpg
