Title,Artist,Year,Country,Thumbnail
b'Etna',b'Maurice Sand',b'Etna',,https://az333960.vo.msecnd.net/images-6/etna-maurice-sand-e39748a7.jpg
b'Portrait of Calvin',b'Ary Scheffer',b'1858',,https://az334034.vo.msecnd.net/images-5/portrait-of-calvin-ary-scheffer-1858-f3b07929.jpg
b'Portrait of Pauline Viardot',b'Ary Scheffer',b'1851',,https://az334033.vo.msecnd.net/images-6/portrait-of-pauline-viardot-ary-scheffer-1851-d4aee04d.jpg
b'Portrait of Aurore de K\xc5\x93nigsmark',b'Anonymous',b'1705',,https://az334033.vo.msecnd.net/images-2/portrait-of-aurore-de-koenigsmark-anonymous-1705-819ea96e.jpg
b'Jeune femme en pri\xc3\xa8re',b'Hendrik Scheffer',b'1860',,https://az334033.vo.msecnd.net/images-0/jeune-femme-en-priere-hendrik-scheffer-1860-e610a116.jpg
b'Autoportrait',b'Johann Baptist Scheffer',b'1808',,https://az333960.vo.msecnd.net/images-8/autoportrait-johann-baptist-scheffer-1808-990ae8e1.jpg
b'Portrait pr\xc3\xa9sum\xc3\xa9 de Jeanne Scheffer',b'Hendrik Scheffer',b'1845',,https://az333959.vo.msecnd.net/images-3/portrait-presume-de-jeanne-scheffer-hendrik-scheffer-1845-5f2b9336.jpg
b"Quatre soldats de l'arm\xc3\xa9e en d\xc3\xa9route",b'Ary Scheffer',b'1826',,https://az334033.vo.msecnd.net/images-2/quatre-soldats-de-l-armee-en-deroute-ary-scheffer-1826-e41aa362.jpg
b'Portait de Madame Le Doyen',b'Louis Hersent',b'1825',,https://az334033.vo.msecnd.net/images-0/portait-de-madame-le-doyen-louis-hersent-1825-85c9401c.jpg
b'Portrait of Corn\xc3\xa9lie Renan-Scheffer',b'Ary Scheffer',b'1857',,https://az333959.vo.msecnd.net/images-1/portrait-of-cornelie-renan-scheffer-ary-scheffer-1857-e05837bf.jpg
b'Portrait pr\xc3\xa9sum\xc3\xa9 de Ary-Arnold Scheffer',b'Hendrik Scheffer',b'1840',,https://az333960.vo.msecnd.net/images-0/portrait-presume-de-ary-arnold-scheffer-hendrik-scheffer-1840-f11c9eaa.jpg
b'Paolo et Francesca',b'Pierre Claude Fran\xc3\xa7ois Delorme',b'1820',,https://az333959.vo.msecnd.net/images-9/paolo-et-francesca-pierre-claude-francois-delorme-1820-60e71530.jpg
b'Arrestation de Charlotte Corday',b'Hendrik Scheffer',b'1830',,https://az334034.vo.msecnd.net/images-3/arrestation-de-charlotte-corday-hendrik-scheffer-1830-4ce26d6c.jpg
b'Marguerite au Rouet',b'Ary Scheffer',b'1831',,https://az334033.vo.msecnd.net/images-3/marguerite-au-rouet-ary-scheffer-1831-52f0e048.jpg
b'Les orphelins',b'Ary Scheffer',b'1823',,https://az333959.vo.msecnd.net/images-0/les-orphelins-ary-scheffer-1823-334993f4.jpg
b'Marguerite au rouet',b'Ary Scheffer',b'1831',,https://az334034.vo.msecnd.net/images-7/marguerite-au-rouet-ary-scheffer-1831-1-f822789a.jpg
b'Chevalier conduisant son arm\xc3\xa9e',b'\xc3\x89douard Alexandre Odier',b'arm\xc3\xa9e',,https://az333959.vo.msecnd.net/images-3/chevalier-conduisant-son-armee-edouard-alexandre-odier-302aa13c.jpg
b'Portrait pr\xc3\xa9sum\xc3\xa9 de Mademoiselle Mars',b'Ary Scheffer',b'Mars',,https://az334033.vo.msecnd.net/images-7/portrait-presume-de-mademoiselle-mars-ary-scheffer-fe2c68bc.jpg
b'Portrait de la Reine Marie-Am\xc3\xa9lie en deuil',b'Ary Scheffer',b'1857',,https://az334033.vo.msecnd.net/images-0/portrait-de-la-reine-marie-amelie-en-deuil-ary-scheffer-1857-4584a4e9.jpg
b'Portrait of Ad\xc3\xa9la\xc3\xafde Rousseau-Scheffer',b'Hendrik Scheffer',b'1830',,https://az333960.vo.msecnd.net/images-0/portrait-of-adelaide-rousseau-scheffer-hendrik-scheffer-1830-91120d81.jpg
|b"Atelier d'Ary Scheffer, rue Chaptal"|,b'Ary Johannes Lamme',b'1851',,https://az333959.vo.msecnd.net/images-8/atelier-d-ary-scheffer-rue-chaptal-ary-johannes-lamme-1851-ea77f887.jpg
b'La pose du mod\xc3\xa8le',b'Achille Dev\xc3\xa9ria',b'1838',,https://az334033.vo.msecnd.net/images-0/la-pose-du-modele-achille-deveria-1838-f17aabe5.jpg
b'Portrait of George Sand',b'Auguste Charpentier',b'1838',,https://az334034.vo.msecnd.net/images-4/portrait-of-george-sand-auguste-charpentier-1838-31524a1d.jpg
