Title,Artist,Year,Country,Thumbnail
b'Dryad',b'Gabriel Guay',b'1876',,https://az334033.vo.msecnd.net/images-8/untitled-gabriel-guay-1876-2d6947e9.jpg
b'La Premi\xc3\xa8re Communion',b'Henri de Toulouse-Lautrec',b'1888',b'FR',https://az334033.vo.msecnd.net/images-3/untitled-henri-de-toulouse-lautrec-1888-1-b977daa2.jpg
b'Entry of Sultan Mehmed II in Constantinople',b'Jean-Joseph Benjamin-Constant',b'1876',,https://az334034.vo.msecnd.net/images-8/entry-of-sultan-mehmed-ii-in-constantinople-jean-joseph-benjamin-constant-1876-8dcb7bc2.jpg
b'Portrait of Fran\xc3\xa7ois Gauzi',b'Henri de Toulouse-Lautrec',b'1888',b'FR',https://az333959.vo.msecnd.net/images-6/untitled-henri-de-toulouse-lautrec-1888-b9374958.jpg
b'The Lust for gold',b'Thomas Couture',b'1895',b'FR',https://az334034.vo.msecnd.net/images-3/untitled-thomas-couture-1844-68e96fa6.jpg
b'Beauty',b'Henri-Jean Guillaume Martin',b'1900',,https://az333959.vo.msecnd.net/images-3/beauty-henri-jean-guillaume-martin-1900-a4a25520.jpg
b'Landscape',b'Jacques Fouquier',b'1625',,https://az333959.vo.msecnd.net/images-9/landscape-jacques-fouquier-1625-e99d44c6.jpg
b'Le Massage au Hamam',b'\xc3\x89douard Debat-Ponsan',b'1883',b'FR',https://az334034.vo.msecnd.net/images-0/the-massage-edouard-debat-ponsan-1883-b0607980.jpg
b'Jeune fille dans un parc',b'Berthe Morisot',b'1893',b'FR',https://az334033.vo.msecnd.net/images-2/untitled-berthe-morisot-1893-aeaadaed.jpg
b'The Death of Cleopatra',b'Jean-Andr\xc3\xa9 Rixens',b'1874',b'FR',https://az333960.vo.msecnd.net/images-3/the-death-of-cleopatra-jean-andre-rixens-1874-0d4baacd.jpg
b'The Education of Achilles by the Centaur Chiron',b'Jean-Baptiste Regnault',b'1798',,https://az334033.vo.msecnd.net/images-2/the-education-of-achilles-by-the-centaur-chiron-jean-baptiste-regnault-1798-779a72db.jpg
b'Madeleine dans le d\xc3\xa9sert',b'Jean-Jacques Henner',b'1874',,https://az333959.vo.msecnd.net/images-4/untitled-jean-jacques-henner-1874-04236b70.jpg
b'The Madness of Titania',b'Paul Gervais',b'1897',b'FR',https://az334034.vo.msecnd.net/images-1/the-madness-of-titania-paul-gervais-1897-035fb83a.jpg
b'Nativit\xc3\xa9',b'Maurice Denis',b'1894',b'FR',https://az333960.vo.msecnd.net/images-4/untitled-maurice-denis-1894-ffaf8b07.jpg
b"Mort de Caton d'Utique",b'Jean-Paul Laurens',b'1863',b'FR',https://az333960.vo.msecnd.net/images-5/untitled-jean-paul-laurens-1863-ed5b5779.jpg
|b"Anacr\xc3\xa9on, Bacchus et l'Amour"|,b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1848',b'FR',https://az334034.vo.msecnd.net/images-7/untitled-jean-leon-gerome-1848-7d6188f5.jpg
b'Apollon \xc3\xa9corchant Marsyas',b'Guido Reni',b'1625',b'IT',https://az333959.vo.msecnd.net/images-4/untitled-guido-reni-1620-c278cbfb.jpg
