Title,Artist,Year,Country,Thumbnail
b"Fireworks at Castel Sant' Angelo in Rome",b'L\xc3\xa9on Cogniet',b'Rome',b'FR',https://az333960.vo.msecnd.net/images-6/fireworks-at-castel-sant-angelo-in-rome-leon-cogniet-1c29e17f.jpg
b'Europa Stolen Away by Jupiter',b'Louis-Frederic Sch\xc3\xbctzenberger',b'1865',,https://az334033.vo.msecnd.net/images-7/europa-stolen-away-by-jupiter-louis-frederic-schutzenberger-1865-0a1ecb86.png
b'The Children of Bethel Mourned by their Mothers',b'Laurent de La Hyre',b'1653',,https://az333960.vo.msecnd.net/images-3/the-children-of-bethel-mourned-by-their-mothers-laurent-de-la-hyre-1653-353ca16c.jpg
b'Saint Paul et saint Barnab\xc3\xa9 \xc3\xa0 Lystre',b'Michel Corneille the Elder',b'1644',,https://az333960.vo.msecnd.net/images-1/saint-paul-et-saint-barnabe-a-lystre-michel-corneille-the-elder-1644-18b9da95.jpg
b'Le Centurion aux pieds du Christ',b'Louis de Boullogne',b'1685',,https://az333959.vo.msecnd.net/images-9/le-centurion-aux-pieds-du-christ-louis-de-boullogne-1685-d217a5fa.jpg
b'A Road Near Arras',b'Jean-Baptiste-Camille Corot',b'1842',b'FR',https://az333960.vo.msecnd.net/images-6/a-road-near-arras-camille-corot-1842-9b06ee4b.jpg
b'Polyhymnia the Muse of Lyric Poetry',b'Giovanni Baglione',b'1620',,https://az333960.vo.msecnd.net/images-8/polyhymnia-the-muse-of-lyric-poetry-giovanni-baglione-1620-dce9d7f2.jpg
b'Self-portrait as Aspasia',b'Marie Bouliard',b'1794',,https://az333959.vo.msecnd.net/images-7/self-portrait-as-aspasia-marie-bouliard-1794-83818817.jpg
b'Untitled',b'Giovanni Baglione',b'1620',,https://az333960.vo.msecnd.net/images-8/untitled-giovanni-baglione-1620-047fd445.jpg
b'Portrait of a Woman -',b'Nicolaes Maes',b'-',b'NL',https://az334034.vo.msecnd.net/images-1/portrait-of-a-woman-nicolaes-maes-e2d49264.jpg
b'Saint Pierre ressuscitant la veuve de Tabitha',b'Louis Testelin',b'Tabitha',,https://az334034.vo.msecnd.net/images-9/saint-pierre-ressuscitant-la-veuve-de-tabitha-louis-testelin-38cd5b1c.jpg
b'Le Christ dans la maison de Marthe et Marie',b'Claude Simpol',b'1704',,https://az333959.vo.msecnd.net/images-9/le-christ-dans-la-maison-de-marthe-et-marie-claude-simpol-1704-2b91724d.jpg
b'La Pr\xc3\xa9dication de saint Jean-Baptiste',b'Joseph Parrocel',b'1693',,https://az333960.vo.msecnd.net/images-1/la-predication-de-saint-jean-baptiste-joseph-parrocel-1693-0a27ffdc.jpg
