Title,Artist,Year,Country,Thumbnail
b'The Day of the Dead',b'William-Adolphe Bouguereau',b'1859',b'FR',https://az334033.vo.msecnd.net/images-2/the-day-of-the-dead-william-adolphe-bouguereau-1859-096962f5.jpg
b'La Chasse aux lions',b'Eug\xc3\xa8ne Delacroix',b'1855',b'FR',https://az333960.vo.msecnd.net/images-5/la-chasse-aux-lions-eugene-delacroix-1855-ee1026b6.jpg
b'Bacchant',b'William-Adolphe Bouguereau',b'1862',b'FR',https://az334033.vo.msecnd.net/images-5/bacchant-william-adolphe-bouguereau-1862-d666fdcf.jpg
b"Charles V Picking up Titian's Paintbrush",b'Pierre-Nolasque Bergeret',b'1808',,https://az333960.vo.msecnd.net/images-3/charles-v-picking-up-titian-s-paintbrush-pierre-nolasque-bergeret-1808-64827087.jpg
b'The Artist Painting a Family Portrait',b'Pierre Lacour',b'1798',b'FR',https://az333960.vo.msecnd.net/images-1/the-artist-painting-a-family-portrait-pierre-lacour-1798-dd95d19f.jpg
b"Portrait of Marie de' Medici",b'Anthony van Dyck',b'1631',b'NL',https://az333959.vo.msecnd.net/images-6/portrait-of-marie-de-medici-anthony-van-dyck-1631-b5c9e3f5.jpg
b'Phrosine and M\xc3\xa9lidore',b'\xc3\x89douard Joseph Dantan',b'1878',b'FR',https://az333959.vo.msecnd.net/images-5/phrosine-and-melidore-edouard-joseph-dantan-1878-d2666dec.jpg
b'Le Bain de Diane',b'Jean-Baptiste-Camille Corot',b'1855',b'FR',https://az334033.vo.msecnd.net/images-8/le-bain-de-diane-jean-baptiste-camille-corot-1855-f97bfe7d.jpg
b'Portrait of a Little Girl',b'Mary Cassatt',b'1879',b'US',https://az333960.vo.msecnd.net/images-2/portrait-of-a-little-girl-mary-cassatt-1879-aed558b2.jpg
b'Greece on the Ruins of Missolonghi',b'Eug\xc3\xa8ne Delacroix',b'1826',b'FR',https://az333959.vo.msecnd.net/images-3/greece-on-the-ruins-of-missolonghi-eugene-delacroix-1826-837897e0.jpg
b'Portrait of a Sitting Man Leafing Through a Book',b'Lavinia Fontana',b'1577',b'IT',https://az333959.vo.msecnd.net/images-2/portrait-of-a-sitting-man-leafing-through-a-book-lavinia-fontana-1577-c3b71b2a.jpg
b'The Miracle of Saint Justus',b'Peter Paul Rubens',b'1633',b'NL',https://az334034.vo.msecnd.net/images-3/the-miracle-of-saint-justus-peter-paul-rubens-1633-72059996.jpg
|b'Summer, Ceres'|,b'Jean-Fran\xc3\xa7ois Millet',b'1865',b'FR',https://az333959.vo.msecnd.net/images-3/summer-ceres-jean-francois-millet-1865-4ea34475.jpg
b'Eliezer and Rebecca',b'Giambattista Pittoni',b'1750',,https://az333960.vo.msecnd.net/images-7/eliezer-and-rebecca-giambattista-pittoni-1750-166229b8.jpg
b'The Pope and the Inquisitor',b'Jean-Paul Laurens',b'1882',b'FR',https://az334034.vo.msecnd.net/images-9/the-pope-and-the-inquisitor-jean-paul-laurens-1882-9561d105.jpg
b'The Little Milkwoman',b'Philip James de Loutherbourg',b'1771',,https://az333960.vo.msecnd.net/images-3/the-little-milkwoman-philip-james-de-loutherbourg-1771-e5128d53.jpg
b'Dana\xc3\xab',b'Carolus-Duran',b'1900',b'FR',https://az333959.vo.msecnd.net/images-9/danae-carolus-duran-1900-23de9ff3.jpg
b'The Cherry Eater',b'Philip James de Loutherbourg',b'1771',,https://az334033.vo.msecnd.net/images-7/the-cherry-eater-philip-james-de-loutherbourg-1771-25d682e8.jpg
b'View of the Temple of the Sybil in Tivoli',b'Paul Brill',b'1625',,https://az333960.vo.msecnd.net/images-9/view-of-the-temple-of-the-sybil-in-tivoli-paul-brill-1625-6c1ae380.jpg
