Title,Artist,Year,Country,Thumbnail
b'Marriage of the Virgin',b'Pietro Perugino',b'1501',b'IT',https://az333959.vo.msecnd.net/images-3/marriage-of-the-virgin-pietro-perugino-1501-71b6247c.jpg
b'Untitled',b'Cima da Conegliano',b'1517',,https://az333959.vo.msecnd.net/images-0/untitled-cima-da-conegliano-1517-cc1ba1f0.jpg
b'Landscape with Cottage',b'Jan van Goyen',b'1631',b'NL',https://az333960.vo.msecnd.net/images-8/landscape-with-cottage-jan-van-goyen-1631-81dead55.jpg
b'La femme aux bijoux',b'Gustave Courbet',b'1867',b'FR',https://az333960.vo.msecnd.net/images-9/la-femme-aux-bijoux-gustave-courbet-1867-9e2a5e44.jpg
b'Froimont Diptych',b'Anonymous',b'1464',,https://az334034.vo.msecnd.net/images-8/froimont-diptych-anonymous-1464-c454b9bd.jpg
b"Portrait d'une femme assise dans un paysage",b'Robert Lef\xc3\xa8vre',b'1803',,https://az334034.vo.msecnd.net/images-2/portrait-d-une-femme-assise-dans-un-paysage-robert-lefevre-1803-22b4e2e9.jpg
|b'Saint-Tropez, nu couch\xc3\xa9 dans un paysage'|,b'Henri Lebasque',b'1906',,https://az334034.vo.msecnd.net/images-1/saint-tropez-nu-couche-dans-un-paysage-henri-lebasque-1906-8f6d5472.jpg
b'Portrait of a young man',b'Claude Vignon',b'1615',,https://az334033.vo.msecnd.net/images-0/portrait-of-a-young-man-claude-vignon-1615-cfd14a31.jpg
b'Penitent Mary Magdalene',b'Johannes Moreelse',b'Magdalene',b'NL',https://az334033.vo.msecnd.net/images-7/penitent-mary-magdalene-johannes-moreelse-194da351.jpg
b'The Sea',b'Gustave Courbet',b'1871',b'FR',https://az333959.vo.msecnd.net/images-3/the-sea-gustave-courbet-1871-1d231b98.jpg
b'The Meeting between Abraham and Melchizedek',b'Peter Paul Rubens',b'1616',b'NL',https://az334033.vo.msecnd.net/images-1/the-meeting-between-abraham-and-melchizedek-peter-paul-rubens-1616-7cd01348.jpg
b'Venus Weeping for Adonis',b'Nicolas Poussin',b'1626',b'FR',https://az333960.vo.msecnd.net/images-6/venus-weeping-for-adonis-nicolas-poussin-1626-5035e192.jpg
b'Quentin Durward et le balafr\xc3\xa9',b'Eug\xc3\xa8ne Delacroix',b'1828',b'FR',https://az334033.vo.msecnd.net/images-6/quentin-durward-et-le-balafre-eugene-delacroix-1828-45ca09ab.jpg
b'Petits Patriotes',b'Philippe-Auguste Jeanron',b'1830',,https://az333959.vo.msecnd.net/images-9/petits-patriotes-philippe-auguste-jeanron-1830-0d11a119.jpg
b'Vanitas',b'Anonymous',b'1628',,https://az333959.vo.msecnd.net/images-9/vanitas-anonymous-1628-5531a5bd.jpg
b"L'offrande",b'Jean-Eug\xc3\xa8ne Buland',b'1885',,https://az333960.vo.msecnd.net/images-1/l-offrande-jean-eugene-buland-1885-1bab069b.jpg
b'Matelots sortant du port de Saint-Val\xc3\xa9ry',b'Eug\xc3\xa8ne Isabey',b'1867',b'FR',https://az333960.vo.msecnd.net/images-8/matelots-sortant-du-port-de-saint-valery-eugene-isabey-1867-01028ae4.jpg
|b'Portrait de lady Anne Clifford, comtesse Mahony'|,b'Pierre Subleyras',b'1740',,https://az333959.vo.msecnd.net/images-9/portrait-de-lady-anne-clifford-comtesse-mahony-pierre-subleyras-1740-41ced688.jpg
