Title,Artist,Year,Country,Thumbnail
b'Head of an Ox',b'Jan Asselijn',b'1647',b'NL',https://az333959.vo.msecnd.net/images-8/head-of-an-ox-jan-asselijn-1647-f4142be6.jpg
b'Landscape with Figures and Animals',b'Nicolaes Pieterszoon Berchem',b'1660',,https://az333959.vo.msecnd.net/images-2/landscape-with-figures-and-animals-nicolaes-pieterszoon-berchem-1660-f21e5a47.jpg
b"Cleopatra's arrival at Tarsus",b'Charles-Joseph Natoire',b'Tarsus',,https://az334034.vo.msecnd.net/images-4/cleopatra-s-arrival-at-tarsus-charles-joseph-natoire-86b3b7f3.jpg
b'The Serpent of Airain',b'Pierre Subleyras',b'1727',,https://az334034.vo.msecnd.net/images-0/the-serpent-of-airain-pierre-subleyras-1727-7b55b0d9.jpg
b'Saint Luke Paints the Virgin',b'Pieter Coecke van Aelst',b'1535',,https://az333960.vo.msecnd.net/images-1/saint-luke-paints-the-virgin-pieter-coecke-van-aelst-1535-2a546248.jpg
b'Untitled',b'Paul Delaroche',b'Untitled',b'FR',https://az333960.vo.msecnd.net/images-0/untitled-paul-delaroche-0bb48263.jpg
b'Storm',b'Jules Laurens',b'Storm',,https://az333960.vo.msecnd.net/images-0/storm-jules-laurens-17bde923.jpg
b'Repas de Cl\xc3\xa9op\xc3\xa2tre et de Marc-Antoine',b'Charles-Joseph Natoire',b'1754',,https://az333959.vo.msecnd.net/images-8/repas-de-cleopatre-et-de-marc-antoine-charles-joseph-natoire-1754-189ef066.jpg
b'La Moissonneuse endormie',b'Jean Fran\xc3\xa7ois de Troy',b'1728',,https://az334033.vo.msecnd.net/images-1/la-moissonneuse-endormie-jean-francois-de-troy-1728-7d2b4ed1.jpg
b'Sleeping Venus with Dancing Putti',b'Nicolaes Maes',b'1670',b'NL',https://az334034.vo.msecnd.net/images-0/sleeping-venus-with-dancing-putti-nicolaes-maes-1670-8fd4f0e0.jpg
b'Sc\xc3\xa8ne galante',b'Jacob Duck',b'1637',,https://az333959.vo.msecnd.net/images-6/scene-galante-jacob-duck-1637-b3c25201.jpg
