Title,Artist,Year,Country,Thumbnail
b'Head of a Woman',b'Eug\xc3\xa8ne Delacroix',b'1823',b'FR',https://az333960.vo.msecnd.net/images-2/head-of-a-woman-eugene-delacroix-1823-15922d2f.jpg
|b"eanne d'Arc \xc3\xa0 la sortie d'Orl\xc3\xa9ans, repoussant les Anglais"|,b'William Etty',b'1899',b'GB',https://az334033.vo.msecnd.net/images-8/untitled-william-etty-d73209e3.jpg
b'Saint Thomas',b'Diego Vel\xc3\xa1zquez',b'1618',b'ES',https://az334033.vo.msecnd.net/images-5/saint-thomas-diego-velazquez-1618-bba488c2.jpg
b'The Dovecote',b'Fran\xc3\xa7ois Boucher',b'1750',b'FR',https://az333959.vo.msecnd.net/images-6/the-dovecote-francois-boucher-1750-b0c552c5.jpg
b'The Fire',b'Alexandre Antigna',b'Fire',,https://az334033.vo.msecnd.net/images-2/the-fire-alexandre-antigna-c26ee5c5.jpg
b'Guillaume Apollinaire et sa muse',b'Max Jacob',b'1910',,https://az334033.vo.msecnd.net/images-3/guillaume-apollinaire-et-sa-muse-max-jacob-1910-ca4a6202.jpg
b'Portrait of Marie-Sylphide Cal\xc3\xa8s',b'Julie Philipault',b'1805',,https://az334034.vo.msecnd.net/images-2/portrait-of-marie-sylphide-cales-julie-philipault-1805-a1c2a6c1.jpg
b'The Triumph of St Ignatius',b'Claude Vignon',b'1628',,https://az333959.vo.msecnd.net/images-9/the-triumph-of-st-ignatius-claude-vignon-1628-104ec66e.jpg
b'Ariane in Naxos',b'Le Nain Brothers',b'1635',,https://az334033.vo.msecnd.net/images-0/ariane-in-naxos-le-nain-brothers-1635-c6888ad3.jpg
b'Scene of July 1830',b'L\xc3\xa9on Cogniet',b'1830',b'FR',https://az334033.vo.msecnd.net/images-8/scene-of-july-1830-leon-cogniet-1830-8b188677.jpg
b'The Sacrifice of Iphigenia',b'S\xc3\xa9bastien Bourdon',b'1653',,https://az334033.vo.msecnd.net/images-9/the-sacrifice-of-iphigenia-sebastien-bourdon-1653-3466a440.jpg
b'Belisarius Recognized by one of his Soldiers',b'Fran\xc3\xa7ois de Nom\xc3\xa9',b'1630',,https://az334034.vo.msecnd.net/images-3/belisarius-recognized-by-one-of-his-soldiers-francois-de-nome-1630-55e65cb6.jpg
b'The Holy Family with the Infant John the Baptist',b'Antonio da Correggio',b'1518',b'IT',https://az334034.vo.msecnd.net/images-9/untitled-antonio-da-correggio-1518-1-01fb3526.jpg
|b'Family Group as Cornelia, Mother of the Gracchi, Showing...'|,b'Jan van Bijlert',b'Showing...',,https://az333959.vo.msecnd.net/images-5/family-group-as-cornelia-mother-of-the-gracchi-showing-her-children-c-1635-jan-van-bijlert-fbb1b66b.jpg
b'Head of a Bearded Man in Profile',b'Anthony van Dyck',b'1616',b'NL',https://az333960.vo.msecnd.net/images-4/head-of-a-bearded-man-in-profile-anthony-van-dyck-1616-3157b5a6.jpg
b'Saint Louis de Gonzague',b'Eug\xc3\xa8ne Dev\xc3\xa9ria',b'1839',,https://az334033.vo.msecnd.net/images-4/saint-louis-de-gonzague-eugene-deveria-1839-f52c542e.jpg
b'Fredegund and Chilperic',b'Auguste Couder',b'1826',,https://az334034.vo.msecnd.net/images-8/fredegund-and-chilperic-auguste-couder-1826-b8d9061b.jpg
b'Two Savoyards with a monkey and a dog',b'Louis Joseph Toussaint Rossignon',b'1831',,https://az333960.vo.msecnd.net/images-7/two-savoyards-with-a-monkey-and-a-dog-louis-joseph-toussaint-rossignon-1831-cfd2d969.jpg
