Title,Artist,Year,Country,Thumbnail
b'deux femmes sur la passerelle d\xe2\x80\x99Asni\xc3\xa8res',b'\xc3\x89mile Bernard',b'd\xe2\x80\x99Asni\xc3\xa8res',b'FR',https://az333960.vo.msecnd.net/images-5/deux-femmes-sur-la-passerelle-d-asnieres-emile-bernard-55f49da2.jpg
b'Notre-Dame des Naufrag\xc3\xa9s',b'Gaston La Touche',b'Naufrag\xc3\xa9s',,https://az333960.vo.msecnd.net/images-7/notre-dame-des-naufrages-gaston-la-touche-ab9eb3fb.jpg
b'Ford in Bourg-de-Batz',b'John Lewis Brown',b'1850',,https://az333960.vo.msecnd.net/images-8/ford-in-bourg-de-batz-john-lewis-brown-1850-8d01da21.png
b'H\xc3\xa9rodiade',b'Henri Leopold Levy',b'1872',,https://az334033.vo.msecnd.net/images-0/herodiade-henri-leopold-levy-1872-deb578e2.jpg
b"Paysage de Ploumanac'h",b'Henri Le Fauconnier',b'1913',b'FR',https://az334034.vo.msecnd.net/images-7/paysage-de-ploumanac-h-henri-le-fauconnier-1913-31ef4b8e.jpg
b"Judith tenant la t\xc3\xaate d'Holopherne",b'Guercino',b'1651',b'IT',https://az334034.vo.msecnd.net/images-8/judith-tenant-la-tete-d-holopherne-guercino-1651-b2f24ce6.jpg
b'Jupiter et Io',b'Jean-Baptiste Regnault',b'Io',,https://az334034.vo.msecnd.net/images-8/jupiter-et-io-jean-baptiste-regnault-01dd969c.jpg
b"Jeune femme de l'\xc3\x8ele de Sein",b'Henri Royer',b'1906',,https://az333959.vo.msecnd.net/images-4/jeune-femme-de-l-ile-de-sein-henri-royer-1906-9b848451.jpg
b'La mort de Saint Louis',b'Anonymous',b'Louis',,https://az333960.vo.msecnd.net/images-5/la-mort-de-saint-louis-anonymous-9cf0a653.jpg
|b'Venice, Piazza San Marco'|,b'Canaletto',b'Marco',b'IT',https://az333960.vo.msecnd.net/images-7/venice-piazza-san-marco-canaletto-9dec47c1.jpg
b'Personnages dans un pr\xc3\xa9',b'Henri Gabriel Ibels',b'pr\xc3\xa9',,https://az333960.vo.msecnd.net/images-4/personnages-dans-un-pre-henri-gabriel-ibels-6f0b44fe.jpg
b'Sapho embrassant sa lyre',b'Jules-\xc3\x89lie Delaunay',b'1899',b'FR',https://az334034.vo.msecnd.net/images-4/sapho-embrassant-sa-lyre-jules-elie-delaunay-e8920285.jpg
b'Moulins \xc3\xa0 Pont-Aven (Le Poche-Menu) et Chaumi\xc3\xa8res en...',b'\xc3\x89mile Jourdan',b'en...',,https://az334034.vo.msecnd.net/images-6/moulins-a-pont-aven-le-poche-menu-et-chaumieres-en-cornouaille-au-verso-emile-jourdan-5fe721f4.jpg
|b'Constantinople, la mosqu\xc3\xa9e de Top-Kahn\xc3\xa9'|,b'Ivan Aivazovsky',b'1884',b'RU',https://az334033.vo.msecnd.net/images-2/constantinople-la-mosquee-de-top-kahne-ivan-aivazovsky-1884-f3c41447.jpg
b'Les danseurs albanais',b'Alexandre-Gabriel Decamps',b'1835',,https://az333960.vo.msecnd.net/images-8/les-danseurs-albanais-alexandre-gabriel-decamps-1835-7269471e.jpg
b'Le Christ apparaissant aux ap\xc3\xb4tres',b'Maurice Denis',b'1917',b'FR',https://az334034.vo.msecnd.net/images-0/le-christ-apparaissant-aux-apotres-maurice-denis-1917-9a20be27.jpg
b'Donation of the rosary',b'Onorio Marinari',b'1650',,https://az333960.vo.msecnd.net/images-7/donation-of-the-rosary-onorio-marinari-1650-374a16a0.jpg
b'Malon et les hortensias',b'Maurice Denis',b'1920',b'FR',https://az334033.vo.msecnd.net/images-5/malon-et-les-hortensias-maurice-denis-1920-c4abe3af.jpg
b'Bretonne de Pont-Aven',b'Henri Delavall\xc3\xa9e',b'1892',b'FR',https://az333959.vo.msecnd.net/images-7/bretonne-de-pont-aven-henri-delavallee-1892-83aeca5a.jpg
b'Les victimes de la mer',b'Charles Cottet',b'1906',,https://az333960.vo.msecnd.net/images-7/les-victimes-de-la-mer-charles-cottet-1906-c1d38d7e.jpg
b"L'oued \xc3\xa0 Biskra",b'Paul Leroy',b'Biskra',,https://az334033.vo.msecnd.net/images-3/l-oued-a-biskra-paul-leroy-eab7df07.jpg
b'Banc de rochers \xc3\xa0 Concarneau',b'L\xc3\xa9on Germain Pelouse',b'Concarneau',,https://az334033.vo.msecnd.net/images-9/banc-de-rochers-a-concarneau-leon-germain-pelouse-80ebb9cf.jpg
b'Le Christ aux Outrages',b'Jacopo Bassano',b'Outrages',b'IT',https://az334034.vo.msecnd.net/images-4/le-christ-aux-outrages-jacopo-bassano-af86fcfb.jpg
b'Pauvre p\xc3\xaacheur de Concarneau',b'Achille Granchi-Taylor',b'Concarneau',,https://az333959.vo.msecnd.net/images-7/pauvre-pecheur-de-concarneau-achille-granchi-taylor-769c4870.jpg
b'H\xc3\xa9ro et L\xc3\xa9andre',b'Pierre Claude Fran\xc3\xa7ois Delorme',b'L\xc3\xa9andre',,https://az334033.vo.msecnd.net/images-8/hero-et-leandre-pierre-claude-francois-delorme-31c7d47a.jpg
b'Au pays de la mer',b'Charles Cottet',b'1898',,https://az333960.vo.msecnd.net/images-7/au-pays-de-la-mer-charles-cottet-1898-e78f601f.jpg
b'Parc sous la lune',b"Roderic O'Conor",b'lune',b'IE',https://az333960.vo.msecnd.net/images-4/parc-sous-la-lune-roderic-o-conor-25c90287.jpg
|b"Portrait du peintre Rub\xc3\xa9, d\xc3\xa9corateur de l'Op\xc3\xa9ra"|,b'Paul Mathey',b'1900',,https://az333960.vo.msecnd.net/images-9/portrait-du-peintre-rube-decorateur-de-l-opera-paul-mathey-1900-03d188dc.jpg
b'The Apotheosis of Saint Louis',b'Charles-Joseph Natoire',b'1756',,https://az333960.vo.msecnd.net/images-2/the-apotheosis-of-saint-louis-charles-joseph-natoire-1756-c1b0ed00.jpg
b'La mort de Chramm',b'\xc3\x89variste Vital Luminais',b'1879',,https://az333960.vo.msecnd.net/images-6/la-mort-de-chramm-evariste-vital-luminais-1879-47d31da2.jpg
b'Le jugement de Salomon',b'Johann Conrad Seekatz',b'1760',,https://az334033.vo.msecnd.net/images-3/le-jugement-de-salomon-johann-conrad-seekatz-1760-0fe13bdf.jpg
b'Les amours des anges au moment du d\xc3\xa9luge',b'\xc3\x89douard Cibot',b'1834',,https://az333960.vo.msecnd.net/images-8/les-amours-des-anges-au-moment-du-deluge-edouard-cibot-1834-0df34dac.jpg
b'La mort de Marc Antoine',b'Pompeo Batoni',b'1763',,https://az334034.vo.msecnd.net/images-2/la-mort-de-marc-antoine-pompeo-batoni-1763-1c76cbbf.png
|b'Les filets, rayon du soir, Camaret'|,b'Charles Cottet',b'Camaret',,https://az333959.vo.msecnd.net/images-1/les-filets-rayon-du-soir-camaret-charles-cottet-e15c65ad.jpg
|b'Concarneau, le retour des p\xc3\xaacheurs'|,b'Achille Granchi-Taylor',b'1850',,https://az334033.vo.msecnd.net/images-6/concarneau-le-retour-des-pecheurs-achille-granchi-taylor-1850-d6e16cf9.jpg
