Title,Artist,Year,Country,Thumbnail
b'Saint Roch Interceding with the Virgin for the Plague...',b'Jacques-Louis David',b'1780',b'FR',https://az333960.vo.msecnd.net/images-1/saint-roch-interceding-with-the-virgin-for-the-plague-stricken-jacques-louis-david-1780-ba864949.jpg
b'A Storm',b'Claude-Joseph Vernet',b'Storm',b'FR',https://az334034.vo.msecnd.net/images-8/a-storm-claude-joseph-vernet-f88fc78e.jpg
b'Italian Garden',b'Hubert Robert',b'1764',b'FR',https://az333959.vo.msecnd.net/images-4/italian-garden-hubert-robert-1764-8898e2a3.jpg
b'Adoration des bergers',b'Peter Paul Rubens',b'1619',b'NL',https://az333959.vo.msecnd.net/images-5/adoration-des-bergers-peter-paul-rubens-1619-2a776a82.jpg
|b'Venice, the Bucentaure'|,b'F\xc3\xa9lix Ziem',b'Bucentaure',,https://az334034.vo.msecnd.net/images-9/venice-the-bucentaure-felix-ziem-f10487f1.jpg
b'Embarkation of the expeditionary corps of Menorca at the...',b'Jean-Joseph Kapeller',b'1756',,https://az333960.vo.msecnd.net/images-2/embarkation-of-the-expeditionary-corps-of-menorca-at-the-port-of-marseille-under-the-orders-of-marshal-of-richelieu-jean-joseph-kapeller-1756-8b7abd14.jpg
b'Le r\xc3\xaave',b'Charles Joshua Chaplin',b'1857',,https://az334033.vo.msecnd.net/images-5/le-reve-charles-joshua-chaplin-1857-4af56231.jpg
b'Cleopatra',b'F\xc3\xa9lix Ziem',b'Cleopatra',,https://az334034.vo.msecnd.net/images-0/cleopatra-felix-ziem-b4f0ced2.jpg
b'Fantasia at the banks of the Bosphorus',b'F\xc3\xa9lix Ziem',b'1874',,https://az333960.vo.msecnd.net/images-5/fantasia-at-the-banks-of-the-bosphorus-felix-ziem-1874-587f3d10.jpg
|b'Head of a Roman Way in Bithynia, Amasra'|,b'Jules Laurens',b'Amasra',,https://az333960.vo.msecnd.net/images-8/head-of-a-roman-way-in-bithynia-amasra-jules-laurens-1bb70b8f.jpg
b'Portrait of the Duchess of Orleans',b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'Orleans',b'FR',https://az333959.vo.msecnd.net/images-5/portrait-of-the-duchess-of-orleans-louise-elisabeth-vigee-le-brun-304ea821.jpg
b'King David',b'Matthias Stom',b'1635',b'NL',https://az334034.vo.msecnd.net/images-8/king-david-matthias-stom-1635-cf083413.jpg
b'View Taken in Riva',b'Jean-Baptiste-Camille Corot',b'1850',b'FR',https://az333959.vo.msecnd.net/images-2/view-taken-in-riva-camille-corot-1850-e3cdde66.jpg
b'Harbor Quay in Marseille',b'F\xc3\xa9lix Ziem',b'1858',,https://az333960.vo.msecnd.net/images-0/harbor-quay-in-marseille-felix-ziem-1858-2ae40ded.jpg
b'Combat naval',b'Jean-Joseph Kapeller',b'1750',,https://az333959.vo.msecnd.net/images-1/combat-naval-jean-joseph-kapeller-1750-1e85d084.jpg
b'La Chasse au sanglier',b'Peter Paul Rubens',b'1615',b'NL',https://az334034.vo.msecnd.net/images-1/la-chasse-au-sanglier-peter-paul-rubens-1615-db2ff266.jpg
b'Les hautes plaines',b'Narcisse Virgilio D\xc3\xadaz',b'1862',b'FR',https://az333960.vo.msecnd.net/images-3/les-hautes-plaines-narcisse-virgilio-diaz-1862-801bd157.jpg
b'Alexandre et Porus',b'Charles-Andr\xc3\xa9 van Loo',b'Porus',,https://az333960.vo.msecnd.net/images-0/alexandre-et-porus-charles-andre-van-loo-2671fe1e.jpg
