Title,Artist,Year,Country,Thumbnail
b'Flora and Zephyr',b'William-Adolphe Bouguereau',b'1875',b'FR',https://az334034.vo.msecnd.net/images-7/untitled-william-adolphe-bouguereau-1875-b775e774.jpg
b'Gifts from a Pasha',b'Jean-Joseph Benjamin-Constant',b'Pasha',,https://az333959.vo.msecnd.net/images-1/gifts-from-a-pasha-jean-joseph-benjamin-constant-b83a5c92.jpg
b'Woman on a black Divan',b'Jean-Jacques Henner',b'1865',,https://az334033.vo.msecnd.net/images-5/woman-on-a-black-divan-jean-jacques-henner-1865-4aae7ba2.jpg
b'Samson d\xc3\xa9chirant ses liens',b'Pierre-Paul-L\xc3\xa9on Glaize',b'liens',,https://az334034.vo.msecnd.net/images-2/samson-dechirant-ses-liens-pierre-paul-leon-glaize-8b2156a8.jpg
b'Portrait of Mrs Daniel Dollfus-Koechlin',b'Jean-Jacques Henner',b'1870',,https://az333960.vo.msecnd.net/images-5/portrait-of-mrs-daniel-dollfus-koechlin-jean-jacques-henner-1870-0a0d28e5.jpg
|b'\xc3\x80 la France, toujours'|,b'Jean Benner',b'1906',b'FR',https://az334033.vo.msecnd.net/images-8/a-la-france-toujours-jean-benner-1906-0f828f53.jpg
b'Marine',b'Eug\xc3\xa8ne Isabey',b'Marine',b'FR',https://az334034.vo.msecnd.net/images-7/marine-eugene-isabey-faaace1b.jpg
b'Untitled',b'Jean-Jacques Henner',b'Untitled',,https://az334033.vo.msecnd.net/images-5/untitled-jean-jacques-henner-2-9b8be630.jpg
b'Entrance of a Forest',b'Jacob van Ruisdael',b'1660',b'NL',https://az334033.vo.msecnd.net/images-8/entrance-of-a-forest-jacob-van-ruisdael-1660-72ebeba6.jpg
b'The Bather',b'Charles Joshua Chaplin',b'Bather',,https://az334033.vo.msecnd.net/images-4/the-bather-charles-joshua-chaplin-cba81f3e.jpg
b'Plage de Deauville',b'Eug\xc3\xa8ne Boudin',b'1893',b'FR',https://az333959.vo.msecnd.net/images-8/plage-de-deauville-eugene-boudin-1893-297a6fa0.jpg
b'Venus and Cupid',b'Francesco Francia',b'Cupid',,https://az333959.vo.msecnd.net/images-6/venus-and-cupid-francesco-francia-0b334968.jpg
b'Ice Skaters',b'Pieter Breughel the Younger',b'1613',,https://az334033.vo.msecnd.net/images-3/ice-skaters-pieter-breughel-the-younger-1613-6ab4104f.jpg
b'Temptation of Saint Anthony',b'Sebastiano Ricci',b'Anthony',b'IT',https://az334033.vo.msecnd.net/images-3/temptation-of-saint-anthony-sebastiano-ricci-654249fd.jpg
b'Marine',b'Eug\xc3\xa8ne Isabey',b'Marine',b'FR',https://az333959.vo.msecnd.net/images-0/marine-eugene-isabey-1-78631bcc.jpg
b'Kitchen Interior',b'Hendrik Martenszoon Sorgh',b'Interior',,https://az334034.vo.msecnd.net/images-9/kitchen-interior-hendrik-martenszoon-sorgh-89184e05.jpg
b'Untitled',b'Fran\xc3\xa7ois Bonvin',b'1886',,https://az333960.vo.msecnd.net/images-8/untitled-francois-bonvin-1886-1ff74351.jpg
b'Still Life with Birds',b'Peter Binoit',b'1622',,https://az333959.vo.msecnd.net/images-6/still-life-with-birds-peter-binoit-1622-1a1dd013.jpg
