Title,Artist,Year,Country,Thumbnail
b'A Cotton Office in New Orleans',b'Edgar Degas',b'1873',b'FR',https://az333959.vo.msecnd.net/images-5/a-cotton-office-in-new-orleans-edgar-degas-1873-441c6efc.jpg
b"Musulmanes au cimeti\xc3\xa8re d'El Kettar",b'Andr\xc3\xa9 Sur\xc3\xa9da',b'1905',,https://az334033.vo.msecnd.net/images-6/musulmanes-au-cimetiere-d-el-kettar-andre-sureda-1905-56b111bf.jpg
b'Pasie cousant dans le jardin de Bougival',b'Berthe Morisot',b'1881',b'FR',https://az333960.vo.msecnd.net/images-4/pasie-cousant-dans-le-jardin-de-bougival-berthe-morisot-1881-45825de9.jpg
b'Saint Pierre pleurant son reniement',b'Guido Reni',b'1650',b'IT',https://az334033.vo.msecnd.net/images-2/saint-pierre-pleurant-son-reniement-guido-reni-1650-49497e7c.jpg
b'Wedding in Laruns',b'Louis Antoine Capdevielle',b'1881',,https://az333960.vo.msecnd.net/images-1/wedding-in-laruns-louis-antoine-capdevielle-1881-c66538d2.jpg
b"La Naissance d'Henri IV",b'Eug\xc3\xa8ne Dev\xc3\xa9ria',b'1830',,https://az334034.vo.msecnd.net/images-7/la-naissance-d-henri-iv-eugene-deveria-1830-a7953a4a.jpg
b'Saint J\xc3\xa9r\xc3\xb4me',b'Jusepe de Ribera',b'1633',b'ES',https://az333960.vo.msecnd.net/images-2/saint-jerome-jusepe-de-ribera-1633-c560f353.jpg
b'H\xc3\xa9b\xc3\xa9',b'Jacob Jordaens',b'1655',,https://az333960.vo.msecnd.net/images-2/hebe-jacob-jordaens-1655-b1e5bef7.jpg
b'Campement arabe',b'Charles Dufresne',b'1920',,https://az333960.vo.msecnd.net/images-9/campement-arabe-charles-dufresne-1920-cb65d98b.jpg
b'St Fran\xc3\xa7ois recevant les stigmates',b'El Greco',b'1595',b'GR',https://az333960.vo.msecnd.net/images-5/untitled-el-greco-39-4f0f0e1a.jpg
b'Convent Interior in Rome',b'Fran\xc3\xa7ois Marius Granet',b'1825',,https://az334034.vo.msecnd.net/images-5/convent-interior-in-rome-francois-marius-granet-1825-26243a26.jpg
b'Atelier de repasseuses \xc3\xa0 Trouville',b'Louis-Joseph Anthonissen',b'1888',,https://az333960.vo.msecnd.net/images-5/atelier-de-repasseuses-a-trouville-louis-joseph-anthonissen-1888-ff7f7d68.jpg
b'Sur la route du Castillo \xc3\xa0 Pasajes',b'Gustave Colin',b'1902',,https://az333960.vo.msecnd.net/images-1/sur-la-route-du-castillo-a-pasajes-gustave-colin-1902-d2e46519.jpg
|b'Portrait de Charles Jean Bernadotte, roi de Su\xc3\xa8de'|,b'Carl Vilhelm Nordgren',b'Su\xc3\xa8de',,https://az333960.vo.msecnd.net/images-6/portrait-de-charles-jean-bernadotte-roi-de-suede-carl-vilhelm-nordgren-a719ba42.jpg
b'Madame Maurice Pascal et son chien Tiny',b'L\xc3\xa9on Bonnat',b'1905',b'FR',https://az333959.vo.msecnd.net/images-7/madame-maurice-pascal-et-son-chien-tiny-leon-bonnat-1905-009bd1b4.jpg
