Title,Artist,Year,Country,Thumbnail
b'Peasants from Flagey back from the Fair',b'Gustave Courbet',b'1850',b'FR',https://az333959.vo.msecnd.net/images-5/peasants-from-flagey-back-from-the-fair-gustave-courbet-1850-0f428344.jpg
b'Chinese Garden',b'Fran\xc3\xa7ois Boucher',b'1742',b'FR',https://az334034.vo.msecnd.net/images-1/chinese-garden-francois-boucher-174-59f05d02.jpg
b'Murder in the Serail',b'Fernand Cormon',b'1874',,https://az334034.vo.msecnd.net/images-3/murder-in-the-serail-fernand-cormon-1874-2454bd0a.jpg
b'Portrait of Jean-Baptiste Desd\xc3\xa9ban',b'Jean-Auguste-Dominique Ingres',b'1810',b'FR',https://az333959.vo.msecnd.net/images-3/portrait-of-jean-baptiste-desdeban-jean-auguste-dominique-ingres-1810-99c4d6bb.jpg
b'The Triumph of Venus',b'Jean-Honor\xc3\xa9 Fragonard',b'1765',b'FR',https://az334034.vo.msecnd.net/images-6/the-triumph-of-venus-jean-honore-fragonard-1765-85b4ca11.png
b'Young Women in a Basin',b'Paul Delaroche',b'1845',b'FR',https://az333959.vo.msecnd.net/images-4/young-women-in-a-basin-paul-delaroche-1845-b4c3444d.jpg
b'Saint Mary Magdalene in Penance',b'Elisabetta Sirani',b'1663',,https://az333960.vo.msecnd.net/images-5/saint-mary-magdalene-in-penance-elisabetta-sirani-1663-e353fb4d.jpg
b'Untitled',b'Fran\xc3\xa7ois Boucher',b'1742',b'FR',https://az333959.vo.msecnd.net/images-1/untitled-francois-boucher-1742-bb7cf9f7.jpg
b'Untitled',b'Th\xc3\xa9odore G\xc3\xa9ricault',b'1819',b'FR',https://az333959.vo.msecnd.net/images-8/untitled-theodore-gericault-1819-b13d67d8.jpg
b'Deposition of Christ',b'Agnolo Bronzino',b'1540',b'IT',https://az333959.vo.msecnd.net/images-0/deposition-of-christ-bronzino-1540-9d7f0e3b.jpg
b'Chinese Dance',b'Fran\xc3\xa7ois Boucher',b'1742',b'FR',https://az333960.vo.msecnd.net/images-6/chinese-dance-francois-boucher-1742-f6d733a4.jpg
|b'Corn\xc3\xa9lie, m\xc3\xa8re des Gracques'|,b'Joseph-Beno\xc3\xaet Suv\xc3\xa9e',b'1796',,https://az334034.vo.msecnd.net/images-3/untitled-joseph-benoit-suvee-1796-fae8ef15.jpg
b'The Repentance of Saint Peter',b'Johannes Moreelse',b'1630',b'NL',https://az333959.vo.msecnd.net/images-0/the-repentance-of-saint-peter-johannes-moreelse-1630-6874a318.jpg
b'Portrait of a Young Gentleman',b'Tintoretto',b'1550',,https://az334034.vo.msecnd.net/images-5/portrait-of-a-young-gentleman-tintoretto-1550-50830b37.jpg
b'The Garden of Eden and the Creation of Eve',b'Jan Brueghel the Younger',b'1630',b'BE',https://az333960.vo.msecnd.net/images-4/the-garden-of-eden-and-the-creation-of-eve-jan-brueghel-the-younger-1630-3547204d.jpg
b'The Two Friends',b'Albert Marquet',b'1912',,https://az334034.vo.msecnd.net/images-2/the-two-friends-albert-marquet-7f95c4cd.jpg
b'Chinese Fishing',b'Fran\xc3\xa7ois Boucher',b'1742',b'FR',https://az333959.vo.msecnd.net/images-7/chinese-fishing-francois-boucher-1742-07650e7f.jpg
b'Hell',b'Mons\xc3\xb9 Desiderio',b'1622',,https://az333960.vo.msecnd.net/images-1/hell-monsu-desiderio-1622-9ec2b9e4.jpg
b'Eve',b'Lucas Cranach the Elder',b'1500',b'DE',https://az334033.vo.msecnd.net/images-7/eve-lucas-cranach-the-elder-1500-637ce9bb.jpg
b"Portrait study of an old man's head",b'Anthony van Dyck',b'1639',b'NL',https://az333959.vo.msecnd.net/images-0/portrait-study-of-an-old-man-s-head-anthony-van-dyck-1639-4c5cb770.jpg
b'La Vierge en pri\xc3\xa8re',b'Jean Fran\xc3\xa7ois de Troy',b'pri\xc3\xa8re',,https://az334033.vo.msecnd.net/images-2/la-vierge-en-priere-jean-francois-de-troy-15341068.jpg
b'Le Pont de Grenelle',b'Albert Marquet',b'1922',,https://az333959.vo.msecnd.net/images-3/le-pont-de-grenelle-albert-marquet-1922-ad337f0e.jpg
b'The Old Port of Marseille',b'Albert Marquet',b'1917',,https://az333960.vo.msecnd.net/images-2/the-old-port-of-marseille-albert-marquet-1917-9758f8a5.jpg
b'Adam',b'Lucas Cranach the Elder',b'1500',b'DE',https://az334034.vo.msecnd.net/images-7/adam-lucas-cranach-the-elder-1500-0b015115.jpg
b'Les Enfers',b'Fran\xc3\xa7ois de Nom\xc3\xa9',b'1622',,https://az333959.vo.msecnd.net/images-7/les-enfers-francois-de-nome-1622-7d8db8a0.jpg
b'Parisian suburb',b'Albert Marquet',b'1897',,https://az333959.vo.msecnd.net/images-2/parisian-suburb-albert-marquet-1897-07c58b11.jpg
b'Le Port de Naples',b'Albert Marquet',b'1909',,https://az333959.vo.msecnd.net/images-3/le-port-de-naples-albert-marquet-1909-fc76e9d7.jpg
