Title,Artist,Year,Country,Thumbnail
b'Reciprocal Accords',b'Wassily Kandinsky',b'1942',b'RU',https://az334034.vo.msecnd.net/images-9/reciprocal-accords-vasily-kandinsky-1942-a06fec45.jpg
b'Baigneuse assise sur un rocher',b'F\xc3\xa9lix Vallotton',b'1910',b'CH',https://az333959.vo.msecnd.net/images-0/baigneuse-assise-sur-un-rocher-felix-vallotton-1910-fc856dac.png
b'La Verseuse',b'Robert Delaunay',b'1916',b'FR',https://az333960.vo.msecnd.net/images-6/la-verseuse-robert-delaunay-1916-5f3b05bf.jpg
b'Leichtes',b'Wassily Kandinsky',b'1930',b'RU',https://az334034.vo.msecnd.net/images-4/leichtes-vasily-kandinsky-1930-21e6659f.jpg
|b'Tunis, Street'|,b'Wassily Kandinsky',b'1905',b'RU',https://az333959.vo.msecnd.net/images-4/tunis-street-vasily-kandinsky-1905-d346fb2c.jpg
b'Portrait de D\xc3\xa9die',b'Amedeo Modigliani',b'1918',b'IT',https://az333960.vo.msecnd.net/images-5/portrait-de-dedie-amedeo-modigliani-1918-b2319fff.jpg
b'Pink Compensation',b'Wassily Kandinsky',b'1933',b'RU',https://az333960.vo.msecnd.net/images-2/pink-compensation-vasily-kandinsky-1933-3a4eb461.jpg
b'Composition II ; Composition 2 avec rouge et bleu',b'Piet Mondrian',b'1937',b'NL',https://az334033.vo.msecnd.net/images-9/composition-ii-composition-2-avec-rouge-et-bleu-piet-mondrian-1937-3591de19.jpg
b'Circle and Square',b'Wassily Kandinsky',b'1943',b'RU',https://az333960.vo.msecnd.net/images-5/circle-and-square-vasily-kandinsky-1943-9c3a3482.jpg
b'To Nina for Christmas',b'Wassily Kandinsky',b'1926',b'RU',https://az333960.vo.msecnd.net/images-2/to-nina-for-christmas-vasily-kandinsky-1926-95299781.jpg
b'The Banks of the River',b'Albert Marquet',b'River',,https://az334034.vo.msecnd.net/images-0/the-banks-of-the-river-albert-marquet-0edd9d6b.jpg
b'La Lampe \xc3\xa9lectrique',b'Juan Gris',b'1925',b'ES',https://az334034.vo.msecnd.net/images-0/la-lampe-electrique-juan-gris-1925-38ef856a.jpg
b'Black square',b'Kazimir Malevich',b'1923',b'RU',https://az333960.vo.msecnd.net/images-4/black-square-kazimir-malevich-1923-d63fa87a.jpg
b"Matisse in Manguin's Studio",b'Albert Marquet',b'1905',,https://az333959.vo.msecnd.net/images-4/matisse-in-manguin-s-studio-albert-marquet-1905-b149cd08.jpg
b'On the Points',b'Wassily Kandinsky',b'1928',b'RU',https://az334034.vo.msecnd.net/images-6/on-the-points-vasily-kandinsky-1928-1628d286.jpg
b'Contrasting Sounds',b'Wassily Kandinsky',b'1924',b'RU',https://az333960.vo.msecnd.net/images-4/contrasting-sounds-vasily-kandinsky-1924-a8202b9c.jpg
b'Nature morte sur une chaise',b'Juan Gris',b'chaise',b'ES',https://az334034.vo.msecnd.net/images-1/nature-morte-sur-une-chaise-juan-gris-3b76d1d8.jpg
b'Impression V',b'Wassily Kandinsky',b'1911',b'RU',https://az334034.vo.msecnd.net/images-2/impression-v-vasily-kandinsky-1911-2aaa90a7.jpg
b'The Towers of Laon',b'Robert Delaunay',b'1912',b'FR',https://az333960.vo.msecnd.net/images-2/the-towers-of-laon-robert-delaunay-1912-f77e6e2e.jpg
b'Portrait of Henri Carlier',b'Robert Delaunay',b'1906',b'FR',https://az334033.vo.msecnd.net/images-3/portrait-of-henri-carlier-robert-delaunay-1906-8e63fe15.jpg
b'Picture with a Horserider',b'Wassily Kandinsky',b'1912',b'RU',https://az333959.vo.msecnd.net/images-9/picture-with-a-horserider-vasily-kandinsky-1912-440023bf.jpg
b'Portrait of Guillaume Apollinaire',b'Robert Delaunay',b'1911',b'FR',https://az334034.vo.msecnd.net/images-0/portrait-of-guillaume-apollinaire-robert-delaunay-1911-1f1e5810.jpg
|b'Kochel, Old Kesselbergstrasse'|,b'Wassily Kandinsky',b'1902',b'RU',https://az334033.vo.msecnd.net/images-3/kochel-old-kesselbergstrasse-vasily-kandinsky-1902-2a6a66b5.jpg
b'The Road to Laon',b'Robert Delaunay',b'1912',b'FR',https://az334033.vo.msecnd.net/images-0/the-road-to-laon-robert-delaunay-1912-4de32641.jpg
b'The Red Little Circle',b'Wassily Kandinsky',b'1944',b'RU',https://az334033.vo.msecnd.net/images-4/the-red-little-circle-vasily-kandinsky-1944-614d01ed.jpg
b'Rhythmisches',b'Paul Klee',b'1930',b'CH',https://az334034.vo.msecnd.net/images-1/rhythmisches-paul-klee-1930-9e180e36.jpg
b'Untitled',b'Wassily Kandinsky',b'1913',b'RU',https://az334034.vo.msecnd.net/images-1/untitled-vasily-kandinsky-1913-004a3cf1.jpg
b'La femme blonde',b'Albert Marquet',b'1919',,https://az333959.vo.msecnd.net/images-6/la-femme-blonde-albert-marquet-1919-05c87b1f.jpg
b'Le Quai des Grands Augustins',b'Albert Marquet',b'1905',,https://az333959.vo.msecnd.net/images-3/le-quai-des-grands-augustins-albert-marquet-1905-1a677d30.jpg
b'Shapes in Tension',b'Wassily Kandinsky',b'1936',b'RU',https://az333960.vo.msecnd.net/images-7/shapes-in-tension-vasily-kandinsky-1936-72800194.jpg
b'La plage de F\xc3\xa9camp',b'Albert Marquet',b'1906',,https://az334034.vo.msecnd.net/images-4/la-plage-de-fecamp-albert-marquet-1906-15f15460.jpg
b'Le Bassin du Roy au Havre',b'Albert Marquet',b'1906',,https://az333960.vo.msecnd.net/images-9/le-bassin-du-roy-au-havre-albert-marquet-1906-2581af26.jpg
|b'Akhtyrka, Landscape with Red Church'|,b'Wassily Kandinsky',b'1917',b'RU',https://az334033.vo.msecnd.net/images-5/akhtyrka-landscape-with-red-church-vasily-kandinsky-1917-67b5146b.jpg
b'Untitled',b'Wassily Kandinsky',b'1944',b'RU',https://az333960.vo.msecnd.net/images-9/untitled-vasily-kandinsky-1944-2bb2c0c0.jpg
b'Picture with Pince-nez',b'Wassily Kandinsky',b'1912',b'RU',https://az333959.vo.msecnd.net/images-1/picture-with-pince-nez-vasily-kandinsky-1912-67ac5155.jpg
b'Conglomerate',b'Wassily Kandinsky',b'1943',b'RU',https://az334033.vo.msecnd.net/images-4/conglomerate-vasily-kandinsky-1943-489274b8.jpg
b'The Running Man',b'Kazimir Malevich',b'1932',b'RU',https://az333959.vo.msecnd.net/images-4/the-running-man-kazimir-malevich-1932-c850c1ca.jpg
b"L'\xc3\xa9l\xc3\xa8ve au chevalet",b'Georges Kars',b'1938',,https://az334034.vo.msecnd.net/images-6/l-eleve-au-chevalet-georges-kars-1938-c290a588.jpg
b'Parc de Saint-Cloud',b'Wassily Kandinsky',b'1906',b'RU',https://az333960.vo.msecnd.net/images-1/parc-de-saint-cloud-vasily-kandinsky-1906-10d21cdf.jpg
b'Nus dans un paysage',b'Roger de La Fresnaye',b'1910',,https://az333959.vo.msecnd.net/images-0/nus-dans-un-paysage-roger-de-la-fresnaye-1910-32f72999.jpg
b'The white horse',b'Kazimir Malevich',b'1930',b'RU',https://az333959.vo.msecnd.net/images-5/the-white-horse-kazimir-malevich-1930-92d2d615.jpg
b'Swan Island',b'Albert Marquet',b'Island',,https://az333960.vo.msecnd.net/images-4/swan-island-albert-marquet-bfc8396f.jpg
b'The Pont Saint-Michel and the Quai des Grands Augustins',b'Albert Marquet',b'1912',,https://az333960.vo.msecnd.net/images-4/the-pont-saint-michel-and-the-quai-des-grands-augustins-albert-marquet-1912-66fb380d.jpg
|b'Akhtyrka, Framework for a Pile of Hay and Farm'|,b'Wassily Kandinsky',b'1917',b'RU',https://az334033.vo.msecnd.net/images-5/akhtyrka-framework-for-a-pile-of-hay-and-farm-vasily-kandinsky-1917-2c63aed4.jpg
b'Nu devant la chemin\xc3\xa9e',b'Pierre Bonnard',b'1919',b'FR',https://az334033.vo.msecnd.net/images-9/nu-devant-la-cheminee-pierre-bonnard-1919-b04ac0b3.jpg
b'The Banks of the Y\xc3\xa8vre',b'Robert Delaunay',b'1903',b'FR',https://az333960.vo.msecnd.net/images-2/the-banks-of-the-yevre-robert-delaunay-1903-e59e7b4e.jpg
|b'Akhtyrka, Pond in the Park'|,b'Wassily Kandinsky',b'1917',b'RU',https://az333959.vo.msecnd.net/images-3/akhtyrka-pond-in-the-park-vasily-kandinsky-1917-0efb7715.jpg
|b'Rapallo, Stormy Sea'|,b'Wassily Kandinsky',b'1906',b'RU',https://az333960.vo.msecnd.net/images-9/rapallo-stormy-sea-vasily-kandinsky-1906-04740c86.jpg
|b'Kochel, Lake and Herzogstand'|,b'Wassily Kandinsky',b'1902',b'RU',https://az333959.vo.msecnd.net/images-0/kochel-lake-and-herzogstand-vasily-kandinsky-1902-30e4a297.jpg
b'Market in Brittany',b'Robert Delaunay',b'1905',b'FR',https://az333960.vo.msecnd.net/images-6/market-in-brittany-robert-delaunay-1905-bb0f96d0.jpg
b'Improvisation 14',b'Wassily Kandinsky',b'1910',b'RU',https://az333959.vo.msecnd.net/images-2/improvisation-14-vasily-kandinsky-1910-b23db9f2.jpg
b'14 July at Le Havre',b'Albert Marquet',b'1947',,https://az334034.vo.msecnd.net/images-6/14-july-at-le-havre-albert-marquet-1947-f65a4e24.jpg
