Title,Artist,Year,Country,Thumbnail
b'La Chasse-galerie',b'Henri Julien',b'1906',,https://az333960.vo.msecnd.net/images-9/la-chasse-galerie-henri-julien-1906-1b155437.jpg
b'La Fonte des neiges',b'Maurice Galbraith Cullen',b'1930',b'CA',https://az334033.vo.msecnd.net/images-5/la-fonte-des-neiges-maurice-galbraith-cullen-1930-23725c7b.jpg
b'\xc3\x89douard-Martial Leprohon',b'Th\xc3\xa9ophile Hamel',b'1848',,https://az333959.vo.msecnd.net/images-0/edouard-martial-leprohon-theophile-hamel-1848-9c51bd2b.jpg
b'Saint Fran\xc3\xa7ois Xavier pr\xc3\xaachant aux Indes',b'Fran\xc3\xa7ois Baillairg\xc3\xa9',b'1805',,https://az334033.vo.msecnd.net/images-2/saint-francois-xavier-prechant-aux-indes-francois-baillairge-1805-f0166d28.jpg
b"L'Arriv\xc3\xa9e de Champlain \xc3\xa0 Qu\xc3\xa9bec",b'Henri Beau',b'1903',,https://az333959.vo.msecnd.net/images-2/l-arrivee-de-champlain-a-quebec-henri-beau-1903-b5742283.jpg
b"Charles-Auguste d'Eschaillon de Saint-Ours",b'Jean-Baptiste Roy-Audy',b'1830',,https://az333959.vo.msecnd.net/images-2/charles-auguste-d-eschaillon-de-saint-ours-jean-baptiste-roy-audy-1830-eba8bf8c.jpg
|b'\xc3\x80 la mar\xc3\xa9e montante, Le Pouldu, Bretagne'|,b'Maurice Galbraith Cullen',b'1901',b'CA',https://az333960.vo.msecnd.net/images-2/a-la-maree-montante-le-pouldu-bretagne-maurice-galbraith-cullen-1901-81b9ea20.jpg
b"L'Incr\xc3\xa9dulit\xc3\xa9 de saint Thomas",b'Jean-Jacques Lagren\xc3\xa9e',b'1770',,https://az333960.vo.msecnd.net/images-3/l-incredulite-de-saint-thomas-jean-jacques-lagrenee-1770-ea2e33ab.jpg
b'La Peinture mystique',b'Napol\xc3\xa9on Bourassa',b'1896',,https://az333959.vo.msecnd.net/images-9/la-peinture-mystique-napoleon-bourassa-1896-650ec0f0.jpg
b"L'Assembl\xc3\xa9e des six-comt\xc3\xa9s",b'Charles Alexander Smith',b'six-comt\xc3\xa9s',,https://az334033.vo.msecnd.net/images-5/l-assemblee-des-six-comtes-charles-alexander-smith-be1d6162.jpg
|b'Jacques Cartier Meeting the Indians at Stadacona, 1535'|,b'Marc-Aur\xc3\xa8le de Foy Suzor-Cot\xc3\xa9',b'1535',,https://az333960.vo.msecnd.net/images-1/jacques-cartier-meeting-the-indians-at-stadacona-1535-marc-aurele-de-foy-suzor-cote-7f7a33fc.jpg
|b'Madame Joseph Laurin, n\xc3\xa9e Marie-Louise Dalaire'|,b'Antoine Plamondon',b'1839',,https://az334033.vo.msecnd.net/images-1/madame-joseph-laurin-nee-marie-louise-dalaire-antoine-plamondon-1839-9b6c8bb4.jpg
b'Zacharie Vincent et son fils Cyprien',b'Zacharie Vincent',b'1852',,https://az333960.vo.msecnd.net/images-7/zacharie-vincent-et-son-fils-cyprien-zacharie-vincent-1852-aa84da9b.jpg
b'Louis-Christophe-Hilarion Fromenteau',b'Fran\xc3\xa7ois Baillairg\xc3\xa9',b'Fromenteau',,https://az333959.vo.msecnd.net/images-2/louis-christophe-hilarion-fromenteau-francois-baillairge-c18626cd.jpg
|b'Rodolphe Boulet, m\xc3\xa9decin'|,b'Edmond Dyonnet',b'1901',,https://az334033.vo.msecnd.net/images-6/rodolphe-boulet-medecin-edmond-dyonnet-1901-520f924b.jpg
b'Le Christ au jardin des Oliviers',b'Quentin Varin',b'1620',,https://az333959.vo.msecnd.net/images-9/le-christ-au-jardin-des-oliviers-quentin-varin-1620-d67b0b02.jpg
b'Self-Portrait',b'Henri Beau',b'1921',,https://az334033.vo.msecnd.net/images-5/self-portrait-henri-beau-1921-c7c469a9.jpg
b'Portrait of Gaspard-Joseph Chaussegros de L\xc3\xa9ry the Younger',b'Anonymous',b'1751',,https://az334034.vo.msecnd.net/images-5/portrait-of-gaspard-joseph-chaussegros-de-lery-the-younger-anonymous-1751-86e28761.jpg
