Title,Artist,Year,Country,Thumbnail
b'The Cathedral in Berlin',b'Carl Hasenpflug',b'1825',b'DE',https://az334033.vo.msecnd.net/images-4/the-cathedral-in-berlin-carl-hasenpflug-1825-fee066f4.jpg
b'Bohemian Church on Christmas Eve',b'Franz Skarbina',b'1903',,https://az333960.vo.msecnd.net/images-0/bohemian-church-on-christmas-eve-franz-skarbina-1903-8cd81881.jpg
b'Bathing Boys',b'Max Liebermann',b'1900',b'DE',https://az334034.vo.msecnd.net/images-5/bathing-boys-max-liebermann-1900-e6574050.jpg
b'Berlin: parade before the royal palace',b'Wilhelm Br\xc3\xbccke',b'1839',,https://az333959.vo.msecnd.net/images-1/berlin-parade-before-the-royal-palace-wilhelm-brucke-1839-1802372b.jpg
b'Coal Loads',b'Hans Baluschek',b'1901',,https://az333960.vo.msecnd.net/images-9/coal-loads-hans-baluschek-1901-ad02cb1e.jpg
b'Love Island',b'Walter Leistikow',b'1905',,https://az333960.vo.msecnd.net/images-8/love-island-walter-leistikow-1905-3dd2f7ea.jpg
b'Portr\xc3\xa4t der Elisa von der Recke',b'Darbes',b'1784',,https://az334034.vo.msecnd.net/images-0/portrat-der-elisa-von-der-recke-darbes-1784-8813b80e.jpg
b'Ansicht auf den ehemaligen Berlinischen Rathausturm',b'Wilhelm Br\xc3\xbccke',b'1840',,https://az334033.vo.msecnd.net/images-1/ansicht-auf-den-ehemaligen-berlinischen-rathausturm-wilhelm-brucke-1840-943495f3.jpg
|b'Gendarmenmarkt in Berlin, corner between Markgrafen- and...'|,b'Carl Traugott Fechhelm',b'1785',,https://az334034.vo.msecnd.net/images-3/gendarmenmarkt-in-berlin-corner-between-markgrafen-and-jagerstrasse-carl-traugott-fechhelm-1785-2648808c.jpg
b'The old Berlin Town Hall',b'Carl Graeb',b'1867',,https://az333959.vo.msecnd.net/images-9/the-old-berlin-town-hall-carl-graeb-1867-46ba8e7e.jpg
|b'Ironworks Borsig, Berlin'|,b'Karl Eduard Biermann',b'Berlin',,https://az334033.vo.msecnd.net/images-2/ironworks-borsig-berlin-karl-eduard-biermann-8fc8ddbc.jpg
|b'Parochial Street 27-31, Berlin'|,b'Franz Skarbina',b'1906',,https://az334034.vo.msecnd.net/images-7/parochial-street-27-31-berlin-franz-skarbina-1906-ce009c00.jpg
|b'The Synagogue on Oranienburger Strasse, Berlin'|,b'Emile Pierre Joseph De Cauwer',b'1865',,https://az334034.vo.msecnd.net/images-2/the-synagogue-on-oranienburger-strasse-berlin-emile-pierre-joseph-de-cauwer-1865-41f84da1.jpg
b'Garnisonkirche in Potsdam',b'Eduard Gaertner',b'1840',,https://az334034.vo.msecnd.net/images-3/garnisonkirche-in-potsdam-eduard-gaertner-1840-486d30ba.jpg
b'Snow-covered roofs',b'Curt Herrmann',b'1908',,https://az334033.vo.msecnd.net/images-0/snow-covered-roofs-curt-herrmann-1908-b084398b.jpg
|b'Berlin, Der Kr\xc3\xb6gel'|,b'Michael Adam',b'1901',,https://az333959.vo.msecnd.net/images-1/berlin-der-krogel-michael-adam-1901-de7d6a8b.jpg
b'Berlin: View of the Armory and the Opera Bridge',b'Carl Traugott Fechhelm',b'1785',,https://az333959.vo.msecnd.net/images-0/berlin-view-of-the-armory-and-the-opera-bridge-carl-traugott-fechhelm-1785-e716374c.jpg
b'View of the peacock island from the southern side',b'Peter Ludwig L\xc3\xbctke',b'1822',,https://az334033.vo.msecnd.net/images-0/view-of-the-peacock-island-from-the-southern-side-peter-ludwig-lutke-1822-08f8b77d.jpg
