Title,Artist,Year,Country,Thumbnail
b'Non-Objective Composition. Color painting',b'Olga Rozanova',b'painting',b'RU',https://az333959.vo.msecnd.net/images-5/non-objective-composition-color-painting-olga-rozanova-1-c233f3de.jpg
b'For You',b'Tahir Salahov',b'1961',b'RU',https://az333960.vo.msecnd.net/images-4/for-you-tahir-salahov-1961-873c7a6c.jpg
b'Portrait of a Young Man',b'Mirza Gadim Iravani',b'Man',,https://az334033.vo.msecnd.net/images-6/portrait-of-a-young-man-mirza-gadim-iravani-7c800061.jpg
b'St. Catherine',b'Bernardino Luini',b'1550',b'IT',https://az334033.vo.msecnd.net/images-9/st-catherine-bernardino-luini-1550-843f7794.jpg
b'Birch grove',b'Ivan Shishkin',b'1878',b'RU',https://az333960.vo.msecnd.net/images-4/birch-grove-ivan-shishkin-1878-01865550.jpg
b'Portrait of a seated woman',b'Mirza Gadim Iravani',b'1870',,https://az334033.vo.msecnd.net/images-8/portrait-of-a-seated-woman-mirza-gadim-iravani-1870-0bbf67ae.jpg
b'A Riding Amazon',b'Wassily Kandinsky',b'1911',b'RU',https://az334034.vo.msecnd.net/images-1/a-riding-amazon-vasily-kandinsky-1911-ca647162.jpg
b'View of Venice',b'Canaletto',b'1750',b'IT',https://az333959.vo.msecnd.net/images-7/view-of-venice-canaletto-1750-ce2a3558.jpg
b'Pastoral',b'Jean-Honor\xc3\xa9 Fragonard',b'1850',b'FR',https://az333959.vo.msecnd.net/images-9/pastoral-jean-honore-fragonard-1850-fb2e69fa.jpg
b'Proun 1E (City)',b'El Lissitzky',b'1920',,https://az333959.vo.msecnd.net/images-4/proun-1e-city-el-lissitzky-1920-ef948ba9.jpg
b'Refugee Woman',b'Bahruz Kangarli',b'1920',,https://az333960.vo.msecnd.net/images-1/refugee-woman-bahruz-kangarli-1920-97dad484.jpg
b'Holy Family with St Catherine',b'Cesare da Sesto',b'Catherine',,https://az333959.vo.msecnd.net/images-9/holy-family-with-st-catherine-cesare-da-sesto-1-99d8e580.jpg
b'Rose and Nightingale',b'Mirza Gadim Iravani',b'Nightingale',,https://az334034.vo.msecnd.net/images-6/rose-and-nightingale-mirza-gadim-iravani-56e69ff4.jpg
