Title,Artist,Year,Country,Thumbnail
b'Green Wheat Field with Cypress',b'Vincent van Gogh',b'1889',b'NL',https://az333960.vo.msecnd.net/images-7/green-wheat-field-with-cypress-vincent-van-gogh-81e55831.jpg
b'The Virgin',b'Gustav Klimt',b'1913',b'AT',https://az333960.vo.msecnd.net/images-5/the-virgin-gustav-klimt-1913-77692240.jpg
b'Deux femmes dansant au Moulin-Rouge',b'Henri de Toulouse-Lautrec',b'1892',b'FR',https://az334034.vo.msecnd.net/images-9/untitled-henri-de-toulouse-lautrec-1892-1-3e7509ee.jpg
b'The Thames and the City',b'Canaletto',b'City',b'IT',https://az334033.vo.msecnd.net/images-0/the-thames-and-the-city-canaletto-9e276684.jpg
|b'A Scholar, Seated at a Table with Books'|,b'Rembrandt',b'Books',b'NL',https://az334033.vo.msecnd.net/images-6/a-scholar-seated-at-a-table-with-books-rembrandt-1598a8bb.jpg
b'Ladies in Flowers',b'Claude Monet',b'1875',b'FR',https://az333959.vo.msecnd.net/images-0/ladies-in-flowers-claude-monet-9ba943fb.jpg
b'Landscape with the Temple of Vesta in Tivoli',b'Adam Elsheimer',b'1600',,https://az333960.vo.msecnd.net/images-2/landscape-with-the-temple-of-vesta-in-tivoli-adam-elsheimer-1600-cc463d5e.jpg
b'Northern Sea in the Moonlight',b'Caspar David Friedrich',b'1823',b'DE',https://az333959.vo.msecnd.net/images-5/northern-sea-in-the-moonlight-caspar-david-friedrich-1823-591939a3.jpg
b'Epitaph of Goldsmith Nicolas M\xc3\xbcller of Prague',b'Bartholomeus Spranger',b'1593',b'BE',https://az333959.vo.msecnd.net/images-5/untitled-bartholomeus-spranger-be9e2961.jpg
b'Dance on the Beach',b'Edvard Munch',b'1899',b'NO',https://az333960.vo.msecnd.net/images-0/dance-on-the-beach-edvard-munch-1899-d084ebdc.jpg
b'Myself: Portrait \xe2\x80\x93 Landscape',b'Henri Rousseau',b'Landscape',b'FR',https://az333959.vo.msecnd.net/images-2/myself-portrait-landscape-henri-rousseau-de871317.jpg
b'Lovers',b'Auguste Renoir',b'Lovers',b'FR',https://az334034.vo.msecnd.net/images-1/lovers-pierre-auguste-renoir-33c8ee56.jpg
b'The Bridge at S\xc3\xa8vres',b'Alfred Sisley',b'1877',b'GB',https://az333959.vo.msecnd.net/images-9/the-bridge-at-sevres-alfred-sisley-1877-745e62e2.jpg
|b'Peasant Woman and Child Returning from the Fields, Auvers...'|,b'Camille Pissarro',b'Auvers...',b'FR',https://az334034.vo.msecnd.net/images-7/peasant-woman-and-child-returning-from-the-fields-auvers-sur-oise-camille-pissarro-f98aa34f.jpg
b'Eleonora of Toledo',b'Agnolo Bronzino',b'Toledo',b'IT',https://az333959.vo.msecnd.net/images-0/eleonora-of-toledo-bronzino-176ef40f.jpg
|b'The Gardens at Le Valhermeil, Auvers-sur-Oise'|,b'Camille Pissarro',b'Auvers-sur-Oise',b'FR',https://az334033.vo.msecnd.net/images-4/the-gardens-at-le-valhermeil-auvers-sur-oise-camille-pissarro-bbdd0216.jpg
b'Dalmatian wedding',b'Jaroslav Cermak',b'wedding',,https://az334034.vo.msecnd.net/images-4/dalmatian-wedding-jaroslav-cermak-523c98aa.jpg
b'Egg market in Prague',b'Lud\xc4\x9bk Marold',b'Prague',,https://az334034.vo.msecnd.net/images-8/egg-market-in-prague-ludek-marold-99a44d10.jpg
b'Sleeping Venus and Cupid',b'Godfried Schalcken',b'1675',b'NL',https://az334033.vo.msecnd.net/images-4/sleeping-venus-and-cupid-godfried-schalcken-1675-b9873ec4.jpg
b'Castle Courtyard I',b'Christoph Seckel',b'1750',,https://az333959.vo.msecnd.net/images-6/castle-courtyard-i-christoph-seckel-1750-8789b968.jpg
b'Untitled',b'Geertgen tot Sint Jans',b'1480',b'NL',https://az333959.vo.msecnd.net/images-1/untitled-geertgen-tot-sint-jans-1480-47283332.jpg
b'Castle Courtyard II',b'Christoph Seckel',b'1750',,https://az334033.vo.msecnd.net/images-4/castle-courtyard-ii-christoph-seckel-1750-acb631d7.jpg
b'Bonjour Monsieur Gauguin',b'Paul Gauguin',b'1889',b'FR',https://az334034.vo.msecnd.net/images-3/bonjour-monsieur-gauguin-paul-gauguin-1889-4017918f.jpg
b'Untitled',b'Petr Brandl',b'Untitled',,https://az333959.vo.msecnd.net/images-0/untitled-petr-brandl-1-fd38033b.jpg
b'Portrait of Don Miguel De Lardiz\xc3\xa1bal',b'Francisco Goya',b'1815',,https://az334034.vo.msecnd.net/images-6/portrait-of-don-miguel-de-lardizabal-francisco-goya-1815-59c47a82.jpg
b'Murder in the House',b'Jakub Schikaneder',b'1890',,https://az333960.vo.msecnd.net/images-2/murder-in-the-house-jakub-schikaneder-1890-92b4c052.jpg
b'Portrait of Marchese Ambrogio Spinola',b'Peter Paul Rubens',b'1625',b'NL',https://az333959.vo.msecnd.net/images-7/portrait-of-marchese-ambrogio-spinola-peter-paul-rubens-1625-b20d89a4.jpg
b'Untitled',b'Hans Baldung',b'1516',,https://az333959.vo.msecnd.net/images-9/untitled-hans-baldung-1516-77e61ea7.jpg
b'Portrait of the Gem-Cutter Dionysius Miseroni and His Family',b'Karel \xc5\xa0kr\xc3\xa9ta',b'Family',,https://az334034.vo.msecnd.net/images-1/portrait-of-the-gem-cutter-dionysius-miseroni-and-his-family-karel-skreta-0ddc36e8.jpg
b'T\xc5\x99ebo\xc5\x88 Altarpiece',b'Master of the T\xc5\x99ebo\xc5\x88 Altarpiece',b'Altarpiece',,https://az334033.vo.msecnd.net/images-4/trebon-altarpiece-master-of-the-trebon-altarpiece-0277fcee.jpg
b'Rider Attacked by a Jaguar',b'Eug\xc3\xa8ne Delacroix',b'1855',b'FR',https://az333960.vo.msecnd.net/images-7/rider-attacked-by-a-jaguar-eugene-delacroix-1855-2514858c.jpg
b'Portrait of Anna du Pire as Granida',b'Bartholomeus van der Helst',b'1660',b'NL',https://az334033.vo.msecnd.net/images-8/portrait-of-anna-du-pire-as-granida-bartholomeus-van-der-helst-1660-f8808ed1.jpg
b'Peaches on a Tin Plate',b'Ambrosius Bosschaert',b'1620',b'NL',https://az333959.vo.msecnd.net/images-8/peaches-on-a-tin-plate-ambrosius-bosschaert-1620-2871fcb8.jpg
b'St. Sebastian',b'Bohumil Kubi\xc5\xa1ta',b'Sebastian',,https://az334033.vo.msecnd.net/images-2/st-sebastian-bohumil-kubista-dd018827.jpg
b"Scholar smoking a Pipe in his Study (Rembrandt's father)",b'Gerrit Dou',b'1635',b'NL',https://az333960.vo.msecnd.net/images-6/scholar-smoking-a-pipe-in-his-study-rembrandt-s-father-gerrit-dou-1635-e3677723.jpg
b'Man eating Ham',b'Godfried Schalcken',b'1673',b'NL',https://az334034.vo.msecnd.net/images-6/man-eating-ham-godfried-schalcken-1673-9211e7f7.jpg
b'Tyrolean Landscape with a Shepherd',b'Johan Christian Dahl',b'1824',b'NO',https://az334034.vo.msecnd.net/images-5/tyrolean-landscape-with-a-shepherd-johan-christian-dahl-1824-e1375cd7.jpg
