Title,Artist,Year,Country,Thumbnail
b'Descent of Noah from Ararat',b'Ivan Aivazovsky',b'Ararat',b'RU',https://az334034.vo.msecnd.net/images-2/descent-of-noah-from-ararat-ivan-aivazovsky-66380f12.jpg
b'Sea view',b'Claude-Joseph Vernet',b'1750',b'FR',https://az333959.vo.msecnd.net/images-9/sea-view-claude-joseph-vernet-1750-e08afcc3.jpg
b'Singing lesson',b'Caspar Netscher',b'lesson',b'NL',https://az334033.vo.msecnd.net/images-0/singing-lesson-caspar-netscher-50c4e6bd.jpg
b'Untitled',b'Yeghishe Tadevosyan',b'Untitled',,https://az333960.vo.msecnd.net/images-1/untitled-yeghishe-tadevosyan-26347809.jpg
b'Untitled',b'Arshak Fetvadjian',b'Untitled',,https://az334034.vo.msecnd.net/images-6/untitled-arshak-fetvadjian-9875e39e.jpg
b'Surrounding of village',b'David Teniers the Younger',b'village',b'NL',https://az334034.vo.msecnd.net/images-2/surrounding-of-village-david-teniers-the-younger-1e77019f.jpg
b'Landscape',b'Cornelis Gerritsz Decker',b'Landscape',,https://az334033.vo.msecnd.net/images-9/landscape-cornelis-gerritsz-decker-caa4a127.jpg
b'Untitled',b'Yeghishe Tadevosyan',b'Untitled',,https://az334034.vo.msecnd.net/images-0/untitled-yeghishe-tadevosyan-1-474d0f6c.jpg
b'Sunset on the Sea',b'M\xc4\xb1g\xc4\xb1rdi\xc3\xa7 Civanyan',b'1900',,https://az334034.vo.msecnd.net/images-2/sunset-on-the-sea-migirdic-civanyan-1900-2d35e894.jpg
b'Eastern Suite (Arabs III)',b'Wassily Kandinsky',b'1911',b'RU',https://az334034.vo.msecnd.net/images-1/eastern-suite-arabs-iii-vasily-kandinsky-1911-ed228d87.jpg
b'Ancient Temple',b'Hubert Robert',b'1787',b'FR',https://az334033.vo.msecnd.net/images-2/ancient-temple-hubert-robert-1787-a2031bd5.jpg
b'Playing skittles',b'Cornelis Dusart',b'skittles',,https://az334034.vo.msecnd.net/images-6/playing-skittles-cornelis-dusart-27951dff.jpg
b'Untitled',b'Yeghishe Tadevosyan',b'Untitled',,https://az334034.vo.msecnd.net/images-0/untitled-yeghishe-tadevosyan-2-0c4773ca.jpg
b'Portrait of Maria Akimova',b'Valentin Serov',b'Akimova',,https://az333960.vo.msecnd.net/images-9/portrait-of-maria-akimova-valentin-serov-c6830332.jpg
b'Portrait of a woman',b'Caspar Netscher',b'woman',b'NL',https://az334034.vo.msecnd.net/images-0/portrait-of-a-woman-caspar-netscher-aa974c9d.jpg
b'Untitled',b'Yeghishe Tadevosyan',b'Untitled',,https://az334034.vo.msecnd.net/images-8/untitled-yeghishe-tadevosyan-3-1c7a0dd9.jpg
b"Byron's visit to the Mekhitarists in Surb Ghazar Island",b'Ivan Aivazovsky',b'Island',b'RU',https://az334033.vo.msecnd.net/images-6/byron-s-visit-to-the-mekhitarists-in-surb-ghazar-island-ivan-aivazovsky-af9c5a1e.jpg
b'Portrait of a girl',b'Jean-Baptiste Greuze',b'1750',b'FR',https://az334033.vo.msecnd.net/images-5/portrait-of-a-girl-jean-baptiste-greuze-1750-082d7e44.jpg
b'The woman at the source. Brittany',b'Panos Terlemezian',b'1900',,https://az334034.vo.msecnd.net/images-3/the-woman-at-the-source-brittany-panos-terlemezian-1900-ae5b6386.jpg
