Title,Artist,Year,Country,Thumbnail
b"Dad's Coming!",b'Winslow Homer',b'1873',b'US',https://az333960.vo.msecnd.net/images-4/dad-s-coming-winslow-homer-1873-e8a69a9f.jpg
b'Behind the Scenes',b'Jean-Louis Forain',b'1880',b'FR',https://az334033.vo.msecnd.net/images-6/behind-the-scenes-jean-louis-forain-1880-d8ade45c.jpg
b'Marion Feasting the British Officer on Sweet Potatoes',b'George Washington Mark',b'1848',b'US',https://az334033.vo.msecnd.net/images-0/marion-feasting-the-british-officer-on-sweet-potatoes-george-washington-mark-1848-f890bbc7.jpg
b'Roses',b'Vincent van Gogh',b'1890',b'NL',https://az334033.vo.msecnd.net/images-4/roses-vincent-van-gogh-1890-2c442b97.jpg
b'Farmhouse in Provence',b'Vincent van Gogh',b'1888',b'NL',https://az334034.vo.msecnd.net/images-5/farmhouse-in-provence-vincent-van-gogh-1888-4a42072b.jpg
b'Le Blanc Seing (The Blank Signature)',b'Ren\xc3\xa9 Magritte',b'1965',b'BE',https://az334033.vo.msecnd.net/images-0/le-blanc-seing-rene-magritte-1965-76447383.jpg
b'Woman Seated under the Willows',b'Claude Monet',b'1880',b'FR',https://az333959.vo.msecnd.net/images-4/woman-seated-under-the-willows-claude-monet-1880-037d31b0.jpg
b'Ship on the Touques',b'Eug\xc3\xa8ne Boudin',b'1895',b'FR',https://az333959.vo.msecnd.net/images-4/ship-on-the-touques-eugene-boudin-1895-cbb3c945.jpg
b'The Black Rocks at Trouville',b'Gustave Courbet',b'1866',b'FR',https://az334033.vo.msecnd.net/images-6/the-black-rocks-at-trouville-gustave-courbet-1866-6aab001e.jpg
b'Rendezvous in the Forest',b'Henri Rousseau',b'1889',b'FR',https://az334034.vo.msecnd.net/images-6/rendezvous-in-the-forest-henri-rousseau-1889-92e4072d.jpg
b'The Gardener Vallier',b'Paul C\xc3\xa9zanne',b'1906',b'FR',https://az334034.vo.msecnd.net/images-5/the-gardener-vallier-paul-cezanne-1906-ce02fbf0.jpg
|b'Green Wheat Fields, Auvers'|,b'Vincent van Gogh',b'1890',b'NL',https://az333959.vo.msecnd.net/images-8/green-wheat-fields-auvers-vincent-van-gogh-1890-d2dc3eb2.jpg
b'Woman with Red Hair',b'Amedeo Modigliani',b'1917',b'IT',https://az334034.vo.msecnd.net/images-5/woman-with-red-hair-amedeo-modigliani-1917-1d28a600.jpg
b'Jerusalem Artichoke Flowers',b'Claude Monet',b'1880',b'FR',https://az334034.vo.msecnd.net/images-5/jerusalem-artichoke-flowers-claude-monet-1880-609ff6f4.jpg
|b'Banks of the Seine, V\xc3\xa9theuil'|,b'Claude Monet',b'1880',b'FR',https://az334033.vo.msecnd.net/images-3/banks-of-the-seine-vetheuil-claude-monet-1880-167416d7.jpg
b'Girl in White',b'Vincent van Gogh',b'1890',b'NL',https://az334033.vo.msecnd.net/images-8/girl-in-white-vincent-van-gogh-1890-324cb528.jpg
b'Skiffs',b'Gustave Caillebotte',b'1877',b'FR',https://az334034.vo.msecnd.net/images-4/skiffs-gustave-caillebotte-1877-22fec817.jpg
b"The Artist's Garden at Eragny",b'Camille Pissarro',b'1898',b'FR',https://az334033.vo.msecnd.net/images-5/the-artist-s-garden-at-eragny-camille-pissarro-1898-3ea067f4.jpg
b'Girl in a Boat with Geese',b'Berthe Morisot',b'1889',b'FR',https://az333959.vo.msecnd.net/images-2/girl-in-a-boat-with-geese-berthe-morisot-20ca8622.jpg
b'Horses in a Meadow',b'Edgar Degas',b'1871',b'FR',https://az334034.vo.msecnd.net/images-5/horses-in-a-meadow-edgar-degas-1871-a1bd406e.jpg
b'Baby (Cradle)',b'Gustav Klimt',b'1918',b'AT',https://az334033.vo.msecnd.net/images-1/baby-cradle-gustav-klimt-1918-43f350d2.jpg
b'Calm Sea',b'Gustave Courbet',b'1866',b'FR',https://az334033.vo.msecnd.net/images-9/calm-sea-gustave-courbet-1866-1a917e0a.jpg
b'A la Bastille (Jeanne Wenz)',b'Henri de Toulouse-Lautrec',b'1888',b'FR',https://az333959.vo.msecnd.net/images-0/a-la-bastille-jeanne-wenz-henri-de-toulouse-lautrec-1888-1-a6c7d16a.jpg
b'The Mother and Sister of the Artist',b'Berthe Morisot',b'1870',b'FR',https://az333959.vo.msecnd.net/images-6/the-mother-and-sister-of-the-artist-berthe-morisot-7938e729.jpg
b'Danger',b'Winslow Homer',b'1887',b'US',https://az334033.vo.msecnd.net/images-2/danger-winslow-homer-1887-2ada4473.jpg
b"The Artist's Wife Fishing",b'Jean-Louis Forain',b'1896',b'FR',https://az333960.vo.msecnd.net/images-6/the-artist-s-wife-fishing-jean-louis-forain-1896-452efa2c.jpg
b'Marchesa Elena Grimaldi Cattaneo',b'Anthony van Dyck',b'1623',b'NL',https://az333960.vo.msecnd.net/images-1/marchesa-elena-grimaldi-cattaneo-sir-anthony-van-dyck-1623-44600026.jpg
b'Portrait of Sonia',b'Henri Fantin-Latour',b'1890',b'FR',https://az334034.vo.msecnd.net/images-9/portrait-of-sonia-henri-fantin-latour-1882-89f5236d.jpg
b'The Invocation',b'Paul Gauguin',b'1903',b'FR',https://az334034.vo.msecnd.net/images-4/the-invocation-paul-gauguin-1903-adf25ce5.jpg
b'Little Girl in a Blue Armchair',b'Mary Cassatt',b'1878',b'US',https://az334033.vo.msecnd.net/images-8/little-girl-in-a-blue-armchair-mary-cassatt-1878-c64f1777.jpg
b'The Emperor Napoleon in His Study at the Tuileries',b'Jacques-Louis David',b'1812',b'FR',https://az333960.vo.msecnd.net/images-2/the-emperor-napoleon-in-his-study-at-the-tuileries-jacques-louis-david-1812-4d53b6e3.jpg
b'Riders on the Beach at Dieppe',b'Ren\xc3\xa9 Pierre Charles Princeteau',b'1892',b'FR',https://az334033.vo.msecnd.net/images-8/riders-on-the-beach-at-dieppe-rene-pierre-charles-princeteau-1892-833a9a9f.jpg
b'Murnau',b'Alexej von Jawlensky',b'1910',b'RU',https://az333960.vo.msecnd.net/images-7/murnau-alexej-von-jawlensky-1910-1f7cf2ed.jpg
b'Flowers in a Rococo Vase',b'Paul C\xc3\xa9zanne',b'1876',b'FR',https://az333960.vo.msecnd.net/images-4/flowers-in-a-rococo-vase-paul-cezanne-1876-e6cd1320.jpg
b'In the Dining Room',b'Berthe Morisot',b'1886',b'FR',https://az333960.vo.msecnd.net/images-8/in-the-dining-room-berthe-morisot-9bc83fed.jpg
b'Allegory of Painting',b'Fran\xc3\xa7ois Boucher',b'1765',b'FR',https://az334034.vo.msecnd.net/images-0/allegory-of-painting-francois-boucher-1765-c0a39890.jpg
b"The Cradle - Camille with the Artist's Son Jean",b'Claude Monet',b'1867',b'FR',https://az334033.vo.msecnd.net/images-6/the-cradle-camille-with-the-artist-s-son-jean-claude-monet-1867-297a5842.jpg
b'Yacht Basin at Trouville-Deauville',b'Eug\xc3\xa8ne Boudin',b'1896',b'FR',https://az333959.vo.msecnd.net/images-1/yacht-basin-at-trouville-deauville-eugene-boudin-1896-b464e67a.jpg
b'Allegory of Music',b'Fran\xc3\xa7ois Boucher',b'1764',b'FR',https://az333960.vo.msecnd.net/images-0/allegory-of-music-francois-boucher-1764-012e8e18.jpg
b'Lucretia',b'Rembrandt',b'1664',b'NL',https://az333960.vo.msecnd.net/images-0/lucretia-rembrandt-van-rijn-1664-3392d519.jpg
b'The Peppermint Bottle',b'Paul C\xc3\xa9zanne',b'1895',b'FR',https://az334033.vo.msecnd.net/images-4/the-peppermint-bottle-paul-cezanne-1895-57bab4d4.jpg
b"Daniel in the Lions' Den",b'Peter Paul Rubens',b'1616',b'NL',https://az334034.vo.msecnd.net/images-6/daniel-in-the-lions-den-sir-peter-paul-rubens-1616-469e01ed.jpg
b'Madame Bergeret',b'Fran\xc3\xa7ois Boucher',b'1766',b'FR',https://az333959.vo.msecnd.net/images-7/madame-bergeret-francois-boucher-ff7de0b7.jpg
b'The Bath of Venus',b'Fran\xc3\xa7ois Boucher',b'1751',b'FR',https://az333959.vo.msecnd.net/images-4/the-bath-of-venus-francois-boucher-1751-ad9bee1c.jpg
b'The Repentant Magdalen',b'Georges de La Tour',b'1640',b'FR',https://az333959.vo.msecnd.net/images-5/the-repentant-magdalen-georges-de-la-tour-1640-36ef73be.jpg
b'Sainte-Adresse',b'Claude Monet',b'1867',b'FR',https://az333960.vo.msecnd.net/images-9/sainte-adresse-claude-monet-1867-bba95c5d.jpg
b'Mary Crowninshield Endicott Chamberlain (Mrs. Joseph...',b'John Singer Sargent',b'1902',b'US',https://az333959.vo.msecnd.net/images-5/mary-crowninshield-endicott-chamberlain-mrs-joseph-chamberlain-john-singer-sargent-1902-c25e385a.jpg
b'Young Spanish Woman with a Guitar',b'Auguste Renoir',b'1898',b'FR',https://az334033.vo.msecnd.net/images-9/young-spanish-woman-with-a-guitar-pierre-auguste-renoir-1898-b7cb8b42.jpg
b"The Artist's Sister at a Window",b'Berthe Morisot',b'1869',b'FR',https://az334034.vo.msecnd.net/images-4/the-artist-s-sister-at-a-window-berthe-morisot-1869-d18934c6.jpg
b'Flower Beds in Holland',b'Vincent van Gogh',b'1883',b'NL',https://az334034.vo.msecnd.net/images-4/bulb-fields-vincent-van-gogh-1883-5d4a6bc9.jpg
|b'Interior, after Dinner'|,b'Claude Monet',b'1869',b'FR',https://az334034.vo.msecnd.net/images-3/interior-after-dinner-claude-monet-1869-f1a31373.jpg
b'Adrienne (Woman with Bangs)',b'Amedeo Modigliani',b'1917',b'IT',https://az333959.vo.msecnd.net/images-7/adrienne-woman-with-bangs-amedeo-modigliani-1917-e6ee3459.jpg
b'Woman with a Cat',b'Auguste Renoir',b'1875',b'FR',https://az334033.vo.msecnd.net/images-7/woman-with-a-cat-pierre-auguste-renoir-1875-c0458f39.jpg
|b'Northern Landscape, Spring'|,b'Caspar David Friedrich',b'1825',b'DE',https://az334033.vo.msecnd.net/images-5/northern-landscape-spring-caspar-david-friedrich-1825-d80143b4.jpg
|b'Symphony in White, No. 1: The White Girl'|,b'James Abbott McNeill Whistler',b'1862',b'US',https://az333959.vo.msecnd.net/images-1/symphony-in-white-no-1-the-white-girl-james-mcneill-whistler-1862-3ed64fac.jpg
