Title,Artist,Year,Country,Thumbnail
b'Self-portrait',b'Peter Paul Rubens',b'Self-portrait',b'NL',https://az334034.vo.msecnd.net/images-6/self-portrait-peter-paul-rubens-a04ee3b7.jpg
b'Portrait of Hohepa Te Umuroa',b'William Duke',b'Umuroa',,https://az334034.vo.msecnd.net/images-4/portrait-of-hohepa-te-umuroa-william-duke-654437a5.jpg
|b'Golden Summer, Eaglemont'|,b'Arthur Streeton',b'Eaglemont',,https://az334033.vo.msecnd.net/images-1/golden-summer-eaglemont-arthur-streeton-8402e99c.jpg
b'Stroyuschiysya dom',b'Kazimir Malevich',b'1910',b'RU',https://az333959.vo.msecnd.net/images-5/stroyuschiysya-dom-kazimir-malevich-1910-5f50a257.jpg
|b'Haystacks, midday'|,b'Claude Monet',b'1890',b'FR',https://az333960.vo.msecnd.net/images-5/haystacks-midday-claude-monet-1890-35259a8b.jpg
|b'Adelaide, a tribe of natives on the banks of the river...'|,b'Alexander Schramm',b'1850',,https://az334034.vo.msecnd.net/images-6/adelaide-a-tribe-of-natives-on-the-banks-of-the-river-torrens-alexander-schramm-1850-a21e14e5.jpg
|b"Mr Robinson's house on the Derwent, Van Diemen's Land"|,b'John Glover',b'1838',,https://az334034.vo.msecnd.net/images-3/mr-robinson-s-house-on-the-derwent-van-diemen-s-land-john-glover-1838-664d5770.jpg
b"Riddell's Creek",b'Charles Conder',b'1889',,https://az334034.vo.msecnd.net/images-1/riddell-s-creek-charles-conder-1889-2486542d.jpg
b'In a corner on the Macintyre',b'Tom Roberts',b'Macintyre',b'AU',https://az334033.vo.msecnd.net/images-7/in-a-corner-on-the-macintyre-tom-roberts-3c4b87ac.jpg
b'Bourke Street',b'Tom Roberts',b'1886',b'AU',https://az334033.vo.msecnd.net/images-7/bourke-street-tom-roberts-1886-562e6369.jpg
b'Hot Wind',b'Charles Conder',b'1889',,https://az334033.vo.msecnd.net/images-4/hot-wind-charles-conder-1889-19c338d6.jpg
b'Nymph\xc3\xa9as [Waterlilies]',b'Claude Monet',b'[Waterlilies]',b'FR',https://az333959.vo.msecnd.net/images-9/nympheas-waterlilies-claude-monet-5c71b5b4.jpg
b'Un sentier aux Sablons [A path at Les Sablons]',b'Alfred Sisley',b'1883',b'GB',https://az333959.vo.msecnd.net/images-9/un-sentier-aux-sablons-a-path-at-les-sablons-alfred-sisley-1883-6ec936c5.jpg
b'Study for Les Demoiselles des bords de la Seine (\xc3\x89t\xc3\xa9) ...',b'Gustave Courbet',b'1856',b'FR',https://az333959.vo.msecnd.net/images-3/study-for-les-demoiselles-des-bords-de-la-seine-ete-girls-on-the-banks-of-the-seine-summer-gustave-courbet-1856-1f8cd422.jpg
b'The Island of Madeira',b'John Glover',b'1831',,https://az334033.vo.msecnd.net/images-2/the-island-of-madeira-john-glover-1831-037c5215.jpg
|b'Landscape, Antibes (The Bay of Nice)'|,b'John Peter Russell',b'1891',,https://az334034.vo.msecnd.net/images-6/landscape-antibes-the-bay-of-nice-john-peter-russell-1891-2368f3cc.jpg
b"The selector's hut (Whelan on the log)",b'Arthur Streeton',b'1890',,https://az334034.vo.msecnd.net/images-3/the-selector-s-hut-whelan-on-the-log-arthur-streeton-1890-cd015c8d.jpg
b"The rescue of William D'Oyly",b'James Wilson Carmichael',b"D'Oyly",,https://az334034.vo.msecnd.net/images-9/the-rescue-of-william-d-oyly-james-wilson-carmichael-c9005a0d.jpg
b'Dandenong Ranges from ?Beleura?',b'Eugene von Guerard',b'1870',,https://az334034.vo.msecnd.net/images-5/dandenong-ranges-from-beleura-eugene-von-guerard-1870-e4dc32c6.jpg
b"Impressionists' camp",b'Charles Conder',b'1889',,https://az333959.vo.msecnd.net/images-9/impressionists-camp-charles-conder-1889-505b2416.jpg
b'At the falling of the year',b'Frederick McCubbin',b'1886',,https://az333960.vo.msecnd.net/images-8/at-the-falling-of-the-year-frederick-mccubbin-1886-be812783.jpg
