Title,Artist,Year,Country,Thumbnail
b"View from the Artist's Room",b'Martinus R\xc3\xb8rbye',b'1825',b'DK',https://az333960.vo.msecnd.net/images-6/view-from-the-artist-s-room-martinus-rorbye-1825-763234c3.jpg
b"Trompe l'oeil. Board Partition with Letter Rack and Music...",b'Cornelius Norbertus Gijsbrechts',b'1668',b'BE',https://az333959.vo.msecnd.net/images-8/trompe-l-oeil-board-partition-with-letter-rack-and-music-book-cornelius-norbertus-gijsbrechts-1668-cbf7daef.jpg
b"View from the Artist's Window",b'Martinus R\xc3\xb8rbye',b'1825',b'DK',https://az333959.vo.msecnd.net/images-0/view-from-the-artist-s-window-martinus-rorbye-224fe689.jpg
|b'A Beech Wood in May near Iselingen Manor, Zealand'|,b'Peter Christian Skovgaard',b'1857',,https://az334033.vo.msecnd.net/images-4/a-beech-wood-in-may-near-iselingen-manor-zealand-peter-christian-skovgaard-1857-15141f63.jpg
b'The Russian Ship of the Line "Asow" and a Frigate at...',b'Christoffer Wilhelm Eckersberg',b'1828',b'DK',https://az334033.vo.msecnd.net/images-4/the-russian-ship-of-the-line-asow-and-a-frigate-at-anchor-in-the-roads-of-elsinore-christoffer-wilhelm-eckersberg-1828-7e933f03.jpg
b'Has it Stopped Raining?',b'Laurits Andersen Ring',b'1922',b'DK',https://az333960.vo.msecnd.net/images-7/has-it-stopped-raining-laurits-andersen-ring-1922-22e8605c.jpg
b"Trompe l'oeil with Studio Wall and Vanitas Still Life",b'Cornelius Norbertus Gijsbrechts',b'1668',b'BE',https://az334034.vo.msecnd.net/images-0/trompe-l-oeil-with-studio-wall-and-vanitas-still-life-cornelius-norbertus-gijsbrechts-1668-11c17d1e.jpg
b'Sunset. Fontainebleau',b'Valdemar Sch\xc3\xb8nheyder M\xc3\xb8ller',b'1900',b'DK',https://az333959.vo.msecnd.net/images-8/sunset-fontainebleau-valdemar-schonheyder-moller-1900-58ea11d4.jpg
b"The Harbour at L'Estaque",b'Georges Braque',b'1906',b'FR',https://az333959.vo.msecnd.net/images-9/the-harbour-at-l-estaque-georges-braque-1906-6a6c7cac.jpg
b'A Group of Danish Artists in Rome',b'Constantin Hansen',b'1837',b'DK',https://az333960.vo.msecnd.net/images-4/a-group-of-danish-artists-in-rome-constantin-hansen-1837-bd29c257.jpg
|b'Interior in Strandgade, Sunlight on the Floor'|,b'Vilhelm Hammersh\xc3\xb8i',b'1901',b'DK',https://az333960.vo.msecnd.net/images-8/interior-in-strandgade-sunlight-on-the-floor-vilhelm-hammershoi-b8a8646b.png
b'In a Roman Osteria',b'Carl Bloch',b'1866',b'DK',https://az333960.vo.msecnd.net/images-6/in-a-roman-osteria-carl-bloch-1866-4aa6bddb.jpg
b'Winter Landscape. Near Vordingborg',b'Johan Christian Dahl',b'1827',b'NO',https://az333959.vo.msecnd.net/images-5/winter-landscape-near-vordingborg-johan-christian-dahl-1827-a2a04178.jpg
b"Trees at L'Estaque",b'Georges Braque',b'1908',b'FR',https://az333960.vo.msecnd.net/images-3/trees-at-l-estaque-georges-braque-1908-d5e1404a.jpg
b'Alice',b'Amedeo Modigliani',b'1918',b'IT',https://az333959.vo.msecnd.net/images-3/alice-amedeo-modigliani-1918-022862a1.jpg
b'The Bride is Embellished by her girl friend (Bruden...',b'Henrik Olrik',b'1859',,https://az333959.vo.msecnd.net/images-2/bruden-smykkes-af-sin-veninde-henrik-olrik-1859-24cbe355.jpg
b'The Fall of the Titans (The Titanomachia)',b'Cornelis Cornelisz. van Haarlem',b'1590',b'NL',https://az334034.vo.msecnd.net/images-9/the-fall-of-the-titans-the-titanomachia-cornelis-cornelisz-van-haarlem-1588-b399f1ff.jpg
b"The Artist's Wife",b'Laurits Andersen Ring',b'1897',b'DK',https://az333960.vo.msecnd.net/images-9/the-artist-s-wife-laurits-andersen-ring-1897-a7fa5b3a.jpg
b"Interior with the Artist's Easel",b'Vilhelm Hammersh\xc3\xb8i',b'1910',b'DK',https://az333960.vo.msecnd.net/images-3/the-artist-s-easel-vilhelm-hammershoi-13228a01.jpg
b'Bouquet of Flowers in a Stone Niche',b'Ambrosius Bosschaert',b'1618',b'NL',https://az333959.vo.msecnd.net/images-0/bouquet-of-flowers-in-a-stone-niche-ambrosius-bosschaert-1618-8dcbb932.jpg
b'Two Gipsy Women Outside their Cottage. Spain',b'Peder Severin Kr\xc3\xb8yer',b'1878',b'DK',https://az334034.vo.msecnd.net/images-8/two-gipsy-women-outside-their-cottage-spain-peder-severin-kroyer-1878-60bf64fe.jpg
b'View of Copenhagen at Sunset',b'Martinus R\xc3\xb8rbye',b'1847',b'DK',https://az334033.vo.msecnd.net/images-9/view-of-copenhagen-at-sunset-martinus-rorbye-16ffeb23.jpg
b'The Judgement of Solomon',b'Peter Paul Rubens',b'1617',b'NL',https://az333959.vo.msecnd.net/images-1/the-judgement-of-solomon-peter-paul-rubens-1617-04cee23c.jpg
b'The Village Carpenter Bringing a Coffin for a Dead Child',b'Christen Dalsgaard',b'1857',b'DK',https://az334034.vo.msecnd.net/images-7/the-village-carpenter-bringing-a-coffin-for-a-dead-child-christen-dalsgaard-1857-3de95010.jpg
b'Landscape with Two Horses',b'Nicolaes Pieterszoon Berchem',b'1650',,https://az334034.vo.msecnd.net/images-8/landscape-with-two-horses-nicolaes-pieterszoon-berchem-1650-90dde613.jpg
b'The Marble Steps leading to the Church of Santa Maria in...',b'Christoffer Wilhelm Eckersberg',b'1816',b'DK',https://az334034.vo.msecnd.net/images-9/the-marble-steps-leading-to-the-church-of-santa-maria-in-aracoeli-in-rome-christoffer-wilhelm-eckersberg-1814-c1b1d9e8.jpg
|b'Langebro, Copenhagen, in the Moonlight with Running Figures'|,b'Christoffer Wilhelm Eckersberg',b'1836',b'DK',https://az334034.vo.msecnd.net/images-4/langebro-copenhagen-in-the-moonlight-with-running-figures-christoffer-wilhelm-eckersberg-1836-a50e544a.jpg
b'Rough Sea with a Steamer near the Coast of Norway',b'Peder Balke',b'1850',b'NO',https://az334033.vo.msecnd.net/images-6/rough-sea-with-a-steamer-near-the-coast-of-norway-peder-balke-e6bc5b1a.jpg
b'Landscape with a Stile. The Isle of M\xc3\xb8n',b'Christoffer Wilhelm Eckersberg',b'1810',b'DK',https://az333960.vo.msecnd.net/images-1/landscape-with-a-stile-the-isle-of-mon-christoffer-wilhelm-eckersberg-1810-cdef8122.jpg
b"The Artist's Wife with the Family Caravan",b'Laurits Andersen Ring',b'1911',b'DK',https://az334033.vo.msecnd.net/images-0/the-artist-s-wife-with-the-family-caravan-laurits-andersen-ring-1911-8c73b50f.jpg
b'Renbj\xc3\xa6rg Tileworks by Flensburg Fiord',b'Christoffer Wilhelm Eckersberg',b'1830',b'DK',https://az334033.vo.msecnd.net/images-8/renbjaerg-tileworks-by-flensburg-fiord-christoffer-wilhelm-eckersberg-1830-389e1350.jpg
b"At a Window in the Artist's Studio",b'Christoffer Wilhelm Eckersberg',b'1852',b'DK',https://az333959.vo.msecnd.net/images-5/at-a-window-in-the-artist-s-studio-christoffer-wilhelm-eckersberg-1852-994f6b74.jpg
