Title,Artist,Year,Country,Thumbnail
b'Chrysanthemums in a Chinese Vase',b'Camille Pissarro',b'Vase',b'FR',https://az333959.vo.msecnd.net/images-9/chrysanthemums-in-a-chinese-vase-camille-pissarro-a4a3ed8c.jpg
b'El Sue\xc3\xb1o',b'Francisco de Goya',b'1800',b'ES',https://az333960.vo.msecnd.net/images-3/untitled-francisco-de-goya-1790-1-820125f1.jpg
b'Man Writing a Letter',b'Gabri\xc3\xabl Metsu',b'1666',b'NL',https://az334034.vo.msecnd.net/images-2/man-writing-a-letter-gabriel-metsu-1665-e621ab6d.jpg
b'Connemara Girl',b'Augustus Nicholas Burke',b'1865',b'IE',https://az333960.vo.msecnd.net/images-0/connemara-girl-augustus-nicholas-burke-8347429c.jpg
b'Kitchen Maid with the Supper at Emmaus',b'Diego Vel\xc3\xa1zquez',b'1618',b'ES',https://az333959.vo.msecnd.net/images-6/kitchen-maid-with-the-supper-at-emmaus-diego-velazquez-1618-bd0a0105.jpg
|b'Portrait of Anna Splinter, wife of Johan Hulshout (1623...'|,b'Pieter Cornelisz van Slingelandt',b'(1623...',,https://az333960.vo.msecnd.net/images-3/portrait-of-anna-splinter-wife-of-johan-hulshout-1623-1687-pieter-cornelisz-van-slingelandt-7b78b794.jpg
b'Woman Reading a Letter',b'Gabri\xc3\xabl Metsu',b'1665',b'NL',https://az333959.vo.msecnd.net/images-4/woman-reading-a-letter-gabriel-metsu-1665-db55bcf5.jpg
b'Fisher boy with a basket in a landscape',b'Frans Hals',b'1630',b'NL',https://az334034.vo.msecnd.net/images-4/fisher-boy-with-a-basket-in-a-landscape-frans-hals-1630-8af5593a.jpg
b'Portrait of Do\xc3\xb1a Antonia Z\xc3\xa1rate',b'Francisco de Goya',b'Z\xc3\xa1rate',b'ES',https://az334034.vo.msecnd.net/images-3/portrait-of-dona-antonia-zarate-francisco-de-goya-ac779ded.jpg
b'Lady Writing a Letter with her Maid',b'Johannes Vermeer',b'1670',b'NL',https://az333959.vo.msecnd.net/images-9/lady-writing-a-letter-with-her-maid-johannes-vermeer-1670-feea6e6b.jpg
b'Portrait of a Woman with Gloves',b'Rembrandt',b'Gloves',b'NL',https://az333960.vo.msecnd.net/images-6/portrait-of-a-woman-with-gloves-rembrandt-6c940ad3.jpg
b'The Funeral Games of Patroclus',b'Jacques-Louis David',b'1778',b'FR',https://az333960.vo.msecnd.net/images-3/the-funeral-games-of-patroclus-jacques-louis-david-1778-b2a9a2e5.jpg
b'Argenteuil Basin with a Single Sailboat',b'Claude Monet',b'1874',b'FR',https://az334033.vo.msecnd.net/images-1/argenteuil-basin-with-a-single-sailboat-claude-monet-b1003c08.jpg
b'The Taking of Christ',b'Michelangelo Merisi da Caravaggio',b'Christ',b'IT',https://az333960.vo.msecnd.net/images-1/the-taking-of-christ-caravaggio-a32637a6.jpg
b'Bust of an old bearded man with red cap',b'Rembrandt',b'cap',b'NL',https://az334033.vo.msecnd.net/images-3/bust-of-an-old-bearded-man-with-red-cap-rembrandt-4d45a28a.jpg
b'The Infant Saint John Playing with a Lamb',b'Bartolom\xc3\xa9 Esteban Murillo',b'1675',b'ES',https://az333960.vo.msecnd.net/images-1/the-infant-saint-john-playing-with-a-lamb-bartolome-esteban-murillo-1675-49203117.jpg
b'The Prodigal Son Feasting',b'Bartolom\xc3\xa9 Esteban Murillo',b'1660',b'ES',https://az334033.vo.msecnd.net/images-5/the-prodigal-son-feasting-bartolome-esteban-murillo-1660-db0394a6.jpg
b'Saint Francis Receiving the Stigmata',b'El Greco',b'1592',b'GR',https://az333960.vo.msecnd.net/images-0/saint-francis-receiving-the-stigmata-el-greco-1592-d7598b15.jpg
b'Cupid and Psyche in the Nuptial Bower',b'Hugh Douglas Hamilton',b'1792',,https://az334034.vo.msecnd.net/images-6/cupid-and-psyche-in-the-nuptial-bower-hugh-douglas-hamilton-1792-a9fbbe63.jpg
