Title,Artist,Year,Country,Thumbnail
b'The Scream',b'Edvard Munch',b'1893',b'NO',https://az334034.vo.msecnd.net/images-2/the-scream-edvard-munch-1893-56635ecb.jpg
b'Greifswald in Moonlight',b'Caspar David Friedrich',b'1817',b'DE',https://az334033.vo.msecnd.net/images-7/untitled-caspar-david-friedrich-1817-87936d54.jpg
b'The Girls on the Bridge',b'Edvard Munch',b'1901',b'NO',https://az334034.vo.msecnd.net/images-8/the-girls-on-the-bridge-edvard-munch-1901-b6717b2d.jpg
b'Self-Portrait with Cigarette',b'Edvard Munch',b'1895',b'NO',https://az333959.vo.msecnd.net/images-5/self-portrait-with-cigarette-edvard-munch-1895-ca1ad526.jpg
b'Spring',b'Edvard Munch',b'1889',b'NO',https://az334033.vo.msecnd.net/images-6/spring-edvard-munch-1889-51d3bce7.jpg
b'Puberty',b'Edvard Munch',b'1894',b'NO',https://az334033.vo.msecnd.net/images-1/puberty-edvard-munch-1894-42310575.jpg
b'Moonlight',b'Edvard Munch',b'1893',b'NO',https://az334034.vo.msecnd.net/images-3/moonlight-edvard-munch-1893-13bbfe3e.jpg
b'The Fairytale Forest',b'Edvard Munch',b'1901',b'NO',https://az333960.vo.msecnd.net/images-5/the-fairytale-forest-edvard-munch-1901-ca830174.jpg
b'Thorvald Torgersen',b'Edvard Munch',b'1882',b'NO',https://az334033.vo.msecnd.net/images-5/thorvald-torgersen-edvard-munch-1882-f1a6cfca.jpg
b'Kiss by the Window',b'Edvard Munch',b'1892',b'NO',https://az333960.vo.msecnd.net/images-6/kiss-by-the-window-edvard-munch-1892-acd99fdc.jpg
b'Moonlight',b'Edvard Munch',b'Moonlight',b'NO',https://az334034.vo.msecnd.net/images-9/moonlight-edvard-munch-b4033939.jpg
b'In the Skerries',b'Anders Zorn',b'1894',b'SE',https://az333960.vo.msecnd.net/images-9/in-the-skerries-anders-zorn-1894-b699bad4.jpg
b'Melancholy',b'Edvard Munch',b'1892',b'NO',https://az334033.vo.msecnd.net/images-4/melancholy-edvard-munch-1892-5515112a.png
b'Winter',b'Edvard Munch',b'1899',b'NO',https://az333959.vo.msecnd.net/images-9/winter-in-the-woods-nordstrand-edvard-munch-1899-c49ce365.jpg
b'Rue Lafayette',b'Edvard Munch',b'1891',b'NO',https://az333959.vo.msecnd.net/images-6/rue-lafayette-edvard-munch-1891-35727714.jpg
b'Man in the Cabbage Field',b'Edvard Munch',b'1916',b'NO',https://az334034.vo.msecnd.net/images-0/man-in-the-cabbage-field-edvard-munch-1916-57ed3fe1.png
b'Night in Nice',b'Edvard Munch',b'1891',b'NO',https://az333960.vo.msecnd.net/images-8/night-in-nice-edvard-munch-1891-87c64c51.jpg
b'Bathing Man',b'Edvard Munch',b'1918',b'NO',https://az333960.vo.msecnd.net/images-1/bathing-man-edvard-munch-1918-bad38e45.jpg
b'Aase and Harald N\xc3\xb8rregaard',b'Edvard Munch',b'1899',b'NO',https://az334034.vo.msecnd.net/images-3/aase-and-harald-norregaard-edvard-munch-1899-a013a2d4.jpg
b'Mountain in Riesengebirge',b'Caspar David Friedrich',b'1835',b'DE',https://az333959.vo.msecnd.net/images-5/untitled-caspar-david-friedrich-1835-0ea20905.jpg
b'Greifswald in moonlight',b'Caspar David Friedrich',b'1816',b'DE',https://az334033.vo.msecnd.net/images-6/greifswald-in-moonlight-caspar-david-friedrich-1816-bfd6342a.jpg
b'Julia and Fulvia',b'Nicolai Abildgaard',b'1800',b'DK',https://az334034.vo.msecnd.net/images-1/julia-and-fulvia-nicolai-abildgaard-1800-1cc10071.jpg
b'On the Veranda',b'Edvard Munch',b'1902',b'NO',https://az334034.vo.msecnd.net/images-0/on-the-veranda-edvard-munch-1902-ca48cc70.jpg
b'Winter on the Coast',b'Edvard Munch',b'1915',b'NO',https://az334034.vo.msecnd.net/images-9/winter-on-the-coast-edvard-munch-1915-d5be9e11.jpg
b'Northern Lights over Coastal Landscape',b'Peder Balke',b'1870',b'NO',https://az333959.vo.msecnd.net/images-6/northern-lights-over-coastal-landscape-peder-balke-1870-bdd8f474.jpg
b'Scene from the Academy in Copenhagen',b'Knud Baade',b'1827',,https://az333960.vo.msecnd.net/images-9/scene-from-the-academy-in-copenhagen-knud-baade-1827-a6734426.jpg
b'Cloud Study',b'Knud Baade',b'1838',,https://az334034.vo.msecnd.net/images-0/cloud-study-knud-baade-1838-140b3fd3.jpg
b'Aase N\xc3\xb8rregaard',b'Edvard Munch',b'1899',b'NO',https://az333960.vo.msecnd.net/images-1/aase-norregaard-edvard-munch-1899-53236d72.jpg
b'Madonna',b'Edvard Munch',b'1894',b'NO',https://az333960.vo.msecnd.net/images-5/madonna-edvard-munch-1894-1-90181e0c.jpg
b'Landscape with a Horseman',b'Rembrandt',b'Horseman',b'NL',https://az334033.vo.msecnd.net/images-8/landscape-with-a-horseman-rembrandt-d73ba3be.jpg
|b'Stone Age Stronghold at Nobbin, Rugen Island'|,b'Carl Gustav Carus',b'1820',,https://az333959.vo.msecnd.net/images-7/stone-age-stronghold-at-nobbin-rugen-island-carl-gustav-carus-1820-a40a6078.jpg
b'Rain at Eretat',b'Claude Monet',b'1886',b'FR',https://az334033.vo.msecnd.net/images-0/rain-at-eretat-claude-monet-1886-1a31b37e.jpg
b'Albertine i politil\xc3\xa6gens ventev\xc3\xa6relse',b'Christian Krohg',b'1886',b'NO',https://az333959.vo.msecnd.net/images-6/albertine-i-politilaegens-ventevaerelse-christian-krohg-1886-5c0fc59f.jpg
b'The Island of Tr\xc3\xa6na in Nordland',b'Knud Baade',b'Nordland',,https://az334034.vo.msecnd.net/images-2/the-island-of-traena-in-nordland-knud-baade-cef6412e.jpg
b'Cloud Study',b'Knud Baade',b'1850',,https://az333960.vo.msecnd.net/images-8/cloud-study-knud-baade-1850-5b38ad4c.jpg
b'The Painter J. C. Dahl at his Easel',b'Johann Siegwald Dahl',b'1848',,https://az334033.vo.msecnd.net/images-7/the-painter-j-c-dahl-at-his-easel-johann-siegwald-dahl-e533389c.jpg
b'Study of the head a man',b'Rembrandt',b'man',b'NL',https://az333960.vo.msecnd.net/images-2/study-of-the-head-a-man-rembrandt-da4fb666.jpg
b'Self-Portrait',b'Edvard Munch',b'1886',b'NO',https://az333959.vo.msecnd.net/images-0/self-portrait-edvard-munch-1886-60012ed5.jpg
b'Breakfast in Sora',b'Peder Severin Kr\xc3\xb8yer',b'1880',b'DK',https://az333959.vo.msecnd.net/images-9/breakfast-in-sora-peder-severin-kroyer-1880-625a303a.jpg
b'White Night',b'Edvard Munch',b'1900',b'NO',https://az334033.vo.msecnd.net/images-7/white-night-edvard-munch-1900-eaba08e3.jpg
b'Seated Nude against a Red Background',b'Edvard Munch',b'1896',b'NO',https://az334033.vo.msecnd.net/images-7/seated-nude-against-a-red-background-edvard-munch-1896-80538b63.jpg
b'Around the Paraffin Lamp',b'Edvard Munch',b'1883',b'NO',https://az333960.vo.msecnd.net/images-3/around-the-paraffin-lamp-edvard-munch-1883-24cc9fbd.jpg
b'House with Red Virginia Creeper',b'Edvard Munch',b'1898',b'NO',https://az333959.vo.msecnd.net/images-9/house-with-red-virginia-creeper-edvard-munch-1898-d3e26071.jpg
b'Madame Manet in the Conservatory',b'Edouard Manet',b'1879',b'FR',https://az333959.vo.msecnd.net/images-5/madame-manet-in-the-conservatory-edouard-manet-1879-e34802f6.jpg
b'Bathing Boys',b'Edvard Munch',b'1894',b'NO',https://az333960.vo.msecnd.net/images-5/bathing-boys-edvard-munch-1894-c90f43ac.jpg
b'Untitled',b'Eilif Peterssen',b'1875',,https://az333959.vo.msecnd.net/images-2/untitled-eilif-peterssen-1875-a59cf35e.jpg
b'Spring by the Seine',b'Claude Monet',b'1878',b'FR',https://az333959.vo.msecnd.net/images-2/spring-by-the-seine-claude-monet-1878-ae636018.jpg
b'The Blue Kitchen',b'Ludvig Karsten',b'1913',,https://az334034.vo.msecnd.net/images-5/the-blue-kitchen-ludvig-karsten-1913-ce26e498.jpg
b'Julius Meier-Graefe',b'Edvard Munch',b'1894',b'NO',https://az334033.vo.msecnd.net/images-6/julius-meier-graefe-edvard-munch-1894-e7d52efd.jpg
b'Two Nudes',b'Edvard Munch',b'1902',b'NO',https://az333959.vo.msecnd.net/images-2/two-nudes-edvard-munch-1902-e942caa3.jpg
b'Mrs. Schwarz',b'Edvard Munch',b'1906',b'NO',https://az334033.vo.msecnd.net/images-9/mrs-schwarz-edvard-munch-1906-e617c235.jpg
b'A game shop',b'Frans Snyders',b'1650',,https://az333959.vo.msecnd.net/images-9/a-game-shop-frans-snyders-1650-9313916a.jpg
b'A Feast on Oysters',b'Jan Steen',b'1662',b'NL',https://az334033.vo.msecnd.net/images-7/a-feast-on-oysters-jan-steen-1662-1e3083f7.jpg
b'J\xc3\xb8rgen S\xc3\xb8rensen',b'Edvard Munch',b'1885',b'NO',https://az334034.vo.msecnd.net/images-3/jorgen-sorensen-edvard-munch-1885-9d3b8f8c.jpg
b'Seated Nude',b'Edvard Munch',b'1913',b'NO',https://az333959.vo.msecnd.net/images-9/seated-nude-edvard-munch-1913-fe304216.jpg
b'Moonlight by the Mediterranean',b'Edvard Munch',b'1892',b'NO',https://az333960.vo.msecnd.net/images-1/moonlight-by-the-mediterranean-edvard-munch-1892-4aef622f.jpg
b'Ragnhild B\xc3\xa4ckstr\xc3\xb6m',b'Edvard Munch',b'1894',b'NO',https://az334033.vo.msecnd.net/images-2/ragnhild-backstrom-edvard-munch-1894-d30d034d.jpg
