Title,Artist,Year,Country,Thumbnail
b'The Death of Cleopatra',b'Felice Ficherelli',b'1650',,https://az333960.vo.msecnd.net/images-6/the-death-of-cleopatra-felice-ficherelli-1650-9787a2fa.jpg
b'The Sower',b'Ivan Grohar',b'1907',,https://az334033.vo.msecnd.net/images-5/the-sower-ivan-grohar-1907-22c25d15.jpg
b'Fire in a Village',b'Gillis van Valckenborch',b'Village',,https://az334033.vo.msecnd.net/images-8/fire-in-a-village-gillis-van-valckenborch-ee3befea.jpg
b"Portrait of the artist's father",b'Giuseppe Tominz',b'father',,https://az334034.vo.msecnd.net/images-7/portrait-of-the-artist-s-father-giuseppe-tominz-0ec40eb5.jpg
b'View of Mt Triglav from Bohinj',b'Anton Karinger',b'Bohinj',,https://az334033.vo.msecnd.net/images-2/view-of-mt-triglav-from-bohinj-anton-karinger-a8e3288a.jpg
b'The Card Players II',b'Almanach',b'II',,https://az333959.vo.msecnd.net/images-8/the-card-players-ii-almanach-d3df3f77.jpg
b'Coffee drinker',b'Ivana Kobilca',b'1888',,https://az334033.vo.msecnd.net/images-9/coffee-drinker-ivana-kobilca-1888-3468af3b.jpg
b'Dance of death',b'Vladimir Makuc',b'1959',,https://az334033.vo.msecnd.net/images-9/dance-of-death-vladimir-makuc-1959-3e029a24.jpg
b'Larch',b'Ivan Grohar',b'1904',,https://az333959.vo.msecnd.net/images-3/larch-ivan-grohar-1904-ef167f0c.jpg
b'Self-portrait',b'Henrika \xc5\xa0antel',b'1922',,https://az334033.vo.msecnd.net/images-3/self-portrait-henrika-santel-1922-8c8ce805.jpg
b'Fantasy Landscape with Castle Ruins',b'Laurenz Janscha',b'1800',,https://az334033.vo.msecnd.net/images-9/fantasy-landscape-with-castle-ruins-laurenz-janscha-1800-991a6146.jpg
b'Summer',b'Ivana Kobilca',b'1889',,https://az334034.vo.msecnd.net/images-5/summer-ivana-kobilca-1889-3b68e8d2.jpg
b'Ruins Landscape',b'Laurenz Janscha',b'1812',,https://az334034.vo.msecnd.net/images-8/ruins-landscape-laurenz-janscha-1812-66f1f150.jpg
b'Self-portrait',b'Ivana Kobilca',b'1910',,https://az333959.vo.msecnd.net/images-9/self-portrait-ivana-kobilca-1910-2fc5b0cf.jpg
b'St George Slaying the Dragon',b'Anonymous',b'1420',,https://az334034.vo.msecnd.net/images-6/st-george-slaying-the-dragon-anonymous-1420-b5b8b449.jpg
b'Untitled',b'Matija Jama',b'1935',,https://az334033.vo.msecnd.net/images-6/untitled-matija-jama-1935-4f9feb9c.jpg
b'The immaculate conception',b'Martino Altomonte',b'1719',,https://az334034.vo.msecnd.net/images-2/the-immaculate-conception-martino-altomonte-1719-596a3252.jpg
