Title,Artist,Year,Country,Thumbnail
b'St George slaying the dragon',b'Paolo Uccello',b'1423',b'IT',https://az333960.vo.msecnd.net/images-1/st-george-slaying-the-dragon-paolo-uccello-1423-19a0484f.jpg
b'Rough weather at \xc3\x89tretat',b'Claude Monet',b'1883',b'FR',https://az333959.vo.msecnd.net/images-6/rough-weather-at-etretat-claude-monet-1883-425cbe0c.jpg
b'The Grasshopper (La Cigale)',b'Jules Lefebvre',b'1872',b'FR',https://useumstorage.blob.core.windows.net/useumdir/blank.gif
b'An interesting story',b'James Tissot',b'story',b'FR',https://az334033.vo.msecnd.net/images-1/an-interesting-story-james-tissot-537a3012.jpg
b'Night',b'William Orpen',b'1907',b'GB',https://az333960.vo.msecnd.net/images-3/night-william-orpen-1907-26cc7391.jpg
|b'Landing of Captain Cook at Botany Bay, 1770'|,b'E. Phillips Fox',b'1902',b'AU',https://az334034.vo.msecnd.net/images-0/landing-of-captain-cook-at-botany-bay-1770-e-phillips-fox-1902-236de767.jpg
b"The ship's deck",b'Edouard Manet',b'deck',b'FR',https://az334034.vo.msecnd.net/images-9/the-ship-s-deck-edouard-manet-77ad8f0c.jpg
b'October',b'Jules Bastien-Lepage',b'1878',b'FR',https://az333960.vo.msecnd.net/images-8/october-jules-bastien-lepage-1878-6a8ada05.jpg
b'Falls of Schaffhausen (Val d\xe2\x80\x99Aosta)',b'Joseph Mallord William Turner',b'd\xe2\x80\x99Aosta)',b'GB',https://az333959.vo.msecnd.net/images-2/falls-of-schaffhausen-val-d-aosta-j-m-w-turner-4e1e3c87.jpg
b'The House at Rueil (La Maison \xc3\xa0 Rueil)',b'Mateus Leit\xc3\xa3o',b'1882',,https://az334034.vo.msecnd.net/images-2/the-house-at-rueil-mateus-leitao-1882-47227930.jpg
b'The Vintage Festival',b'Lawrence Alma-Tadema',b'1871',b'NL',https://az334034.vo.msecnd.net/images-3/the-vintage-festival-lawrence-alma-tadema-1871-bf6a14cd.jpg
b'The Lesson',b'E. Phillips Fox',b'1912',b'AU',https://az333959.vo.msecnd.net/images-3/the-lesson-e-phillips-fox-1481935f.jpg
|b'Boulevard Montmartre, morning, cloudy weather'|,b'Camille Pissarro',b'1897',b'FR',https://az333960.vo.msecnd.net/images-3/boulevard-montmartre-morning-cloudy-weather-camille-pissarro-1897-0ed802b8.jpg
b'Ulysses and the Sirens',b'John William Waterhouse',b'1891',b'GB',https://az333960.vo.msecnd.net/images-0/ulysses-and-the-sirens-john-william-waterhouse-1891-21993b3d.jpg
b'The importunate neighbour',b'William Holman Hunt',b'1895',b'GB',https://az334033.vo.msecnd.net/images-6/the-importunate-neighbour-william-holman-hunt-1895-11b142a3.jpg
|b'The plain of Gennevilliers, yellow fields'|,b'Gustave Caillebotte',b'fields',b'FR',https://az333960.vo.msecnd.net/images-9/the-plain-of-gennevilliers-yellow-fields-gustave-caillebotte-ab133fba.jpg
b'Virgin of the Adoption',b'Jean-Auguste-Dominique Ingres',b'1858',b'FR',https://az334034.vo.msecnd.net/images-6/virgin-of-the-adoption-jean-auguste-dominique-ingres-1858-0b5aa304.jpg
b'A Sergeant of the Light Horse (OR A Sergeant of Light...',b'George Washington Lambert',b'1920',b'AU',https://az333960.vo.msecnd.net/images-2/a-sergeant-of-the-light-horse-george-washington-lambert-1920-1a33c941.jpg
b'Clouds',b'John Constable',b'1822',b'GB',https://az333960.vo.msecnd.net/images-3/clouds-john-constable-1822-4b082363.jpg
b'Coming South',b'Tom Roberts',b'1886',b'AU',https://az333959.vo.msecnd.net/images-6/coming-south-tom-roberts-1886-cb86eedb.jpg
