Title,Artist,Year,Country,Thumbnail
b'Oil painting of Dolbadarn Castle',b'J. M. W. Turner',b'Castle',b'GB',https://az334033.vo.msecnd.net/images-9/oil-painting-of-dolbadarn-castle-j-m-w-turner-f59ce983.jpg
b'Coastal Landscape near Aberystwyth',b'Valerius de Saedeleer',b'Aberystwyth',,https://az334033.vo.msecnd.net/images-2/coastal-landscape-near-aberystwyth-valerius-de-saedeleer-34ea31e7.jpg
b'Portrait of Dr Richard Price',b'Benjamin West',b'Price',b'US',https://az334033.vo.msecnd.net/images-7/portrait-of-dr-richard-price-benjamin-west-6a304b82.jpg
b'Llangollen',b'Arthur Gilbert',b'Llangollen',,https://az333959.vo.msecnd.net/images-3/llangollen-arthur-gilbert-d8fdd18f.jpg
b'portrait of Sir John Williams',b'Christopher Williams',b'Williams',,https://az334033.vo.msecnd.net/images-9/portrait-of-sir-john-williams-christopher-williams-fe5864f7.jpg
b'Llanbadarn Fawr Church',b'Anonymous',b'1895',,https://az334034.vo.msecnd.net/images-0/llanbadarn-fawr-church-anonymous-1895-951f33a2.jpg
b'A View of Tenby Bay',b'Reginald Morris',b'1920',,https://az334033.vo.msecnd.net/images-7/a-view-of-tenby-bay-reginald-morris-1920-e07f5ec0.jpg
b'Illustration',b'John Kelt Edwards',b'1902',,https://az334034.vo.msecnd.net/images-5/illustration-john-kelt-edwards-1902-b7bebffe.jpg
b'Portrait of a Minister',b'William Williams',b'1864',,https://az333959.vo.msecnd.net/images-7/portrait-of-a-minister-william-williams-1864-1c778922.jpg
b'Painting of a vase of flowers by Gwen John',b'Gwen John',b'John',,https://az333959.vo.msecnd.net/images-4/painting-of-a-vase-of-flowers-by-gwen-john-gwen-john-cfd8b16c.jpg
b'Portrait of Shane Williams',b'David Griffiths',b'Williams',,https://az334033.vo.msecnd.net/images-6/portrait-of-shane-williams-david-griffiths-9539bb78.jpg
b'An Overshot Mill in Wales (Aberdulais)',b'James Ward',b'(Aberdulais)',,https://az333960.vo.msecnd.net/images-0/an-overshot-mill-in-wales-aberdulais-james-ward-4d5d94d9.jpg
b'Bellringer of Caernarvon in costume of trade',b'John Cambrian Rowland',b'trade',,https://az334033.vo.msecnd.net/images-7/bellringer-of-caernarvon-in-costume-of-trade-john-cambrian-rowland-6382bd15.jpg
b'Portrait of John Wesley',b'unknown',b'Wesley',,https://az333960.vo.msecnd.net/images-4/portrait-of-john-wesley-unknown-de5be9f7.jpg
b'Arthur Erskine Owen Humphreys-Owen (1876\xe2\x80\x931928)',b'John Seymour Lucas',b'1917',,https://az334033.vo.msecnd.net/images-0/arthur-erskine-owen-humphreys-owen-1876-1928-john-seymour-lucas-1917-6c403fe3.jpg
b'Portrait of a Lady',b'Thomas Lawrence',b'1790',b'GB',https://az333960.vo.msecnd.net/images-3/portrait-of-a-lady-thomas-lawrence-1790-5710461d.jpg
b'Cwm Llyfnant',b'Alfred Worthington',b'1890',,https://az333960.vo.msecnd.net/images-9/cwm-llyfnant-alfred-worthington-1890-ffe55878.jpg
b'John Evans (1723\xe2\x80\x931817)',b'Hugh Hughes',b'1816',,https://az333960.vo.msecnd.net/images-7/john-evans-1723-1817-hugh-hughes-1816-39110d48.jpg
b'Mrs. Mary Carol',b'William Crane',b'1840',,https://az334034.vo.msecnd.net/images-8/mrs-mary-carol-william-crane-1840-e3396b24.jpg
b'Watermill',b'John Kelt Edwards',b'1912',,https://az333960.vo.msecnd.net/images-6/watermill-john-kelt-edwards-1912-0f5821d1.jpg
b'Llan Ffestiniog',b'John Kelt Edwards',b'1912',,https://az334033.vo.msecnd.net/images-6/llan-ffestiniog-john-kelt-edwards-1912-d971485c.jpg
|b'Holidays, Village Girls at Llangrannog'|,b'Christopher Williams',b'1915',,https://az333959.vo.msecnd.net/images-1/holidays-village-girls-at-llangrannog-christopher-williams-1915-c240c771.jpg
b'Portrait of an Unknown Gentleman',b'George Frederick Harris',b'1909',,https://az334033.vo.msecnd.net/images-1/portrait-of-an-unknown-gentleman-george-frederick-harris-1909-a3c0a505.jpg
b'Pryse Pryse Pryse of Lodge Park (d.1900)',b'Anonymous',b'1900',,https://az334034.vo.msecnd.net/images-5/pryse-pryse-pryse-of-lodge-park-d-1900-anonymous-1900-5a284ebe.jpg
b"Christiana'",b'William Howard Yorke',b'1898',,https://az334033.vo.msecnd.net/images-5/christiana-william-howard-yorke-1898-a471e5c4.jpg
b'David Lloyd George (1863\xe2\x80\x931945)',b'Charles Goldsborough Anderson',b'1916',,https://az333959.vo.msecnd.net/images-5/david-lloyd-george-1863-1945-charles-goldsborough-anderson-1916-80475a30.jpg
b'Y Ddraig Goch a Ddyry Gychwyn',b'John Kelt Edwards',b'1916',,https://az333960.vo.msecnd.net/images-0/y-ddraig-goch-a-ddyry-gychwyn-john-kelt-edwards-1916-29d0a06d.jpg
b'Ploare',b'Andr\xc3\xa9 Dauchez',b'1945',,https://az333959.vo.msecnd.net/images-7/ploare-andre-dauchez-1945-d17b49a9.jpg
|b'A River Landscape with Reeds, Arthog'|,b'David Bates',b'1893',,https://az333960.vo.msecnd.net/images-5/a-river-landscape-with-reeds-arthog-david-bates-1893-6c34b463.jpg
b'Mr John Thomas Edwards (c.1869\xe2\x80\x931943)',b'William Williams',b'1904',,https://az334034.vo.msecnd.net/images-5/mr-john-thomas-edwards-c-1869-1943-william-williams-1904-fa156612.jpg
b'Professor John Owen Thomas',b'Anonymous',b'1929',,https://az334034.vo.msecnd.net/images-2/professor-john-owen-thomas-anonymous-1929-456881c1.jpg
b'Mill',b'Samuel Phillips Jackson',b'1883',,https://az334033.vo.msecnd.net/images-4/mill-samuel-phillips-jackson-1883-4220d4af.jpg
b'Cottage at Dolgellau',b'Erasmus Walter Ellis',b'1890',,https://az333959.vo.msecnd.net/images-6/cottage-at-dolgellau-erasmus-walter-ellis-1890-663351a0.jpg
b"Rooftop and Pathway: View from the Artist's Studio",b'Gwen John',b'1920',,https://az334033.vo.msecnd.net/images-3/rooftop-and-pathway-view-from-the-artist-s-studio-gwen-john-1920-a97482da.jpg
