Title,Artist,Year,Country,Thumbnail
b'Frenzy of Exultations',b'W\xc5\x82adys\xc5\x82aw Podkowi\xc5\x84ski',b'1893',,https://az333960.vo.msecnd.net/images-2/frenzy-of-exultations-wladyslaw-podkowinski-1893-026a207d.jpg
b'Czarny Staw (The Blake Lake) \xe2\x80\x93 Blizzard',b'Stanis\xc5\x82aw Witkiewicz',b'1892',b'PL',https://az333960.vo.msecnd.net/images-8/czarny-staw-the-blake-lake-blizzard-stanislaw-witkiewicz-1892-3aa9d389.jpg
b"Painter's inspiration",b'Jacek Malczewski',b'1897',,https://az334034.vo.msecnd.net/images-9/painter-s-inspiration-jacek-malczewski-1897-b772ae96.jpg
b'Portrait of Izabela Czartoryska',b'Alexander Roslin',b'1774',,https://az334033.vo.msecnd.net/images-5/portrait-of-izabela-czartoryska-alexander-roslin-1774-354daeaf.png
b'Portrait of a Woman in a White Dress',b'Olga Bozna\xc5\x84ska',b'1890',,https://az334033.vo.msecnd.net/images-2/portrait-of-a-woman-in-a-white-dress-olga-boznanska-1890-e57d9d76.jpg
b'Study (I) of Both Hands of the Bishop to the Painting ...',b'J\xc3\xb3zef Simmler',b'...',,https://az333959.vo.msecnd.net/images-7/study-i-of-both-hands-of-the-bishop-to-the-painting-the-oath-of-queen-jadwiga-jozef-simmler-8d2515fc.jpg
b'La Pythie',b'Jacek Malczewski',b'1917',,https://az334033.vo.msecnd.net/images-1/la-pythie-jacek-malczewski-1917-0d092113.jpg
b'Portrait of Stanis\xc5\x82aw Witkiewicz',b'Jacek Malczewski',b'1897',,https://az334033.vo.msecnd.net/images-8/portrait-of-stanislaw-witkiewicz-jacek-malczewski-1897-8c35f308.jpg
b'Strong Wind in the Mountains / Wiatr halny',b'Stanis\xc5\x82aw Witkiewicz',b'1895',b'PL',https://az334034.vo.msecnd.net/images-5/halny-wind-stanislaw-witkiewicz-c6677704.jpg
b'Winter in a small town',b'Maksymilian Gierymski',b'1872',,https://az333960.vo.msecnd.net/images-0/winter-in-a-small-town-maksymilian-gierymski-1872-21de56a5.jpg
b'Dusk',b'Stanis\xc5\x82aw Witkiewicz',b'1898',b'PL',https://az333960.vo.msecnd.net/images-9/dusk-stanislaw-witkiewicz-817cd77a.jpg
b'Plowing in the Ukraine',b'Leon Wycz\xc3\xb3\xc5\x82kowski',b'1892',,https://az334033.vo.msecnd.net/images-0/plowing-in-the-ukraine-leon-wyczolkowski-1892-601f6afb.jpg
b'Portrait of a Woman (Gypsy)',b'Olga Bozna\xc5\x84ska',b'1888',,https://az333960.vo.msecnd.net/images-2/portrait-of-a-woman-gypsy-olga-boznanska-1888-8c4ae4b0.jpg
b'Coffin Portrait of a Young Woman',b'Anonymous',b'1686',,https://az334034.vo.msecnd.net/images-1/coffin-portrait-of-a-young-woman-anonymous-1686-084ac3b5.jpg
b"Portrait of Francesco de' Medici (1614-1634)",b'Justus Sustermans',b'1634',,https://az334033.vo.msecnd.net/images-9/portrait-of-francesco-de-medici-1614-1634-justus-sustermans-1634-d8c9ad51.jpg
b'Madonna and Child Giving a Blessing',b'Giovanni Bellini',b'1480',b'IT',https://az333959.vo.msecnd.net/images-7/madonna-and-child-giving-a-blessing-giovanni-bellini-1480-514cca4f.jpg
b'The Maccabees',b'Wojciech Stattler',b'1836',,https://az333960.vo.msecnd.net/images-0/the-maccabees-wojciech-stattler-1836-b3f56cce.jpg
b'Evening Prayer of a Farmer',b'Artur Grottger',b'1865',,https://az334033.vo.msecnd.net/images-9/evening-prayer-of-a-farmer-artur-grottger-1865-2ce5d69b.jpg
b"Portret Marii Kazimiery de la Grange d'Arquien Sobieskiej...",b'Daniel Schultz',b'1670',,https://az334034.vo.msecnd.net/images-6/portret-marii-kazimiery-de-la-grange-d-arquien-sobieskiej-zwanej-marysienka-1641-1716-krolowej-polski-zony-jana-iii-sobieskiego-daniel-schultz-1670-0e94a2fb.jpg
b'Untitled',b'Aleksander Or\xc5\x82owski',b'1807',,https://az334033.vo.msecnd.net/images-6/untitled-aleksander-orlowski-1807-63af1c68.jpg
b'Study for the Horse of Grand Duke of Lithuania Vytautas...',b'Jan Matejko',b'1876',,https://az334033.vo.msecnd.net/images-7/study-for-the-horse-of-grand-duke-of-lithuania-vytautas-for-the-painting-the-battle-of-grunwald-jan-matejko-1876-f3695a6e.jpg
|b"Portrait of Franciszek Matejko, Artist's Father."|,b'Jan Matejko',b'1877',,https://az334034.vo.msecnd.net/images-0/portrait-of-franciszek-matejko-artist-s-father-jan-matejko-1877-0d6ab729.jpg
b'Stable Boy Holding the Horse by the Bridle',b'Piotr Micha\xc5\x82owski',b'Bridle',,https://az333960.vo.msecnd.net/images-6/stable-boy-holding-the-horse-by-the-bridle-piotr-michalowski-8319bbdb.jpg
b'Portrait of \xc5\x81ucja Detloff',b'Olga Bozna\xc5\x84ska',b'1917',,https://az333960.vo.msecnd.net/images-5/portrait-of-lucja-detloff-olga-boznanska-1917-0260d8b1.jpg
b'Old Woman Watching over a Dead Body II',b'Aleksander Gierymski',b'II',,https://az333959.vo.msecnd.net/images-4/old-woman-watching-over-a-dead-body-ii-aleksander-gierymski-c8a929f0.jpg
b'Portrait of Leon Sapieha',b'Henryk Rodakowski',b'1878',,https://az333960.vo.msecnd.net/images-2/portrait-of-leon-sapieha-henryk-rodakowski-1878-6c308ac3.jpg
b'Untitled',b'Jacek Malczewski',b'1908',,https://az333960.vo.msecnd.net/images-3/untitled-jacek-malczewski-1908-5-aabbe47b.jpg
b'The Presentation of the Virgin Mary in the Temple of...',b'Johann Koerbecke',b'1456',,https://az334033.vo.msecnd.net/images-4/the-presentation-of-the-virgin-mary-in-the-temple-of-jerusalem-johann-koerbecke-1456-6588fd68.jpg
b'Study to the Painting "Christian Dirce"',b'Henryk Siemiradzki',b'Dirce"',b'PL',https://az334034.vo.msecnd.net/images-7/study-to-the-painting-christian-dirce-henryk-siemiradzki-b300acd3.jpg
b'Untitled',b'Jacek Malczewski',b'1910',,https://az334033.vo.msecnd.net/images-7/untitled-jacek-malczewski-1910-2-f3f3ecdf.jpg
b'Portrait of Julian Ursyn Niemcewicz (1758\xe2\x80\x931841)',b'Antoine-Jean Gros',b'1833',,https://az333959.vo.msecnd.net/images-6/portrait-of-julian-ursyn-niemcewicz-1758-1841-antoine-jean-gros-1833-a857b2e3.jpg
b'In Autumn',b'Jacek Malczewski',b'1890',,https://az333960.vo.msecnd.net/images-4/in-autumn-jacek-malczewski-1890-3e234ca4.jpg
b'Madonna with Child \xe2\x80\x93 Copy of the fragment of the painting...',b'Artur Grottger',b'1864',,https://az334033.vo.msecnd.net/images-6/madonna-with-child-copy-of-the-fragment-of-the-painting-madonna-with-child-and-saints-by-bonifacio-veronese-artur-grottger-1864-0b4d941e.jpg
b'Portrait of Barbara Radziwi\xc5\x82\xc5\x82',b'Anonymous',b'1551',,https://az334033.vo.msecnd.net/images-7/portrait-of-barbara-radziwill-anonymous-1551-3a7d2574.jpg
b'Untitled',b'Jacek Malczewski',b'1905',,https://az334034.vo.msecnd.net/images-5/untitled-jacek-malczewski-1905-6-85351e17.jpg
b'Windy Day',b'Leon Wycz\xc3\xb3\xc5\x82kowski',b'1908',,https://az334034.vo.msecnd.net/images-6/windy-day-leon-wyczolkowski-1908-1bbda30d.jpg
b'Portrait of Cetner',b'Marcin Jab\xc5\x82o\xc5\x84ski',b'1838',,https://az333959.vo.msecnd.net/images-5/portrait-of-cetner-marcin-jablonski-1838-9d2fd46b.jpg
b'Svislach landscape',b'Henryk Siemiradzki',b'1873',b'PL',https://az334033.vo.msecnd.net/images-0/svislach-landscape-henryk-siemiradzki-1873-e7935562.jpg
b'Portrait of Pristella Krasuska n\xc3\xa9e Abraniecka',b'Anonymous',b'1842',,https://az333960.vo.msecnd.net/images-8/portrait-of-pristella-krasuska-nee-abraniecka-anonymous-1842-53ecaf19.jpg
b'Self-Portrait with Flowers',b'Olga Bozna\xc5\x84ska',b'1909',,https://az333960.vo.msecnd.net/images-5/self-portrait-with-flowers-olga-boznanska-1909-bb6e33f9.jpg
b'Portrait of John III Sobieski (1624\xe2\x80\x931696) in Karacena...',b'Anonymous',b'1700',,https://az333960.vo.msecnd.net/images-4/portrait-of-john-iii-sobieski-1624-1696-in-karacena-scale-armour-anonymous-1700-0d28b97d.jpg
b'In the Garden',b'J\xc3\xb3zef Rapacki',b'1891',,https://az334033.vo.msecnd.net/images-7/in-the-garden-jozef-rapacki-1891-f7ebd45d.jpg
b'Self-Portrait with Konstanty Laszczka',b'Leon Wycz\xc3\xb3\xc5\x82kowski',b'1901',,https://az333960.vo.msecnd.net/images-0/self-portrait-with-konstanty-laszczka-leon-wyczolkowski-1901-b3dbce34.jpg
b'Portrait of Mrs Roubaud',b'Olga Bozna\xc5\x84ska',b'1908',,https://az334033.vo.msecnd.net/images-6/portrait-of-mrs-roubaud-olga-boznanska-1908-7b8534a7.jpg
b'Study of Both Hands of the Bishop for the Painting "The...',b'J\xc3\xb3zef Simmler',b'"The...',,https://az333960.vo.msecnd.net/images-0/study-of-both-hands-of-the-bishop-for-the-painting-the-oath-of-queen-jadwiga-jozef-simmler-e56f1260.jpg
b'Spire of the Tower of St Mary\xe2\x80\x99s Church in Krakow',b'Jan Stanis\xc5\x82awski',b'Krakow',,https://az334033.vo.msecnd.net/images-6/spire-of-the-tower-of-st-mary-s-church-in-krakow-jan-stanislawski-f3774f35.jpg
b'Portrait of Stanis\xc5\x82aw Wodzicki',b'J\xc3\xb3zef Peszka',b'1819',,https://az333960.vo.msecnd.net/images-6/portrait-of-stanislaw-wodzicki-jozef-peszka-1819-f6783b3c.jpg
